filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,X137.046_0.35
X584_Group3E_142dpi_LV_bottom_179_G_B7_P132.mzXML,584,Group3E,Infected,142,LV_bottom,B7,P132,0.00917571
X585_Group3E_142dpi_LV_bottom_180_G_B8_P132.mzXML,585,Group3E,Infected,142,LV_bottom,B8,P132,0.006437517
X666_Group3E_142dpi_LV_bottom_201_G_D5_P132.mzXML,666,Group3E,Infected,142,LV_bottom,D5,P132,0.007369463
X667_Group3E_142dpi_LV_bottom_202_G_D6_P132.mzXML,667,Group3E,Infected,142,LV_bottom,D6,P132,0.008119101
X668_Group3E_142dpi_LV_bottom_203_G_D7_P132.mzXML,668,Group3E,Infected,142,LV_bottom,D7,P132,0.009246323
X669_Group3E_142dpi_LV_bottom_204_G_D8_P132.mzXML,669,Group3E,Infected,142,LV_bottom,D8,P132,0.010572542
X670_Group3E_142dpi_LV_bottom_205_G_D9_P132.mzXML,670,Group3E,Infected,142,LV_bottom,D9,P132,0.009078675
X751_Group3E_142dpi_LV_bottom_226_G_F6_P132.mzXML,751,Group3E,Infected,142,LV_bottom,F6,P132,0.008091728
X752_Group3E_142dpi_LV_bottom_227_G_F7_P132.mzXML,752,Group3E,Infected,142,LV_bottom,F7,P132,0.010522712
X753_Group3E_142dpi_LV_bottom_228_G_F8_P132.mzXML,753,Group3E,Infected,142,LV_bottom,F8,P132,0.008511482
X754_Group3E_142dpi_LV_bottom_229_G_F9_P132.mzXML,754,Group3E,Infected,142,LV_bottom,F9,P132,0.009754918
X755_Group3E_142dpi_LV_bottom_230_G_F10_P132.mzXML,755,Group3E,Infected,142,LV_bottom,F10,P132,0.009443837
