filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,X137.046_0.35
X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,501,Group1A,naive,50,LA,A1,P121,0.002756744
X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,502,Group1A,naive,50,LA,A2,P121,0.003169723
X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,503,Group1A,naive,50,LA,A3,P121,0.005386974
X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,504,Group1A,naive,50,LA,A4,P121,0.006084277
X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,505,Group1A,naive,50,LA,A5,P121,0.005852033
X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,521,Group1A,naive,50,LA,A6,P121,0.006846545
X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,522,Group1A,naive,50,LA,A7,P121,0.010244393
X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,523,Group1A,naive,50,LA,A8,P121,0.016293285
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,524,Group1A,naive,50,LA,A9,P121,0.016795153
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,525,Group1A,naive,50,LA,A10,P121,0.00641471
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,541,Group1A,naive,50,LA,A11,P121,0.003337366
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,542,Group1A,naive,50,LA,A12,P121,0.004713783
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,543,Group1A,naive,50,LA,B1,P121,0.01062589
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,544,Group1A,naive,50,LA,B2,P121,0.006479636
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,545,Group1A,naive,50,LA,B3,P121,0.003483748
X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML,506,Group1B,naive,75,LA,C7,P121,0.003265925
X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML,507,Group1B,naive,75,LA,C8,P121,0.003498491
X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML,508,Group1B,naive,75,LA,C9,P121,0.006590554
X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML,509,Group1B,naive,75,LA,C10,P121,0.006153962
X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML,510,Group1B,naive,75,LA,C11,P121,0.00413255
X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML,526,Group1B,naive,75,LA,C12,P121,0.003516821
X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML,527,Group1B,naive,75,LA,D1,P121,0.004410206
X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML,528,Group1B,naive,75,LA,D2,P121,0.010172041
X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML,529,Group1B,naive,75,LA,D3,P121,0.007689721
X530_Group1B_70dpi_LA_290_B_D4_P121.mzXML,530,Group1B,naive,75,LA,D4,P121,0.005308647
X546_Group1B_70dpi_LA_291_B_D5_P121.mzXML,546,Group1B,naive,75,LA,D5,P121,0.003997766
X547_Group1B_70dpi_LA_292_B_D6_P121.mzXML,547,Group1B,naive,75,LA,D6,P121,0.004241892
X548_Group1B_70dpi_LA_293_B_D7_P121.mzXML,548,Group1B,naive,75,LA,D7,P121,0
X549_Group1B_70dpi_LA_294_B_D8_P121.mzXML,549,Group1B,naive,75,LA,D8,P121,0.003782271
X550_Group1B_70dpi_LA_295_B_D9_P121.mzXML,550,Group1B,naive,75,LA,D9,P121,0.00349543
X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML,511,Group1C,naive,142,LA,A1,P120,0.004878157
X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML,512,Group1C,naive,142,LA,A2,P120,0.008621861
X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML,513,Group1C,naive,142,LA,A3,P120,0.008830974
X514_Group1C_142dpi_LA_164_G_A4_P120.mzXML,514,Group1C,naive,142,LA,A4,P120,0.007171838
X515_Group1C_142dpi_LA_165_G_A5_P120.mzXML,515,Group1C,naive,142,LA,A5,P120,0.010521259
X531_Group1C_142dpi_LA_166_G_A6_P120.mzXML,531,Group1C,naive,142,LA,A6,P120,0.01037658
X532_Group1C_142dpi_LA_167_G_A7_P120.mzXML,532,Group1C,naive,142,LA,A7,P120,0.013776572
X533_Group1C_142dpi_LA_168_G_A8_P120.mzXML,533,Group1C,naive,142,LA,A8,P120,0.012250533
X534_Group1C_142dpi_LA_169_G_A9_P120.mzXML,534,Group1C,naive,142,LA,A9,P120,0.009568532
X535_Group1C_142dpi_LA_170_G_A10_P120.mzXML,535,Group1C,naive,142,LA,A10,P120,0.008981518
X551_Group1C_142dpi_LA_171_G_A11_P120.mzXML,551,Group1C,naive,142,LA,A11,P120,0.007347903
X552_Group1C_142dpi_LA_172_G_A12_P120.mzXML,552,Group1C,naive,142,LA,A12,P120,0.014925103
X553_Group1C_142dpi_LA_173_G_B1_P120.mzXML,553,Group1C,naive,142,LA,B1,P120,0.013098798
X554_Group1C_142dpi_LA_174_G_B2_P120.mzXML,554,Group1C,naive,142,LA,B2,P120,0.00757913
X555_Group1C_142dpi_LA_175_G_B3_P120.mzXML,555,Group1C,naive,142,LA,B3,P120,0.019940948
X561_Group3A_50dpi_LA_266_B_B4_P121.mzXML,561,Group3A,Infected,50,LA,B4,P121,0.002612029
X562_Group3A_50dpi_LA_267_B_B5_P121.mzXML,562,Group3A,Infected,50,LA,B5,P121,0.003403451
X563_Group3A_50dpi_LA_268_B_B6_P121.mzXML,563,Group3A,Infected,50,LA,B6,P121,0.001186381
X564_Group3A_50dpi_LA_269_B_B7_P121.mzXML,564,Group3A,Infected,50,LA,B7,P121,0.001356029
X565_Group3A_50dpi_LA_270_B_B8_P121.mzXML,565,Group3A,Infected,50,LA,B8,P121,0.002018372
X646_Group3A_50dpi_LA_271_B_B9_P121.mzXML,646,Group3A,Infected,50,LA,B9,P121,0.002422902
X647_Group3A_50dpi_LA_272_B_B10_P121.mzXML,647,Group3A,Infected,50,LA,B10,P121,0.006290383
X648_Group3A_50dpi_LA_273_B_B11_P121.mzXML,648,Group3A,Infected,50,LA,B11,P121,0.000455513
X649_Group3A_50dpi_LA_274_B_B12_P121.mzXML,649,Group3A,Infected,50,LA,B12,P121,0.003342912
X650_Group3A_50dpi_LA_275_B_C1_P121.mzXML,650,Group3A,Infected,50,LA,C1,P121,0.001323175
X731_Group3A_50dpi_LA_276_B_C2_P121.mzXML,731,Group3A,Infected,50,LA,C2,P121,0.002812908
X732_Group3A_50dpi_LA_277_B_C3_P121.mzXML,732,Group3A,Infected,50,LA,C3,P121,0.011288279
X733_Group3A_50dpi_LA_278_B_C4_P121.mzXML,733,Group3A,Infected,50,LA,C4,P121,0.00445696
X734_Group3A_50dpi_LA_279_B_C5_P121.mzXML,734,Group3A,Infected,50,LA,C5,P121,0.004571344
X735_Group3A_50dpi_LA_280_B_C6_P121.mzXML,735,Group3A,Infected,50,LA,C6,P121,0.001774869
X566_Group3B_70dpi_LA_296_B_D10_P121.mzXML,566,Group3B,Infected,75,LA,D10,P121,0.000170691
X567_Group3B_70dpi_LA_297_B_D11_P121.mzXML,567,Group3B,Infected,75,LA,D11,P121,0.002079999
X568_Group3B_70dpi_LA_298_B_D12_P121.mzXML,568,Group3B,Infected,75,LA,D12,P121,0.002530918
X569_Group3B_70dpi_LA_299_B_E1_P121.mzXML,569,Group3B,Infected,75,LA,E1,P121,0.004561095
X570_Group3B_70dpi_LA_300_B_E2_P121.mzXML,570,Group3B,Infected,75,LA,E2,P121,0.001366143
X651_Group3B_70dpi_LA_301_B_E3_P121.mzXML,651,Group3B,Infected,75,LA,E3,P121,0.002606963
X652_Group3B_70dpi_LA_302_B_E4_P121.mzXML,652,Group3B,Infected,75,LA,E4,P121,0.003060236
X653_Group3B_70dpi_LA_303_B_E5_P121.mzXML,653,Group3B,Infected,75,LA,E5,P121,0.005495478
X654_Group3B_70dpi_LA_304_B_E6_P121.mzXML,654,Group3B,Infected,75,LA,E6,P121,0.000910144
X655_Group3B_70dpi_LA_305_B_E7_P121.mzXML,655,Group3B,Infected,75,LA,E7,P121,0.000114363
X736_Group3B_70dpi_LA_306_B_E8_P121.mzXML,736,Group3B,Infected,75,LA,E8,P121,0.001509655
X737_Group3B_70dpi_LA_307_B_E9_P121.mzXML,737,Group3B,Infected,75,LA,E9,P121,0.001437292
X738_Group3B_70dpi_LA_308_B_E10_P121.mzXML,738,Group3B,Infected,75,LA,E10,P121,0.001889313
X739_Group3B_70dpi_LA_309_B_E11_P121.mzXML,739,Group3B,Infected,75,LA,E11,P121,0.001660373
X740_Group3B_70dpi_LA_310_B_E12_P121.mzXML,740,Group3B,Infected,75,LA,E12,P121,0.006161253
X581_Group3E_142dpi_LA_176_G_B4_P120.mzXML,581,Group3E,Infected,142,LA,B4,P120,0.004808834
X582_Group3E_142dpi_LA_177_G_B5_P120.mzXML,582,Group3E,Infected,142,LA,B5,P120,0.001472622
X583_Group3E_142dpi_LA_178_G_B6_P120.mzXML,583,Group3E,Infected,142,LA,B6,P120,0.004616651
X584_Group3E_142dpi_LA_179_G_B7_P120.mzXML,584,Group3E,Infected,142,LA,B7,P120,0.004713202
X585_Group3E_142dpi_LA_180_G_B8_P120.mzXML,585,Group3E,Infected,142,LA,B8,P120,0.005738762
