filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,X137.046_0.35
X501_Group1A_50dpi_RV_bottom_251_B_A1_P141.mzXML,501,Group1A,naive,50,RV_bottom,A1,P141,0.009591114
X502_Group1A_50dpi_RV_bottom_252_B_A2_P141.mzXML,502,Group1A,naive,50,RV_bottom,A2,P141,0.023717609
X503_Group1A_50dpi_RV_bottom_253_B_A3_P141.mzXML,503,Group1A,naive,50,RV_bottom,A3,P141,0.012603445
X504_Group1A_50dpi_RV_bottom_254_B_A4_P141.mzXML,504,Group1A,naive,50,RV_bottom,A4,P141,0.019752587
X505_Group1A_50dpi_RV_bottom_255_B_A5_P141.mzXML,505,Group1A,naive,50,RV_bottom,A5,P141,0.012273222
X521_Group1A_50dpi_RV_bottom_256_B_A6_P141.mzXML,521,Group1A,naive,50,RV_bottom,A6,P141,0.015764581
X522_Group1A_50dpi_RV_bottom_257_B_A7_P141.mzXML,522,Group1A,naive,50,RV_bottom,A7,P141,0.016081777
X523_Group1A_50dpi_RV_bottom_258_B_A8_P141.mzXML,523,Group1A,naive,50,RV_bottom,A8,P141,0.017328241
X524_Group1A_50dpi_RV_bottom_259_B_A9_P141.mzXML,524,Group1A,naive,50,RV_bottom,A9,P141,0.014511423
X525_Group1A_50dpi_RV_bottom_260_B_A10_P141.mzXML,525,Group1A,naive,50,RV_bottom,A10,P141,0.018845624
X541_Group1A_50dpi_RV_bottom_261_B_A11_P141.mzXML,541,Group1A,naive,50,RV_bottom,A11,P141,0.007943726
X542_Group1A_50dpi_RV_bottom_262_B_A12_P141.mzXML,542,Group1A,naive,50,RV_bottom,A12,P141,0.031023064
X543_Group1A_50dpi_RV_bottom_263_B_B1_P141.mzXML,543,Group1A,naive,50,RV_bottom,B1,P141,0.010535688
X544_Group1A_50dpi_RV_bottom_264_B_B2_P141.mzXML,544,Group1A,naive,50,RV_bottom,B2,P141,0.011844723
X545_Group1A_50dpi_RV_bottom_265_B_B3_P141.mzXML,545,Group1A,naive,50,RV_bottom,B3,P141,0.019397595
X506_Group1B_70dpi_RV_bottom_281_B_C7_P141.mzXML,506,Group1B,naive,75,RV_bottom,C7,P141,0.013219341
