filename,mass_400,mass_500,mass_600,mass_700,mass_800
LA_FDR_pvalue_naive_VS_infected_50DPI,0.5179663455000001,0.7136021775,0.005910744,0.24707731200000002,0.813212394
LA_FDR_pvalue_naive_VS_infected_75DPI,0.08555261700000001,0.7136021775,0.7136021775,0.967417298,0.967417298
LA_FDR_pvalue_naive_VS_infected_142DPI,0.967417298,0.967417298,0.868044499,0.967417298,0.967417298
RA_FDR_pvalue_naive_VS_infected_50DPI,0.50765136,0.5136533415000001,0.870194456,0.611458654,0.870194456
RA_FDR_pvalue_naive_VS_infected_75DPI,0.056280039,0.056280039,0.202488462,0.11061177900000001,0.056280039
RA_FDR_pvalue_naive_VS_infected_142DPI,0.50765136,0.838134777,0.76147704,0.611458654,0.870194456
LVT_FDR_pvalue_naive_VS_infected_50DPI,0.648722165,0.168840117,0.4868222625,0.967417298,0.486541623
LVT_FDR_pvalue_naive_VS_infected_75DPI,0.648722165,0.929627582,0.542141597,0.967417298,0.486541623
LVT_FDR_pvalue_naive_VS_infected_142DPI,0.24707731200000002,0.2229869325,0.4868222625,0.24707731200000002,0.486541623
LVB_FDR_pvalue_naive_VS_infected_50DPI,0.486364764,0.222986933,0.014722128,0.729547146,0.486364764
LVB_FDR_pvalue_naive_VS_infected_75DPI,0.027557330999999997,0.024978221999999998,0.092755625,0.729547146,0.1855112505
LVB_FDR_pvalue_naive_VS_infected_142DPI,0.25682667150000005,0.028288294500000002,0.014722128,0.902462275,0.1855112505
RVT_FDR_pvalue_naive_VS_infected_50DPI,0.682673808,0.512274875,0.55653375,0.512274875,0.512274875
RVT_FDR_pvalue_naive_VS_infected_75DPI,0.00210537,0.013509369000000002,0.552644208,0.094075176,0.013509369000000002
RVT_FDR_pvalue_naive_VS_infected_142DPI,0.682673808,0.512274875,0.682673808,0.512274875,0.512274875
RVB_FDR_pvalue_naive_VS_infected_50DPI,0.774840302,0.774840302,0.774840302,0.774840302,0.774840302
RVB_FDR_pvalue_naive_VS_infected_75DPI,7.2e-05,0.0062445554999999995,0.029955051000000003,0.5234164755,0.048916359000000006
RVB_FDR_pvalue_naive_VS_infected_142DPI,0.0370305855,0.00030615600000000003,0.2174871105,0.5234164755,0.2174871105
