filename,mass_400,mass_500,mass_600,mass_700,mass_800
LA_FDR_pvalue_naive_VS_infected_142DPI,1.0,0.967417298,0.868044499,0.967417298,1.0
LA_FDR_pvalue_naive_VS_combo_142DPI,1.0,0.8725788551999999,0.868044499,0.967417298,1.0
LA_FDR_pvalue_naive_VS_BNZ_142DPI,0.684871122,0.340004244,0.680008488,0.967417298,0.95146957
LA_FDR_pvalue_infected_VS_combo_142DPI,0.9119339325,0.8725788551999999,0.868044499,0.967417298,1.0
LA_FDR_pvalue_infected_VS_BNZ_142DPI,0.31353460200000005,0.31353460200000005,0.868044499,0.967417298,0.95146957
LA_FDR_pvalue_combo_VS_BNZ_142DPI,0.803427362,0.803427362,0.868044499,0.967417298,0.95146957
RA_FDR_pvalue_naive_VS_infected_142DPI,0.7483131348,0.870194456,0.609181632,0.917402105,0.917402105
RA_FDR_pvalue_naive_VS_combo_142DPI,0.069193734,0.870194456,0.340004244,0.917402105,0.917402105
RA_FDR_pvalue_naive_VS_BNZ_142DPI,0.191985471,0.870194456,1.0,0.917402105,0.917402105
RA_FDR_pvalue_infected_VS_combo_142DPI,0.742399956,0.870194456,0.609181632,0.917402105,0.917402105
RA_FDR_pvalue_infected_VS_BNZ_142DPI,0.7483131348,0.870194456,0.609181632,0.917402105,0.917402105
RA_FDR_pvalue_combo_VS_BNZ_142DPI,0.85414392,0.870194456,0.17110523400000002,0.917402105,0.917402105
LVT_FDR_pvalue_naive_VS_infected_142DPI,0.24707731200000002,0.445973865,0.973644525,0.49415462400000004,0.8555581499999999
LVT_FDR_pvalue_naive_VS_combo_142DPI,0.870194456,0.579893748,0.973644525,0.8555581499999999,0.8555581499999999
LVT_FDR_pvalue_naive_VS_BNZ_142DPI,0.17110523400000002,0.445973865,1.0,0.8555581499999999,0.8555581499999999
LVT_FDR_pvalue_infected_VS_combo_142DPI,0.870194456,1.0,1.0,1.0,1.0
LVT_FDR_pvalue_infected_VS_BNZ_142DPI,0.8113704374999999,1.0,1.0,0.7314432,0.8555581499999999
LVT_FDR_pvalue_combo_VS_BNZ_142DPI,0.408399128,1.0,1.0,0.8555581499999999,0.8555581499999999
LVB_FDR_pvalue_naive_VS_infected_142DPI,0.275381562,0.056576589000000004,0.029444256,0.902462275,0.742045002
LVB_FDR_pvalue_naive_VS_combo_142DPI,0.743702065,0.3193370808,0.065680524,0.902462275,0.892442478
LVB_FDR_pvalue_naive_VS_BNZ_142DPI,0.005910744,0.005910744,0.0083409,0.902462275,0.892442478
LVB_FDR_pvalue_infected_VS_combo_142DPI,0.743702065,0.743702065,0.81060794,0.902462275,0.892442478
LVB_FDR_pvalue_infected_VS_BNZ_142DPI,0.275381562,0.3193370808,0.6677425605,0.902462275,0.892442478
LVB_FDR_pvalue_combo_VS_BNZ_142DPI,0.129627138,0.3193370808,0.81060794,0.902462275,0.950384432
RVT_FDR_pvalue_naive_VS_infected_142DPI,0.834686812,0.983451991,0.983451991,1.0,0.834686812
RVT_FDR_pvalue_naive_VS_combo_142DPI,0.834686812,0.983451991,0.983451991,1.0,0.834686812
RVT_FDR_pvalue_naive_VS_BNZ_142DPI,0.834686812,0.983451991,0.983451991,1.0,0.834686812
RVT_FDR_pvalue_infected_VS_combo_142DPI,0.834686812,0.983451991,0.983451991,1.0,0.834686812
RVT_FDR_pvalue_infected_VS_BNZ_142DPI,0.834686812,0.983451991,0.983451991,1.0,0.834686812
RVT_FDR_pvalue_combo_VS_BNZ_142DPI,0.834686812,0.983451991,0.983451991,1.0,0.834686812
RVB_FDR_pvalue_naive_VS_infected_142DPI,0.148122342,0.0006123120000000001,0.434974221,0.7374465630000001,0.434974221
RVB_FDR_pvalue_naive_VS_combo_142DPI,0.535618242,0.012511353000000001,0.419696214,0.8961276539999999,0.798315205
RVB_FDR_pvalue_naive_VS_BNZ_142DPI,0.535618242,0.3657216,0.721444312,0.918507527,0.798315205
RVB_FDR_pvalue_infected_VS_combo_142DPI,0.5531504988,0.458593991,0.5899572504,0.7374465630000001,0.6878909865
RVB_FDR_pvalue_infected_VS_BNZ_142DPI,0.5531504988,0.251111866,0.5899572504,0.7374465630000001,0.434974221
RVB_FDR_pvalue_combo_VS_BNZ_142DPI,0.838134777,0.458593991,0.5899572504,0.7374465630000001,0.6878909865
