MouseID,Treatment_group,X368.389_3.90,X102.092_0.611,X114.092_1.761,X137.046_0.35,X166.053_0.305,X258.111_0.302,X280.263_3.169,X377.146_2.225,X385.165_2.771,X387.192_2.843,X428.205_2.248,X430.223_2.769,X444.332_3.016,X472.363_3.023,X488.359_3.01,X516.39_3.018,X532.385_3.004,X560.416_3.006,X576.411_2.999,X604.442_3.001,X608.393_3.098,X616.308_2.766,X620.437_2.993,X648.468_2.995,X650.403_3.014,X664.463_2.992,X666.433_3.092,X679.068_2.179,X708.489_2.982,X752.515_2.977,X898.581_3.224
612,combo,7.08E-05,0.000210753,0.000406205,0.006052454,0,0.000491508,0.000788038,0,0,7.95E-05,0.000124026,0.000113872,7.24E-05,6.41E-05,0.000264485,7.44E-05,0.000352662,0.000138054,0.000438701,7.05E-05,0.004508875,0.000160503,0.000393085,6.05E-05,0,0.000380161,0,0,0.000228473,8.25E-05,0
613,combo,0.000380827,0.000201715,0.000198521,0.00380827,5.65E-05,0.000437337,0.000913985,0,3.10E-05,6.90E-05,4.32E-05,8.89E-05,8.01E-05,2.75E-05,0.000208841,0,0.000174935,2.58E-05,0.000304662,2.31E-05,0.002530657,4.13E-05,0.000182551,0,0.000119653,0.000230462,0.000557727,2.75E-05,0.000106877,0.000120145,6.24E-05
614,combo,0.000146868,0.000286445,0.000159457,0.003020319,5.37E-05,0.000170039,0.001165843,4.30E-05,0,0,9.30E-05,0.000255397,6.04E-05,3.32E-05,0.000168967,3.71E-05,0.000221067,4.18E-05,0.00025352,2.82E-05,0.003926415,0,0.000227234,2.57E-05,0,0.000208012,0.000721856,4.39E-05,0.000132025,5.10E-05,0
615,combo,4.53E-05,0.000226328,9.92E-05,0.004896341,0,9.23E-05,0.000654415,6.66E-05,0,3.50E-05,0.000158018,0.000348394,0.000176248,9.20E-05,0.000251879,0.000138777,0.000419014,0.00021883,0.00052259,0.000247171,0.005531924,0,0.000470802,0.000184064,0.000338977,0.00042843,0.000953374,0,0.000270711,0.000142405,0.000343685
631,BNZ,0.000243967,0.000106712,0.000153242,0.004774179,3.74E-05,0.000231348,0.000683528,7.12E-05,3.35E-05,0,0.000188546,0.000746623,1.91E-05,0,5.61E-05,5.40E-05,0.000121437,5.90E-05,9.81E-05,5.26E-05,0.004206325,0,0.000129452,2.92E-05,0.000294443,8.46E-05,0.00065198,0,3.66E-05,2.00E-05,0.000119238
632,BNZ,7.46E-05,0,0.000419394,0.004976681,0,0.000640459,0.000965938,0,0.00018129,6.14E-05,0.000130355,0.001202173,0.000119935,0,0.000237917,0,0.00062471,0,0.000551215,0,0.005249664,0,0.000530216,0,0.000312186,0.000241511,0.001018435,0,0.000170148,0.000113173,0
633,BNZ,0.000533671,0,0.000208759,0.003139239,0,0.00017517,0.00045519,0,4.05E-05,7.57E-05,0.000102339,0.000157276,0,0,4.80E-05,0,0.000109246,0,7.47E-05,2.28E-05,0.003641518,4.55E-05,0.00012557,0,0.000354734,5.62E-05,0.000489721,0,4.11E-05,0,0
634,BNZ,0.000352542,0.000194999,0.000139244,0.004088688,0,0.000408869,0.000686213,0,9.24E-05,4.89E-05,0.000190138,0.000966417,0,0,0,0,2.86E-05,2.82E-05,3.46E-05,2.36E-05,0.003459659,4.12E-05,6.95E-05,0,0.0002945,3.15E-05,0.000594718,0,0,0,0
635,BNZ,6.42E-05,0,0.000207687,0.013201019,0,0,0.000896933,0,0.000142223,7.41E-05,9.88E-05,0.001168313,0.000207841,0.000287367,0.000469165,0.000309757,0.000680749,0.000422163,0.00094293,0.000356543,0.005795569,3.98E-05,0.000781942,0.000230825,0.000450979,0.000846337,0.001136116,0,0.000515162,0.000270149,0
666,infected,0.000237547,0,0.000112441,0.00374012,2.02E-05,0.000228095,0.00100256,0,7.60E-05,0,0.000141482,0.000875292,2.65E-05,2.80E-05,7.73E-05,3.44E-05,0.00011932,6.10E-05,0.000176559,3.09E-05,0.002753144,0,0.000156676,3.04E-05,0.000329858,0.000136259,0,2.64E-05,7.90E-05,3.21E-05,9.22E-05
667,infected,0.000290024,0.000141372,0,0.003881204,5.55E-05,0.001085458,0.000731458,2.20E-05,0.00012908,0,0.000109483,6.70E-05,3.22E-05,0,6.00E-05,0,0.000148595,0,9.08E-05,0,0.002516385,0.0001687,0.000148426,0,0.000232446,7.41E-05,0.000735723,5.10E-05,5.08E-05,3.68E-05,0.000223916
