MouseID,Treatment_group,X268.105_0.35,X269.088_0.35,X111.044_2.768,X122.082_0.534,X130.087_0.452,X137.046_0.35,X142.035_0.315,X172.134_2.343,X175.148_2.71,X198.15_2.471,X200.165_3.207,X214.181_2.634,X216.16_2.471,X228.196_2.71,X230.176_2.586,X232.191_2.63,X242.212_2.78,X249.112_2.768,X256.227_2.847,X256.227_3.318,X258.207_2.775,X272.222_2.957,X278.248_3.1,X280.189_2.775,X280.264_3.159,X282.28_3.246,X296.259_2.971,X303.305_3.529,X303.648_2.884,X306.279_2.989,X306.279_3.212,X308.295_3.045,X308.295_3.285,X324.327_3.455,X327.232_3.01,X333.063_2.524,X334.311_3.335,X352.321_3.187,X368.316_2.962,X368.317_3.315,X369.17_2.767,X399.394_3.159,X399.395_3.152,X489.228_2.768,X506.255_3.172,X530.289_2.929,X568.341_2.887,X570.357_2.934,X599.241_2.765,X602.344_2.984,X604.362_2.948,X637.306_3.32,X666.434_3.024,X705.141_2.339,X776.148_2.398,X776.253_2.398,X776.411_2.398,X792.329_2.764,X811.309_2.773,X811.31_2.767,X819.211_2.398,X819.322_2.398,X819.378_2.399
581,infected,0,0.000183314,0.000107825,0.00030936,0.001970824,0.003522976,0.000556528,0.000102431,0.000498459,5.43E-05,0.001347921,0.001194748,0,0.03170679,3.90E-05,6.61E-05,0.000113947,0.000134337,0.000883297,0,0.002736689,0.012662292,0.002767323,0,0.004115245,0.005013859,0.00063822,0,0,0.000305277,0.000203819,0.005003648,0.002547776,6.77E-05,0,0.006739607,0.000530999,0.004773888,0.000163449,0,0.002251641,0.000156642,0,0.005207878,0,0.000364965,0.002353757,0,0.000760759,9.80E-05,0,0.004258206,0.000366615,0.000129379,0,0,0,0.00022434,0,0.000237525,0,0,0
582,infected,0,0.000992729,0.000161823,9.21E-05,0.001840271,0.005114871,0.000622445,0.000107426,0.000453085,5.80E-05,0.001721195,0.000963436,4.73E-05,0.0289572,5.74E-05,0,8.33E-05,0.000171009,0.00084436,0,0.002884895,0.000692808,0.002911958,0,0.004254273,0.004643978,0.000539611,0,0,0.000146645,0.000284301,0.004400413,0.002749581,0.000202478,0,0.007090456,0.000757759,0.004124372,0,0,0.002381527,0,0.000283089,0.007631712,0,0.000533009,0.005791441,0.000184716,0.001201589,9.72E-05,0,0.005466687,0.000211679,0.000124496,0,0,0,0.000390484,0,0.000375748,0,0,0
583,infected,8.15E-05,0.000654834,9.05E-05,6.79E-05,0.00129354,0.006032218,0.00069677,7.04E-05,0.000419352,7.82E-05,0.001067735,0.001122573,3.75E-05,0.02283856,7.28E-05,7.42E-05,0.000103994,0.000134521,0.000712898,3.91E-05,0.00209676,0.000567738,0.001338701,2.95E-05,0.001987083,0.002712885,0.000364514,0.000142623,3.83E-05,0.000124441,0.000115413,0.0024645,0.001693537,0.000422578,0.0001726,0.003806426,0.001119347,0.003419332,8.70E-05,3.06E-05,0.001716118,0,3.91E-05,0.005516092,0,8.10E-05,0.00690318,0.000354836,0.000783866,0.000130954,0.000294099,0.002248372,3.00E-05,0.000112447,5.12E-05,0.00014672,5.81E-05,0.000194735,9.00E-05,0.000240641,5.07E-05,0.000111762,0.000143191
584,infected,0.000194512,0.00088658,0.000117937,0,0.001773159,0.007929656,0.001007727,0.000263573,0.000504297,0.000114368,0,0.001216982,0,0.03138822,0.000136191,0.000143859,5.01E-05,0.00023495,0.00095266,0,0.002235722,0.000454353,0.002615685,0,0.004284217,0.004146549,0.000627764,0,0,0.00020597,0.000210617,0.004025402,0.002428457,0.000118913,0,0.00710365,0.000578204,0.003959321,4.60E-05,0,0.003001155,0,0.00027971,0.008865796,0,0,0.004091482,4.85E-05,0.00135465,0.000206725,0.00013629,0.004609113,0,0,0,0,0,0.000232682,0,0.000414144,0,0,0
585,infected,0,0.000345774,0.000103153,0.000163057,0.001036544,0.003034769,0.000714063,0.00025436,0.000504312,0.000124318,0,0.001186267,5.67E-05,0.03541524,0.000195593,0.000129574,0.000287012,0.000248952,0.001036544,0,0.002942632,0.000503862,0.002562566,0,0.004025244,0.004969651,0.000581616,0,0,0.000149191,0.000229602,0.004750825,0.00242436,0.000134691,0,0.006910291,0.000696788,0.003616386,0,0,0.002879288,0.000459299,0.000247231,0.008695449,6.26E-05,0.000134065,0.002015501,0,0.00133599,6.73E-05,4.85E-05,0.004906306,0,0,0,0,0,0.000438966,0,0.000245386,0,0,0
611,combo,0,0.000291075,0.000157565,0.000507299,0.002120444,0.00330152,0.000807527,0.000201194,0.000582298,0.000190987,0.002334685,0.001142623,0.000117462,0.03279546,0.000177048,0.000125946,0.000274025,0.000146086,0.000983315,0,0.003581682,0.002235805,0.003235599,0,0.004630917,0.005449431,0.000604272,0,0,0.0002206,0.000384934,0.005136308,0.002691755,0.000332194,0,0.007251258,0.000856967,0.004806705,9.69E-05,0,0.002351166,0,0.000217271,0.007086457,0.000122249,0.000378323,0.005339563,0.000123667,0.001082195,0.000120215,4.94E-05,0.005768046,0.000211822,0.000133487,5.06E-05,0,0,0.000294372,0,0.000282893,0,5.45E-05,0
612,combo,0,0.001152732,0.000168404,0,0.002132402,0.005181907,0.001209674,0.000256615,0.000590771,0.00015175,0.002194293,0.00163728,0.00013328,0.03809067,0.000211782,0.000147556,0.000205702,0.000211094,0.001237806,0,0.003674034,0.001609148,0.003308318,0,0.003983485,0.006076503,0.000832706,0,0,0.000227553,0.000362576,0.005187533,0.003167659,0.000158199,0.000163527,0.007201781,0.000782068,0.00531694,0.000111157,0,0.002357458,0,0.000383544,0.006864198,6.49E-05,0.00013387,0.00470929,5.83E-05,0.001080267,0.000203035,0.000189111,0.005575754,0,0.00013649,0,4.91E-05,0,0.000323449,0,0.000313258,0,5.14E-05,5.65E-05
613,combo,0.000228064,0.001298637,4.17E-05,0.000286968,0.000630767,0.008109856,0.001176724,0.000189397,0.000540657,0.000125412,0.001542463,0.001462954,5.63E-05,0.03551375,0.000159308,0.000155308,0.000152481,7.10E-05,0.001054811,0,0.003323451,0.000715576,0.002491263,5.69E-05,0.003901212,0.004616787,0.000752679,0,6.23E-05,0.000230879,0.000252579,0.003583178,0.002613176,0.000196298,0.000301586,0.006360671,0.000614865,0.004463071,0.000157405,0,0.00160607,0,0.000167003,0.004754602,0,0,0.008586906,0.000481306,0.000704974,0.000174419,0.000434579,0.003848206,5.65E-05,4.93E-05,0,0,0,0.000111765,0,0.000199828,0,0,0
614,combo,0,0.001548175,0,0,0.002295338,0.006731196,0.001669337,0.000146759,0.000693313,0.000102044,0.002086671,0.001904928,8.70E-05,0.04126223,4.96E-05,0.00011107,0.000235185,6.98E-05,0.001191422,0,0.005775366,0.000542632,0.00371562,0.000294987,0.005452269,0.006731196,0.000774088,0,0.00016078,0.000321619,0.000508454,0.005391688,0.003453104,0.00032161,0.000498245,0.007538939,0.000922174,0.005512849,0.000135543,0,0.001265465,0,9.65E-05,0.003130006,0.000258387,0,0.011308409,0.000495688,0.000528804,0.000204043,0.000295566,0.005102247,6.65E-05,8.21E-05,0.00017219,0.000271134,0.000181289,0,0,0.000128677,0.000207812,0.00023597,0.000247892
615,combo,0.001402512,0.001330846,0,0.000557241,0.000850856,0.010376287,0.001853897,0.000280669,0.001099886,0.000208332,0.002787763,0.00209601,0.000175138,0.05734628,0.000165742,0.000350799,0.000262652,0,0.001763969,0,0.004185103,0.000733258,0.002621742,0,0.004420298,0.005872979,0.000690618,0,6.08E-05,0.000155488,0.000159601,0.004233525,0.001182897,0,0.00080935,0.009407834,0.000459926,0.004330371,0,0,0.000899278,0,0,0.001016876,7.83E-05,0.00012886,0.008370205,0.000406978,8.00E-05,0.000283321,0.00072634,0.006474803,0.000218354,0,0.000164987,8.56E-05,0,0,0,0,0.000170816,8.99E-05,9.85E-05
