MouseID,Ejection_Fraction,Fractional_Shortening,Diameter_s,Diameter_d,Volume_s,Volume_d,LVAW_s,LVAW_d,LVPW_s,LVPW_d,LV_Mass,LV_Mass_Cor,Cardiac_Index,Cardiac_Output,Stroke_Volume,R_Amplitude_(V),Heart_Rate,JT_Interval_(s),Tpeak_Tend_Interval_(s),QT_Interval_(s),QTc_(s),S_Amplitude_(V),QRS_Interval_(s),Q_Amplitude_(V),CD3+CD4+,CD3+CD4+IL-2+,CD3+CD4+IL-4+,CD3+CD4+IFNg+,CD3+CD4+IL-17+,CD3+CD4+TNFa+,CD3+CD8+,CD3+CD8+IL-2+,CD3+CD8+IL-4+,CD3+CD8+IFNg+,CD3+CD8+IL-17+,CD3+CD8+TNFa+,Liver_Weight_Body_Weight_ratio,Liver_Weight,Body_Weight,T_Amplitude_(V),Heart_Weight,Heart_Weight_Body_Weight_ratio,P_Amplitude_(V),RR_Interval_(s),P_Duration_(s),PR_Interval_(s)
669,66.774955,36.6581035,2.234631,3.490665,18.122966,51.235597,1.7141015,1.136296,1.160404,0.773595,124.1549185,99.323935,0.618446173,13.9768835,33.1126305,0.8804,422.271369,0.008427,0.006179,0.01786,0.04787,-0.2947,0.009436,0.02097,0.028,-0.0373,-0.0008,0.0016,0.003,-0.0018,-0.036,-0.007,0.0013,0.0044,-0.0013,0.0011,0.055752212,1.26,22.6,0.4138,0.15,0.006637168,0.1236,0.1394,0.01258,0.03676
670,64.06869,33.844776,2.138357,3.2323515,15.0850375,41.9842925,1.6850155,1.0916355,1.160411,0.914263,115.81102,92.6488165,0.455345494,11.0648955,26.899255,1.004,411.337151,0.009525,0.007291,0.01915,0.05014,-0.1437,0.009622,0.01766,-0.021,-0.0406,0.0029,0.0008,-0.0144,-0.0147,-0.019,-0.045,0.0081,-0.0077,0.036,-0.0091,0.056378601,1.37,24.3,0.2744,0.16,0.006584362,0.1016,0.146,0.01523,0.03622
696,63.7626865,33.701341,2.185449,3.295402,15.983822,44.0274885,1.7923005,1.260091,1.0337525,0.669878,114.0871415,91.2697135,0.535814977,11.627185,28.043666,1.65,414.482184,0.01031,0.007392,0.01781,0.04526,-0.1497,0.007508,-0.01745,-0.011,0.004,-0.0068,-0.0003,0.0019,-0.0031,0.007,0.0156,-0.0035,0.0029,0.004,0.0041,0.055760369,1.21,21.7,0.2898,0.13,0.005990783,0.2225,0.1556,0.01081,0.0363
697,74.06804,41.8089735,1.8846985,3.238813,10.940298,42.188435,2.0209625,1.415959,1.322931,0.864973,141.310978,113.0487825,0.547419686,13.0833305,31.248137,1.012,418.731038,0.007489,0.005812,0.01704,0.04469,-0.5462,0.009546,-0.004726,-0.001,-0.0041,-0.0072,0.0013,0.0002,0.0002,-0.005,-0.0042,0.001,0.002,0.0246,0.0016,0.058577406,1.4,23.9,0.3147,0.13,0.005439331,0.08632,0.1454,0.0133,0.03546
698,65.13987,34.9953735,2.389798,3.6773505,19.947608,57.3114575,1.8208645,0.964126,1.01064,0.8859885,125.450924,100.360739,0.764421529,15.7470835,37.3638485,1.082,421.2911775,0.006909,0.004958,0.01704,0.04467,-0.6401,0.01013,0.002115,-0.012,-0.0055,0.003,0.0006,-0.0007,-0.0019,0.02,-0.0048,0.0125,-0.0014,0.0504,-0.0046,0.054854369,1.13,20.6,0.4105,0.12,0.005825243,0.116,0.1455,0.01513,0.03607
699,72.4044545,40.461758,1.9827585,3.330275,12.452435,45.127816,1.886108,1.399191,1.3404565,0.7849475,138.711797,110.969438,0.679695586,15.089242,32.6753815,1.077,461.92473,0.01019,0.00727,0.01866,0.05251,-0.4631,0.008463,0.02935,0.006,0.0036,-0.0087,-0.001,0.0001,-0.0026,0.001,0.0017,-0.0024,0.0048,0.0163,-0.0007,0.05990991,1.33,22.2,0.4382,0.16,0.007207207,0.1866,0.1263,0.01292,0.03528
700,70.756555,39.138483,2.0631235,3.3899945,13.77472,47.1131385,1.64556,1.1777895,1.3421355,0.8372005,125.232716,100.1861725,0.60396925,14.495262,33.3384185,1.358,434.775452,0.01241,0.00996,0.01986,0.05237,0.2118,0.007468,0.04963,0.005,-0.0006,0.0028,0.0004,-0.0011,0.0017,-0.005,0.0063,0.0007,0.0006,-0.0002,0.0033,0.055416667,1.33,24,0.2997,0.14,0.005833333,0.05283,0.1439,0.01321,0.0319
716,58.125892,30.034061,2.59449,3.7082545,24.486548,58.4790145,1.39626,0.9982405,1.1079305,0.751825,117.5449105,94.0359285,0.57777988,14.502275,33.9924665,1.022,426.5653,0.01095,0.008431,0.01806,0.04721,0.02445,0.007105,0.02095,-0.016,0.0018,0.0084,0,-0.0007,-0.0003,0.021,-0.0037,0.0016,-0.0027,0.0077,-0.0057,0.055776892,1.4,25.1,0.3705,0.11,0.00438247,0.08168,0.1464,0.01787,0.04104
717,62.5932835,33.1784255,2.489765,3.72547,22.1271485,59.102316,1.47379,0.895591,1.025439,0.6763525,102.079137,81.6633095,0.66737188,15.616502,36.9751675,1.154,422.363446,0.008979,0.007229,0.01653,0.04321,-0.1658,0.007537,0.02795,0.005,0.0017,-0.0027,0.0004,-0.0002,-0.0002,-0.001,0.0005,0.0036,-0.0006,0.0002,0.0001,0.055555556,1.3,23.4,0.2933,0.11,0.004700855,0.131,0.1464,0.01542,0.03819
718,48.222922,23.842886,2.9310145,3.848569,33.068348,63.8596385,1.2937755,0.9204725,1.1131565,0.8667565,128.476724,102.7813795,0.497613432,11.743677,30.7912905,1.511,381.3311885,0.008364,0.006417,0.01644,0.04239,-0.4264,0.008076,0.0351,0.004,-0.0018,0.0043,-0.0005,0.0005,-0.0017,0.003,0.0057,0.0022,0.0043,0.0066,0.0046,0.058898305,1.39,23.6,0.4121,0.09,0.003813559,0.1247,0.1504,0.01473,0.03943
719,41.488826,19.9347305,3.077558,3.8438275,37.259292,63.680497,1.4245245,0.996299,1.4588725,1.1843695,170.4426915,136.354153,0.47966278,10.69648,26.421205,1.417,404.8384255,0.008706,0.006697,0.01681,0.04418,-0.1318,0.008103,0.0437,-0.018,0.0024,-0.0059,0.0004,0.0012,0.0001,0.011,0.0099,-0.0014,0.0047,0.0059,0.0048,0.056053812,1.25,22.3,0.5802,0.13,0.005829596,0.07887,0.1447,0.01439,0.03687
