filename,AUC
X123.092_1.106_7698,0.6074
X131.047_7.121_7389,0.6054
X131.047_7.125_3361,0.5124
X150.103_3.22_9440,0.6116
X151.075_1.248_1411,0.5413
X154.05_2.529_2495,0.3698
X155.093_0.536_4856,0.5083
X156.042_4.747_2746,0.5682
X177.043_6.094_9230,0.5
X196.119_1.456_7597,0.5
X200.164_1.58_8848,0.5
X218.113_5.562_4490,0.3678
X220.169_1.342_2619,0.4215
X233.153_1.199_6396,0.4917
X245.091_1.803_1856,0.5
X257.062_6.876_4325,0.5
X272.222_1.107_9100,0.6157
X288.216_2.901_9261,0.5
X297.154_2.153_303,0.5248
X324.059_4.145_4567,0.5702
X328.102_5.723_7490,0.595
X335.221_1.163_9150,0.655
X347.221_1.342_3147,0.6405
X351.068_6.898_7056,0.6074
X352.165_1.629_2839,0.4587
X366.058_5.726_5473,0.5785
X398.326_2.057_4420,0.7541
X489.259_1.409_8897,0.5
X510.355_2.184_3394,0.5661
X663.57_1.311_4540,0.4587
X709.072_6.328_7517,0.5103
X728.704_4.942_5845,0.5
X744.552_1.366_2364,0.5207
X746.567_1.47_9198,0.7624
