filename
X123.092_1.106_7698
X131.047_7.121_7389
X131.047_7.125_3361
X150.103_3.22_9440
X151.075_1.248_1411
X154.05_2.529_2495
X155.093_0.536_4856
X156.042_4.747_2746
X177.043_6.094_9230
X196.119_1.456_7597
X200.164_1.58_8848
X218.113_5.562_4490
X220.169_1.342_2619
X233.153_1.199_6396
X245.091_1.803_1856
X257.062_6.876_4325
X272.222_1.107_9100
X288.216_2.901_9261
X297.154_2.153_303
X324.059_4.145_4567
X328.102_5.723_7490
X335.221_1.163_9150
X347.221_1.342_3147
X351.068_6.898_7056
X352.165_1.629_2839
X366.058_5.726_5473
X398.326_2.057_4420
X489.259_1.409_8897
X510.355_2.184_3394
X663.57_1.311_4540
X709.072_6.328_7517
X728.704_4.942_5845
X744.552_1.366_2364
X746.567_1.47_9198
