filename,AUC
X272.258_2.131_7268,0.5357
X274.177_1.358_6891,0.5091
X275.123_5.772_5405,0.4753
X276.144_6.178_7411,0.4981
X276.144_6.32_2570,0.3497
X277.216_1.118_1404,0.6143
X277.216_1.128_9099,0.5813
X278.159_1.491_4078,0.4929
X279.231_1.197_1557,0.5228
X280.263_1.969_5396,0.55
X282.279_1.958_8403,0.4758
X283.205_1.322_4278,0.5478
X284.098_6.182_8319,0.4714
X284.331_5.094_2559,0.3176
X287.2_1.336_8034,0.5192
X290.138_2.565_9563,0.5
X293.177_1.429_8954,0.4962
X294.835_8.639_883,0.4997
X297.154_2.186_5254,0.6217
X298.096_2.699_8975,0.4857
X298.114_5.033_8437,0.6143
X298.116_3.493_7945,0.5124
X300.191_2.688_3683,0.5
X301.118_2.312_8464,0.6168
X302.214_2.766_3060,0.5
X302.905_6.216_5239,0.5162
X303.145_4.015_6898,0.4918
X304.161_8.401_3873,0.4552
X305.086_4.043_3188,0.4832
X305.124_4.405_4008,0.4786
X308.05_1.25_7029,0.4857
X309.205_1.137_9558,0.5
X310.809_8.64_760,0.5025
X311.185_1.083_7342,0.5225
X311.185_1.26_9511,0.5577
X311.221_1.349_4471,0.5349
X312.807_8.639_3264,0.4904
X313.076_1.474_73,0.6272
X313.085_3.598_9328,0.5769
X314.18_2.191_8050,0.6654
X315.195_1.152_9155,0.6346
X317.149_2.314_2499,0.4901
X317.149_2.676_2964,0.5206
X317.149_3.032_7646,0.4975
X317.181_4.546_8100,0.5681
X318.094_5.473_3492,0.5294
X318.094_5.51_8833,0.5165
X319.128_2.318_3329,0.4805
X324.059_4.168_4232,0.653
X327.075_2.233_9229,0.5319
X330.227_3.509_9456,0.5
X330.227_3.554_9455,0.5
X330.227_4.262_8189,0.5319
X332.11_4.85_8999,0.5382
X332.145_5.854_2735,0.5896
X333.069_6.948_8371,0.4857
X333.205_1.17_9158,0.5385
X335.221_1.163_9150,0.5769
X337.203_1.454_9304,0.517
X338.134_5.985_3540,0.5055
X338.182_2.315_9146,0.5
X339.195_1.596_9276,0.5
X339.231_1.312_8419,0.6431
X341.029_2.732_4312,0.625
X341.173_5.973_2742,0.4467
X341.18_1.984_8156,0.4541
X341.211_1.309_5754,0.6703
X341.304_1.473_1602,0.5423
X342.263_2.32_9097,0.5176
X347.087_1.184_9286,0.5
X348.765_8.639_879,0.5195
X350.116_1.677_1534,0.4887
X352.248_1.065_9189,0.5577
X355.226_1.346_8887,0.5533
X362.116_1.299_9196,0.5
X363.216_1.65_4472,0.531
X366.238_2.069_9217,0.4975
X368.279_2.301_9566,0.5
X370.735_1.528_634,0.4923
X375.353_1.356_1366,0.4995
X378.111_1.36_8201,0.4857
X385.244_2.157_7575,0.522
X386.206_10.751_9144,0.497
X387.15_5.771_8214,0.4929
X389.231_1.342_3661,0.5005
X391.193_0.985_3426,0.4549
X398.215_1.313_5336,0.4712
X398.326_2.02_2576,0.6313
X398.326_2.057_4420,0.6385
X399.068_6.247_9497,0.5192
X399.192_1.126_8924,0.5118
X400.268_1.332_8886,0.6148
X400.289_1.41_6726,0.5
X402.211_2.651_9321,0.5
X402.233_1.818_5153,0.5706
X402.285_1.274_7696,0.603
X403.356_1.077_2440,0.6582
X405.226_1.106_6417,0.5571
X415.252_1.597_593,0.4962
X415.253_1.59_7725,0.511
X416.266_1.376_1725,0.511
X417.718_4.856_9316,0.5
X419.762_1.425_8384,0.4857
X423.274_1.601_8870,0.517
X424.268_1.32_8542,0.6552
X426.321_1.289_1191,0.6011
X428.204_5.284_8080,0.4907
X428.3_1.308_1670,0.6005
X430.758_8.638_3267,0.4964
X432.31_1.767_9092,0.5124
X445.181_5.954_8225,0.4929
X446.732_8.639_2973,0.4799
X457.326_1.285_1335,0.5635
X460.293_1.443_792,0.5165
X464.313_1.894_4405,0.5198
X464.373_1.257_5273,0.5676
X465.285_1.533_8262,0.5124
X471.295_1.048_8815,0.6404
X473.264_1.341_4988,0.5734
X478.328_2.191_2267,0.4255
X480.344_2.266_9305,0.5508
X486.321_1.307_8198,0.5582
X487.298_1.539_9135,0.5192
X489.314_1.503_4073,0.4563
X494.324_2.261_3378,0.5102
X495.327_2.27_8339,0.5192
X497.383_1.275_5142,0.6044
X499.279_1.326_9545,0.5385
X499.373_1.333_9151,0.5118
X502.812_12.342_5233,0.55
X502.812_12.391_2511,0.5516
X504.271_2.629_3300,0.511
X508.339_2.161_6955,0.5593
X512.334_2.77_3502,0.5599
X516.333_1.292_1563,0.5058
X518.323_2.462_5050,0.5286
X519.404_1.095_8889,0.5618
X519.404_1.129_4301,0.678
X524.371_2.016_1150,0.5648
X528.309_1.811_2535,0.5341
X531.325_1.451_9137,0.5
X532.28_2.435_3726,0.6137
X533.34_1.477_3285,0.5445
X534.311_1.576_6085,0.5945
X534.318_2.33_9101,0.5503
X535.037_1.345_6708,0.5
X538.368_1.359_6697,0.5
X540.33_1.655_8139,0.4975
X540.368_1.355_6702,0.5
X540.411_1.3_8309,0.6522
X544.385_1.261_9565,0.5
X545.376_1.349_6672,0.5
X546.255_4.136_9131,0.5
X547.436_1.085_2449,0.7137
X548.334_1.736_2934,0.6074
X548.346_1.386_7220,0.4824
X550.291_2.767_8902,0.511
