filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X524_Group1A_50dpi_RA_259_B_A9_P125.mzXML,524,Group1A,naive,50,RA,A9,P125,0.038906483
X524_Group1A_50dpi_RV_bottom_259_B_A9_P141.mzXML,524,Group1A,naive,50,RV_bottom,A9,P141,0.061671712
X524_Group1A_50dpi_RV_top_259_B_A9_P137.mzXML,524,Group1A,naive,50,RV_top,A9,P137,0.049416121
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,525,Group1A,naive,50,LA,A10,P121,0.100862226
X525_Group1A_50dpi_LV_bottom_260_B_A10_P133.mzXML,525,Group1A,naive,50,LV_bottom,A10,P133,0.169018743
X525_Group1A_50dpi_LV_top_260_B_A10_P129.mzXML,525,Group1A,naive,50,LV_top,A10,P129,0.139413848
X525_Group1A_50dpi_RA_260_B_A10_P125.mzXML,525,Group1A,naive,50,RA,A10,P125,0.059212608
X525_Group1A_50dpi_RV_bottom_260_B_A10_P141.mzXML,525,Group1A,naive,50,RV_bottom,A10,P141,0.050897528
X525_Group1A_50dpi_RV_top_260_B_A10_P137.mzXML,525,Group1A,naive,50,RV_top,A10,P137,0.072786484
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,541,Group1A,naive,50,LA,A11,P121,0.16629529
X541_Group1A_50dpi_LV_bottom_261_B_A11_P133.mzXML,541,Group1A,naive,50,LV_bottom,A11,P133,0.181160002
X541_Group1A_50dpi_LV_top_261_B_A11_P129.mzXML,541,Group1A,naive,50,LV_top,A11,P129,0.078271496
X541_Group1A_50dpi_RA_261_B_A11_P125.mzXML,541,Group1A,naive,50,RA,A11,P125,0.056517583
X541_Group1A_50dpi_RV_bottom_261_B_A11_P141.mzXML,541,Group1A,naive,50,RV_bottom,A11,P141,0.061756904
X541_Group1A_50dpi_RV_top_261_B_A11_P137.mzXML,541,Group1A,naive,50,RV_top,A11,P137,0.0547212
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,542,Group1A,naive,50,LA,A12,P121,0.163920955
X542_Group1A_50dpi_LV_bottom_262_B_A12_P133.mzXML,542,Group1A,naive,50,LV_bottom,A12,P133,0.164321464
X542_Group1A_50dpi_LV_top_262_B_A12_P129.mzXML,542,Group1A,naive,50,LV_top,A12,P129,0.143293521
X542_Group1A_50dpi_RA_262_B_A12_P125.mzXML,542,Group1A,naive,50,RA,A12,P125,0.05699362
X542_Group1A_50dpi_RV_bottom_262_B_A12_P141.mzXML,542,Group1A,naive,50,RV_bottom,A12,P141,0.090202696
X542_Group1A_50dpi_RV_top_262_B_A12_P137.mzXML,542,Group1A,naive,50,RV_top,A12,P137,0.079637559
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,543,Group1A,naive,50,LA,B1,P121,0.088559307
