filename,NGP24h
org_pos_1520,1
org_pos_1537,1
org_pos_1554,1
org_pos_2761,1
org_pos_2789,1
org_pos_2839,1
org_pos_3058,1
aq_pos_2043,1
aq_pos_2257,1
aq_pos_2737,1
aq_pos_3909,1
org_pos_1289,1
org_pos_2681,1
org_pos_2808,1
aq_pos_2103,1
aq_pos_2464,1
aq_pos_3094,1
aq_pos_4609,1
org_pos_1339,1
org_pos_1459,1
org_pos_1519,1
org_pos_2454,1
org_pos_2600,1
aq_pos_2484,1
aq_pos_3021,1
org_pos_664,1
org_pos_945,1
org_pos_1595,1
org_pos_1854,1
org_pos_1895,1
org_pos_2653,1
org_pos_1653,1
org_pos_119,1
org_pos_138,1
org_pos_466,1
org_pos_688,1
org_pos_1780,1
org_pos_3222,1
aq_pos_2378,1
aq_pos_2420,1
aq_pos_2426,1
aq_pos_2614,1
org_pos_941,1
org_pos_1195,1
org_pos_3237,1
aq_pos_825,1
aq_pos_2141,1
aq_pos_2991,1
org_pos_2426,1
org_pos_2647,1
org_pos_2736,1
org_pos_2893,1
aq_pos_2087,1
aq_pos_4154,1
org_pos_17,1
org_pos_148,1
org_pos_1674,1
org_pos_1726,1
org_pos_2491,1
org_pos_2675,1
org_pos_2806,1
aq_pos_301,1
aq_pos_1332,1
aq_pos_2264,1
aq_pos_2328,1
aq_pos_3514,1
aq_pos_3861,1
aq_pos_4563,1
org_pos_586,1
org_pos_2526,1
org_pos_2659,1
org_pos_2661,1
org_pos_2843,1
org_pos_3126,1
aq_pos_2041,1
aq_pos_2785,1
org_pos_1564,1
org_pos_2562,1
org_pos_2809,1
org_pos_3424,1
aq_pos_2044,1
aq_pos_2176,1
aq_pos_2771,1
org_pos_193,1
org_pos_641,1
org_pos_2663,1
aq_pos_2236,1
aq_pos_3050,1
aq_pos_3058,1
aq_pos_3218,1
aq_pos_4553,1
org_pos_232,1
org_pos_2467,1
org_pos_2965,1
aq_pos_2391,1
aq_pos_2786,1
org_pos_152,1
org_pos_630,1
org_pos_648,1
org_pos_1692,1
org_pos_1825,1
org_pos_3039,1
org_pos_3175,1
aq_pos_3212,1
aq_pos_4141,1
org_pos_1685,1
org_pos_1814,1
org_pos_2418,1
aq_pos_2040,1
aq_pos_2154,1
aq_pos_2167,1
aq_pos_3376,1
org_pos_209,1
org_pos_589,1
org_pos_2733,1
org_pos_2750,1
org_pos_3164,1
aq_pos_2124,1
aq_pos_2166,1
aq_pos_3127,1
aq_pos_4122,1
org_pos_622,1
org_pos_1633,1
org_pos_1852,1
org_pos_2328,1
org_pos_2581,1
org_pos_2690,1
org_pos_2724,1
org_pos_2901,1
org_pos_3171,1
aq_pos_2143,1
aq_pos_2353,1
org_pos_2466,1
org_pos_2784,1
aq_pos_602,1
aq_pos_2084,1
aq_pos_3670,1
org_pos_113,1
org_pos_166,1
org_pos_753,1
org_pos_1222,1
org_pos_2781,1
org_pos_3084,1
aq_pos_2109,1
aq_pos_2117,1
aq_pos_2125,1
aq_pos_2180,1
aq_pos_2608,1
aq_pos_2721,1
aq_pos_2939,1
aq_pos_3692,1
aq_pos_6253,1
org_pos_230,1
org_pos_1652,1
org_pos_2719,1
org_pos_2732,1
org_pos_2880,1
org_pos_2902,1
org_pos_2955,1
aq_pos_2079,1
aq_pos_3386,1
org_pos_1234,1
org_pos_1729,1
org_pos_2513,1
org_pos_2796,1
org_pos_2804,1
aq_pos_2373,1
aq_pos_2773,1
aq_pos_2840,1
aq_pos_4143,1
aq_pos_4582,1
aq_pos_5101,1
