DPI,DPI_50,DPI_75,DPI_142,sum
X1273.605_3.33,1.76E-05,0.00E+00,0,0.0000176
X568.323_2.953,0.00E+00,1.77E-05,0,0.0000177
X406.208_2.642,1.79E-05,0.00E+00,0,0.0000179
X274.184_2.58,0.00E+00,0.00E+00,0.000018,0.000018
X108.069_4.53,1.81E-05,0.00E+00,0,0.0000181
X506.589_2.206,0.00E+00,0.00E+00,0.0000181,0.0000181
X706.501_3.33,0.00E+00,0.00E+00,0.0000182,0.0000182
X772.584_3.341,1.82E-05,0.00E+00,0,0.0000182
X450.227_2.354,1.83E-05,0.00E+00,0,0.0000183
X630.412_3.133,1.83E-05,0.00E+00,0,0.0000183
X242.1_0.35,1.86E-05,0.00E+00,0,0.0000186
X105.954_3.973,0.00E+00,0.00E+00,0.0000188,0.0000188
X637.582_2.364,1.89E-05,0.00E+00,0,0.0000189
X291.195_2.749,1.91E-05,0.00E+00,0,0.0000191
X836.613_5.59,0.00E+00,1.91E-05,0,0.0000191
X728.558_5.578,0.00E+00,0.00E+00,0.0000191,0.0000191
X248.132_2.378,1.93E-05,0.00E+00,0,0.0000193
X368.389_3.935,0.00E+00,1.94E-05,0,0.0000194
X665.357_2.437,0.00E+00,0.00E+00,0.0000194,0.0000194
X316.513_2.11,0.00E+00,1.95E-05,0,0.0000195
X396.275_2.709,2.01E-05,0.00E+00,0,0.0000201
X399.215_2.764,2.01E-05,0.00E+00,0,0.0000201
X814.535_5.545,0.00E+00,0.00E+00,0.0000201,0.0000201
X591.618_2.201,0.00E+00,2.02E-05,0,0.0000202
X445.367_3.761,0.00E+00,0.00E+00,0.0000202,0.0000202
X698.461_3.073,2.04E-05,0.00E+00,0,0.0000204
X782.532_3.599,0.00E+00,0.00E+00,0.0000204,0.0000204
X620.393_5.623,0.00E+00,2.04E-05,0,0.0000204
X379.284_3.175,0.00E+00,0.00E+00,0.0000206,0.0000206
X358.235_2.594,0.00E+00,0.00E+00,0.000021,0.000021
X792.59_5.628,2.10E-05,0.00E+00,0,0.000021
X724.527_5.587,0.00E+00,0.00E+00,0.000021,0.000021
X344.279_2.867,0.00E+00,2.11E-05,0,0.0000211
X752.485_3.364,0.00E+00,0.00E+00,0.00002112,0.00002112
X1001.653_2.963,0.00E+00,0.00E+00,0.00002115,0.00002115
X200.996_6.431,0.00E+00,2.12E-05,0,0.0000212
X423.573_2.295,0.00E+00,2.12E-05,0,0.0000212
X866.516_2.403,0.00E+00,0.00E+00,0.0000214,0.0000214
X675.543_3.558,0.00E+00,0.00E+00,0.0000215,0.0000215
X766.574_4.17,0.00E+00,0.00E+00,0.0000216,0.0000216
X480.426_3.277,0.00E+00,2.16E-05,0,0.0000216
X331.675_3.046,0.00E+00,0.00E+00,0.0000216,0.0000216
X454.746_2.846,0.00E+00,0.00E+00,0.0000216,0.0000216
X227.179_3.143,1.27E-05,0.00E+00,0.00000897,0.00002167
X509.2_2.63,0.00E+00,0.00E+00,0.0000218,0.0000218
X678.471_3.342,0.00E+00,2.19E-05,0,0.0000219
X444.181_2.262,0.00E+00,2.21E-05,0,0.0000221
X804.555_3.448,0.00E+00,0.00E+00,0.0000222,0.0000222
X700.527_3.967,0.00E+00,0.00E+00,0.0000222,0.0000222
X342.239_2.298,0.00E+00,0.00E+00,0.0000222,0.0000222
X356.244_2.659,2.23E-05,0.00E+00,0,0.0000223
X832.532_3.436,0.00E+00,0.00E+00,0.0000224,0.0000224
X528.33_2.778,1.25E-05,0.00E+00,0.0000101,0.0000226
X834.589_3.339,2.29E-05,0.00E+00,0,0.0000229
X644.392_3.176,2.30E-05,0.00E+00,0,0.000023
X646.408_3.15,0.00E+00,0.00E+00,0.0000231,0.0000231
X524.593_2.203,0.00E+00,0.00E+00,0.0000231,0.0000231
X250.178_3.373,2.32E-05,0.00E+00,0,0.0000232
X370.367_3.219,0.00E+00,0.00E+00,0.0000232,0.0000232
X784.51_3.338,0.00E+00,0.00E+00,0.0000233,0.0000233
X364.357_3.592,0.00E+00,0.00E+00,0.0000234,0.0000234
X401.239_2.217,0.00E+00,2.34E-05,0,0.0000234
X704.807_2.338,0.00E+00,0.00E+00,0.0000241,0.0000241
X594.311_2.18,0.00E+00,0.00E+00,0.0000242,0.0000242
X405.226_2.747,2.42E-05,0.00E+00,0,0.0000242
X504.26_2.172,2.44E-05,0.00E+00,0,0.0000244
X598.49_3.281,0.00E+00,2.44E-05,0,0.0000244
X234.957_6.408,0.00E+00,2.48E-05,0,0.0000248
X577.519_5.582,0.00E+00,0.00E+00,0.0000253,0.0000253
X460.177_2.343,0.00E+00,2.53E-05,0,0.0000253
X344.255_2.329,0.00E+00,2.53E-05,0,0.0000253
X152.057_0.404,0.00E+00,0.00E+00,0.0000257,0.0000257
X777.403_2.243,2.57E-05,0.00E+00,0,0.0000257
X619.662_2.243,2.57E-05,0.00E+00,0,0.0000257
X559.151_0.434,0.00E+00,2.58E-05,0,0.0000258
X281.092_0.366,2.58E-05,0.00E+00,0,0.0000258
X418.243_2.824,2.60E-05,0.00E+00,0,0.000026
X376.318_3.198,0.00E+00,2.62E-05,0,0.0000262
X524.452_3.251,0.00E+00,2.64E-05,0,0.0000264
X618.377_2.972,0.00E+00,0.00E+00,0.0000265,0.0000265
X810.563_3.543,0.00E+00,0.00E+00,0.0000266,0.0000266
X251.128_2.552,2.70E-05,0.00E+00,0,0.000027
X269.139_2.648,2.75E-05,0.00E+00,0,0.0000275
X844.524_3.844,2.79E-05,0.00E+00,0,0.0000279
X456.26_2.587,2.79E-05,0.00E+00,0,0.0000279
X493.749_2.203,2.81E-05,0.00E+00,0,0.0000281
X490.01_2.106,0.00E+00,1.70E-05,0.0000111,0.0000281
X796.621_5.599,0.00E+00,0.00E+00,0.00002834,0.00002834
X240.232_3.555,0.00E+00,0.00E+00,0.0000284,0.0000284
X217.12_4.904,0.00E+00,0.00E+00,0.0000286,0.0000286
X298.115_0.465,2.86E-05,0.00E+00,0,0.0000286
X622.613_4.944,1.82E-05,0.00E+00,0.0000106,0.0000288
X439.98_2.09,0.00E+00,0.00E+00,0.0000288,0.0000288
X492.308_2.804,0.00E+00,0.00E+00,0.0000289,0.0000289
X447.201_2.402,1.51E-05,1.41E-05,0,0.0000292
X718.574_5.582,0.00E+00,0.00E+00,0.0000292,0.0000292
X774.525_3.345,0.00E+00,2.93E-05,0,0.0000293
X796.583_4.129,0.00E+00,2.95E-05,0,0.0000295
X766.573_4.241,0.00E+00,0.00E+00,0.0000295,0.0000295
X674.437_3.128,0.00E+00,0.00E+00,0.0000296,0.0000296
X448.176_2.137,0.00E+00,0.00E+00,0.0000298,0.0000298
X323.097_0.307,0.00E+00,3.00E-05,0,0.00003
X608.356_3.125,0.00E+00,0.00E+00,0.0000301,0.0000301
X207.102_2.325,3.03E-05,0.00E+00,0,0.0000303
X323.258_2.971,1.81E-05,1.23E-05,0,0.0000304
X110.519_5.887,0.00E+00,0.00E+00,0.0000305,0.0000305
X368.258_3.021,0.00E+00,0.00E+00,0.00003064,0.00003064
X152.026_2.261,0.00E+00,1.82E-05,0.0000125,0.0000307
X231.073_0.345,1.50E-05,0.00E+00,0.0000157,0.0000307
X353.352_3.526,1.77E-05,0.00E+00,0.0000131,0.0000308
X798.539_5.559,0.00E+00,0.00E+00,0.0000308,0.0000308
X1039.674_2.917,0.00E+00,3.09E-05,0,0.0000309
X301.075_2.705,3.11E-05,0.00E+00,0,0.0000311
X800.616_5.613,0.00E+00,0.00E+00,0.0000313,0.0000313
X349.055_0.381,3.13E-05,0.00E+00,0,0.0000313
X606.294_2.892,0.00E+00,0.00E+00,0.0000314,0.0000314
X1025.618_2.934,0.00E+00,0.00E+00,0.0000314,0.0000314
X698.459_3.07,0.00E+00,0.00E+00,0.00003172,0.00003172
X372.459_2.145,0.00E+00,3.19E-05,0,0.0000319
X511.508_2.212,3.19E-05,0.00E+00,0,0.0000319
X668.354_2.886,0.00E+00,0.00E+00,0.000032,0.000032
X430.463_2.234,3.21E-05,0.00E+00,0,0.0000321
X470.327_2.847,0.00E+00,0.00E+00,0.0000323,0.0000323
X382.295_2.86,0.00E+00,0.00E+00,0.0000324,0.0000324
X328.139_0.502,0.00E+00,3.26E-05,0,0.0000326
X445.22_2.732,3.26E-05,0.00E+00,0,0.0000326
X439.233_2.586,0.00E+00,0.00E+00,0.0000327,0.0000327
X238.142_2.469,3.30E-05,0.00E+00,0,0.000033
X742.538_3.903,0.00E+00,0.00E+00,0.000033,0.000033
X662.439_3.169,0.00E+00,3.32E-05,0,0.0000332
X391.342_3.278,0.00E+00,3.32E-05,0,0.0000332
X250.217_2.87,3.32E-05,0.00E+00,0,0.0000332
X523.288_2.474,0.00E+00,0.00E+00,0.0000333,0.0000333
X858.596_5.546,0.00E+00,3.35E-05,0,0.0000335
X242.284_2.725,0.00E+00,3.36E-05,0,0.0000336
X712.364_2.148,0.00E+00,3.37E-05,0,0.0000337
X477.21_2.648,0.00E+00,0.00E+00,0.0000337,0.0000337
X313.237_2.68,1.88E-05,1.50E-05,0,0.0000338
X732.553_4.183,0.00E+00,0.00E+00,0.000034,0.000034
X818.566_3.735,0.00E+00,0.00E+00,0.0000342,0.0000342
X226.216_3.571,0.00E+00,0.00E+00,0.0000344,0.0000344
X732.546_3.081,0.00E+00,3.44E-05,0,0.0000344
X305.175_2.646,3.44E-05,0.00E+00,0,0.0000344
X804.538_3.224,3.46E-05,0.00E+00,0,0.0000346
X456.333_2.609,1.99E-05,1.49E-05,0,0.0000348
X564.231_2.235,0.00E+00,0.00E+00,0.0000348,0.0000348
X426.322_2.701,0.00E+00,3.49E-05,0,0.0000349
X474.226_2.475,0.00E+00,0.00E+00,0.0000349,0.0000349
X205.098_0.627,0.00E+00,0.00E+00,0.0000351,0.0000351
X493.315_3.011,0.00E+00,3.53E-05,0,0.0000353
X528.366_2.864,1.20E-05,2.34E-05,0,0.0000354
X706.464_3.123,0.00E+00,1.46E-05,0.0000209,0.0000355
X548.263_2.652,3.56E-05,0.00E+00,0,0.0000356
X698.439_3.262,0.00E+00,0.00E+00,0.0000357,0.0000357
X400.764_5.646,3.58E-05,0.00E+00,0,0.0000358
X689.558_3.819,0.00E+00,0.00E+00,0.0000359,0.0000359
X347.125_2.289,0.00E+00,2.23E-05,0.0000137,0.000036
X440.622_2.184,3.61E-05,0.00E+00,0,0.0000361
X748.527_3.547,0.00E+00,0.00E+00,0.0000361,0.0000361
X167.056_0.348,0.00E+00,0.00E+00,0.0000362,0.0000362
X494.217_2.325,1.78E-05,0.00E+00,0.0000185,0.0000363
X325.097_2.618,3.65E-05,0.00E+00,0,0.0000365
X366.785_2.164,3.65E-05,0.00E+00,0,0.0000365
X221.054_2.77,3.65E-05,0.00E+00,0,0.0000365
X477.21_2.563,0.00E+00,0.00E+00,0.0000366,0.0000366
X560.294_2.151,0.00E+00,0.00E+00,0.0000367,0.0000367
X596.3_2.845,0.00E+00,0.00E+00,0.0000368,0.0000368
X928.62_2.962,0.00E+00,3.70E-05,0,0.000037
X516.237_2.545,3.70E-05,0.00E+00,0,0.000037
X457.257_2.826,3.70E-05,0.00E+00,0,0.000037
X566.551_4.344,0.00E+00,0.00E+00,0.0000371,0.0000371
X459.357_2.958,3.71E-05,0.00E+00,0,0.0000371
X446.196_2.386,3.73E-05,0.00E+00,0,0.0000373
X385.222_2.675,3.73E-05,0.00E+00,0,0.0000373
X185.067_0.382,0.00E+00,0.00E+00,0.00003742,0.00003742
X307.227_3.143,3.75E-05,0.00E+00,0,0.0000375
X171.138_2.146,3.77E-05,0.00E+00,0,0.0000377
X554.345_3.062,1.74E-05,2.05E-05,0,0.0000379
X235.133_2.656,0.00E+00,0.00E+00,0.0000379,0.0000379
X426.035_0.319,0.00E+00,3.80E-05,0,0.000038
X429.225_2.826,0.00E+00,0.00E+00,0.0000381,0.0000381
X616.463_2.976,0.00E+00,0.00E+00,0.0000382,0.0000382
X469.252_2.732,0.00E+00,0.00E+00,0.0000382,0.0000382
X808.58_3.363,3.83E-05,0.00E+00,0,0.0000383
X615.405_2.501,0.00E+00,0.00E+00,0.0000384,0.0000384
X424.27_2.835,0.00E+00,0.00E+00,0.0000385,0.0000385
X746.461_3.116,3.86E-05,0.00E+00,0,0.0000386
X864.572_3.503,0.00E+00,3.87E-05,0,0.0000387
X520.234_2.371,0.00E+00,0.00E+00,0.0000387,0.0000387
X820.584_4.09,0.00E+00,0.00E+00,0.0000387,0.0000387
X532.268_2.603,0.00E+00,0.00E+00,0.0000387,0.0000387
X740.522_3.924,0.00E+00,0.00E+00,0.000039,0.000039
X111.045_1.528,3.90E-05,0.00E+00,0,0.000039
X182.588_2.711,3.91E-05,0.00E+00,0,0.0000391
X616.176_2.756,0.00E+00,3.92E-05,0,0.0000392
X381.351_3.772,3.95E-05,0.00E+00,0,0.0000395
X457.095_2.507,0.00E+00,0.00E+00,0.0000397,0.0000397
X584.473_3.112,0.00E+00,3.97E-05,0,0.0000397
X718.574_3.352,2.61E-05,1.37E-05,0,0.0000398
X794.531_3.461,0.00E+00,4.02E-05,0,0.0000402
X253.101_2.235,4.06E-05,0.00E+00,0,0.0000406
X339.138_2.425,0.00E+00,2.36E-05,0.000017,0.0000406
X979.577_2.905,0.00E+00,0.00E+00,0.0000408,0.0000408
X640.314_2.406,4.09E-05,0.00E+00,0,0.0000409
X681.362_2.79,4.11E-05,0.00E+00,0,0.0000411
X316.66_2.948,4.13E-05,0.00E+00,0,0.0000413
X420.248_2.577,4.14E-05,0.00E+00,0,0.0000414
X254.248_3.555,0.00E+00,0.00E+00,0.0000415,0.0000415
X402.78_3.543,3.07E-05,0.00E+00,0.0000108,0.0000415
X627.07_2.329,4.16E-05,0.00E+00,0,0.0000416
X650.67_2.337,0.00E+00,0.00E+00,0.0000416,0.0000416
X539.415_3.114,0.00E+00,4.16E-05,0,0.0000416
X366.3_3.034,0.00E+00,4.18E-05,0,0.0000418
X720.59_5.603,0.00E+00,0.00E+00,0.0000418,0.0000418
X836.544_3.717,4.18E-05,0.00E+00,0,0.0000418
X356.352_3.229,4.19E-05,0.00E+00,0,0.0000419
X303.074_0.317,4.19E-05,0.00E+00,0,0.0000419
X386.129_2.785,0.00E+00,0.00E+00,0.0000421,0.0000421
X832.586_4.142,0.00E+00,4.22E-05,0,0.0000422
X783.355_2.862,0.00E+00,4.23E-05,0,0.0000423
X409.223_2.543,4.27E-05,0.00E+00,0,0.0000427
X814.574_3.759,0.00E+00,0.00E+00,0.0000427,0.0000427
X462.298_2.924,0.00E+00,0.00E+00,0.000043,0.000043
X786.527_3.286,4.31E-05,0.00E+00,0,0.0000431
X640.381_2.94,2.42E-05,1.89E-05,0,0.0000431
X189.047_2.257,0.00E+00,1.74E-05,0.0000258,0.0000432
X294.243_2.915,0.00E+00,0.00E+00,0.0000433,0.0000433
X111.969_5.928,0.00E+00,0.00E+00,0.0000433,0.0000433
X392.34_3.657,0.00E+00,0.00E+00,0.0000434,0.0000434
X529.522_2.184,4.34E-05,0.00E+00,0,0.0000434
X459.2_2.608,4.34E-05,0.00E+00,0,0.0000434
X490.352_2.805,0.00E+00,0.00E+00,0.0000435,0.0000435
X856.581_4.109,0.00E+00,0.00E+00,0.0000436,0.0000436
X348.217_2.854,0.00E+00,0.00E+00,0.0000436,0.0000436
X820.378_2.391,0.00E+00,4.37E-05,0,0.0000437
X553.328_2.259,0.00E+00,4.38E-05,0,0.0000438
X354.285_2.925,0.00E+00,0.00E+00,0.0000439,0.0000439
X428.301_2.912,4.40E-05,0.00E+00,0,0.000044
X556.302_2.972,1.66E-05,0.00E+00,0.0000275,0.0000441
X425.253_2.735,4.41E-05,0.00E+00,0,0.0000441
X642.516_3.277,0.00E+00,4.41E-05,0,0.0000441
X570.28_2.173,4.42E-05,0.00E+00,0,0.0000442
X682.393_2.927,0.00E+00,4.44E-05,0,0.0000444
