organ,LA,LVB,LVT,RA,RVB,RVT,sum_all
X729.59_3.973,1.60E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000016
X184.17_2.79,1.62E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000162
X173.072_2.415,0.00E+00,0.00E+00,1.65E-05,0.00E+00,0.00E+00,0,0.0000165
X648.629_5.246,1.66E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000166
X359.221_2.98,0.00E+00,0.00E+00,1.67E-05,0.00E+00,0.00E+00,0,0.0000167
X366.203_2.245,0.00E+00,0.00E+00,1.68E-05,0.00E+00,0.00E+00,0,0.0000168
X406.164_2.363,1.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000171
X754.5_3.36,0.00E+00,0.00E+00,1.71E-05,0.00E+00,0.00E+00,0,0.0000171
X429.372_3.888,1.72E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000172
X488.208_2.381,0.00E+00,0.00E+00,1.76E-05,0.00E+00,0.00E+00,0,0.0000176
X362.181_2.485,1.76E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000176
X322.274_2.86,1.77E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000177
X729.59_3.907,1.78E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000178
X327.216_2.819,0.00E+00,0.00E+00,1.78E-05,0.00E+00,0.00E+00,0,0.0000178
X132.549_4.966,1.80E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000018
X274.184_2.58,0.00E+00,0.00E+00,1.80E-05,0.00E+00,0.00E+00,0,0.000018
X506.589_2.206,0.00E+00,0.00E+00,1.81E-05,0.00E+00,0.00E+00,0,0.0000181
X241.173_2.59,1.84E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000184
X397.382_4.184,1.84E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000184
X494.217_2.325,0.00E+00,0.00E+00,1.85E-05,0.00E+00,0.00E+00,0,0.0000185
X824.538_5.541,1.89E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000189
X113_0.436,0.00E+00,0.00E+00,1.89E-05,0.00E+00,0.00E+00,0,0.0000189
X137.038_5.831,1.90E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000019
X728.558_5.578,0.00E+00,0.00E+00,1.91E-05,0.00E+00,0.00E+00,0,0.0000191
X347.148_2.481,0.00E+00,1.92E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000192
X258.11_2.954,1.93E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000193
X394.338_3.998,1.93E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000193
X665.357_2.437,0.00E+00,0.00E+00,1.94E-05,0.00E+00,0.00E+00,0,0.0000194
X257.117_0.431,0.00E+00,0.00E+00,0.00E+00,1.95E-05,0.00E+00,0,0.0000195
X536.504_3.919,0.00E+00,0.00E+00,0.00E+00,1.98E-05,0.00E+00,0,0.0000198
