filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,X440.337_2.765,X442.353_2.823,X105.07_2.767,X119.049_2.765,X128.018_0.344,X136.062_0.301,X136.097_0.551,X137.046_0.31,X137.046_0.42,X203.007_0.309,X249.112_2.768,X251.037_0.323,X256.264_3.225,X258.207_2.775,X267.123_2.767,X285.133_2.768,X291.146_2.39,X296.258_2.976,X301.115_0.328,X301.115_0.413,X324.327_3.455,X351.217_2.741,X352.306_2.997,X369.17_2.767,X380.993_2.164,X386.717_2.856,X387.193_2.842,X396.332_2.991,X397.22_2.071,X400.97_2.127,X416.337_2.79,X420.899_2.103,X426.484_2.164,X430.223_2.769,X440.359_2.985,X458.23_2.165,X466.25_2.226,X475.989_2.164,X476.24_2.164,X484.385_2.982,X489.228_2.768,X494.325_2.865,X570.357_2.934,X580.361_2.989,X580.362_2.984,X599.241_2.765,X604.362_2.948,X620.356_2.913,X682.363_3.329,X682.364_3.313,X764.524_3.729,X790.38_2.768,X792.329_2.764,X795.335_2.768,X811.309_2.773
X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,511,Group1C,142,LV_bottom,A1,P132,3.07E-05,0,0.001681762,0,0,0.001018126,0,0.016982498,0.01562225,0.000289195,0,0.000469904,0.000783173,0.003532525,0.001409712,0.000465782,0.000335882,0.000403325,0.000365461,0.000213246,0,0.000299024,0,0.00026311,0.000157225,0,0.000294606,0,4.78E-05,4.54E-05,0,0.000141141,6.80E-05,0,0,0.000136364,9.86E-05,0.000968662,0.000952174,0,0.000181597,0,0.002675156,0.010511012,0,0,0.001281931,0.000659514,0.00032016,0,0,0.000370969,0,0.000245626,3.80E-05
X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,512,Group1C,142,LV_bottom,A2,P132,0,0,0.001668227,2.04E-05,0,0.000295572,0,0.005836288,0.007990455,2.16E-05,0,0,0.001102132,0.001397703,0.001279976,0.000633726,0.000240339,0.000247302,4.09E-05,5.46E-05,0,0.000113403,0,0.000345669,2.96E-05,1.89E-05,0.0001312,0,0,0,0,5.99E-05,0,0,0,2.92E-05,2.26E-05,0.000245307,0.000280543,0,0.000470911,0,0.002504845,0.005711046,0,5.00E-05,0.000671298,0.000483435,0.000179208,0,0,0.000586134,0,0.000211682,2.09E-05
X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,513,Group1C,142,LV_bottom,A3,P132,0,0,0.002195508,0,0,0.000332938,0,0.011181699,0.010145193,0.000217687,0,0.000233476,0.000964264,0.002525305,0.001969361,0.001061633,0.000505689,0.000294236,0.000253374,0.000146106,0,6.65E-05,0,0.000552803,0.00013103,7.36E-05,0.000165049,3.26E-05,4.14E-05,4.32E-05,3.16E-05,0.000104218,5.37E-05,3.91E-05,3.35E-05,6.59E-05,0,0.000706708,0.000747541,2.57E-05,0.001316048,0,0.00189712,0.008072181,0,8.29E-05,0.000706708,0.000317234,9.98E-05,0,0,0.001133874,0,0.000741259,9.53E-05
X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,514,Group1C,142,LV_bottom,A4,P132,0,0,0.003006615,6.38E-05,0,0.00104776,0,0.013286807,0.02042372,0.00031551,0,0.000569435,0.000660544,0.003788638,0.002486531,0.001040167,0.000470733,0.000336196,0.00036735,0.00018795,0,7.46E-05,0,0.000599804,0.000144107,0,8.88E-05,0,3.38E-05,9.50E-05,0,0.000176077,3.98E-05,0.000110453,0,0.000139283,0.000106894,0.000952854,0.000964243,0,0.000899707,0,0.0019133,0.011958126,0,9.91E-05,0.000930076,0.000245202,0.00023497,0,0,0.001150258,0,0.000713691,0.000174109
X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,515,Group1C,142,LV_bottom,A5,P132,2.93E-05,0,0.00285843,0,0,0.000740688,0,0.01540492,0.010467,0.000335517,3.82E-05,0.000365128,0.000681572,0.002983617,0.002521121,0.0011545,0.000594637,0.000354696,0.000310365,0.000141195,0,7.13E-05,0,0.000618979,5.52E-05,3.46E-05,0.000127821,3.48E-05,4.07E-05,4.27E-05,0,0.000129376,3.25E-05,8.42E-05,3.55E-05,0.000115376,4.06E-05,0.000500747,0.000542476,3.68E-05,0.001453557,0.000486837,0.002500257,0.007789395,0,0.000178807,0.000744165,0.000302164,0.000251297,0,0,0.001161454,4.09E-05,0.00076503,0.000136971
X521_Group1A_50dpi_LV_bottom_256_B_A6_P133.mzXML,521,Group1A,50,LV_bottom,A6,P133,0.000235463,0.000175471,0.002450676,8.58E-05,0,0.000432472,0,0.009202049,0.011772856,0.000195839,4.50E-05,0,0.000694358,0.000379615,0.001936515,0.001102804,0.001542484,0.000131084,0.000146715,0.00015019,0,0.000752021,0,0.00057663,9.89E-05,6.23E-05,0.000163205,0,0,2.03E-05,0.000350783,0.000177756,7.20E-05,5.24E-05,0,9.30E-05,3.59E-05,0.00043007,0.00043968,0,0.001357482,0.001081181,0.001869241,0.008048789,0,9.85E-05,0.000684748,0.000655916,0.000116995,0,0,0.001119623,0,0.000562214,0.000171407
X522_Group1A_50dpi_LV_bottom_257_B_A7_P133.mzXML,522,Group1A,50,LV_bottom,A7,P133,0,0,0.004598892,0.00014116,0,0.001123691,0,0.013666518,0.027333036,0.000395321,3.84E-05,0.000789621,0.000616078,0.004125987,0.003896042,0.0020131,0.000819991,0.000315459,0.000464228,0.000611739,0,0,0,0.001201786,0,3.43E-05,0.000343688,0,0,0,0,0,0,0.000267813,0,0,0,0.00022879,0.000185634,0,0.002594469,0,0.000659464,0.00503275,0,0.000382657,0.000277238,3.72E-05,0.000160533,0,0,0.002655209,0,0.001453423,0.000349112
X523_Group1A_50dpi_LV_bottom_258_B_A8_P133.mzXML,523,Group1A,50,LV_bottom,A8,P133,0.000280929,0.000202841,0.003393865,0,0,0.000920733,0,0.013418434,0.01827191,0.000299814,2.48E-05,0.000392561,0.000546016,0.000603116,0.002501681,0.001334706,0.002080571,0.00020668,0.000298797,0.000260042,0,0.000945714,0,0.000749434,0.000120644,4.00E-05,0.00029133,0,6.41E-05,0,0.000360442,0.000321442,0.000105989,8.63E-05,0,0.000120619,4.24E-05,0.000581703,0.000606685,0,0.00146318,0,0.001870016,0.009528516,0,0.000105779,0.001259763,0.000820808,0.000171533,0,0,0.001202663,0,0.000645941,0.000187678
X524_Group1A_50dpi_LV_bottom_259_B_A9_P133.mzXML,524,Group1A,50,LV_bottom,A9,P133,0.000328102,0.000268434,0.002966655,2.59E-05,0,0.000744201,0,0.014275124,0.011873385,0.000282539,0,0.000156392,0.000517558,0.00043299,0.002225837,0.001055412,0.001393685,0.000219676,0.000298428,0.0001961,0,0.000791559,0,0.000605509,3.24E-05,0,0.000128688,0,2.19E-05,0,0.000289116,0.000201554,3.20E-05,6.66E-05,0,0,0,0.000257195,0.000224857,0,0.0008423,0,0.002286726,0.008964237,0,7.13E-05,0.001261759,0.000517558,0.000158041,0,0,0.000923486,0,0.000514175,0.000122091
X525_Group1A_50dpi_LV_bottom_260_B_A10_P133.mzXML,525,Group1A,50,LV_bottom,A10,P133,0.000203667,0.000104769,0.002145952,0,0,0.000868668,0,0.005457747,0.012429948,0.000342895,2.58E-05,0.00033718,0.000617211,0.000580064,0.001797342,0.001017256,0.001002968,0.000199626,0.000195782,0.000193823,0,0.000525773,0,0.0005172,0.000103587,2.30E-05,0.000187107,0,1.90E-05,0,0.000202341,0.000277438,9.19E-05,7.05E-05,0,0.000111101,8.43E-05,0.000471481,0.000482911,0,0.00102297,0.000880097,0.002365976,0.009629638,0,4.50E-05,0.000940104,0.000480053,7.11E-05,0,0,0.000797231,0,0.000508628,9.14E-05
