filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,X268.105_0.35,X269.088_0.35,X111.044_2.768,X122.082_0.534,X130.087_0.452,X137.046_0.35,X142.035_0.315,X172.134_2.343,X175.148_2.71,X198.15_2.471,X200.165_3.207,X214.181_2.634,X216.16_2.471,X228.196_2.71,X230.176_2.586,X232.191_2.63,X242.212_2.78,X249.112_2.768,X256.227_2.847,X256.227_3.318,X258.207_2.775,X272.222_2.957,X278.248_3.1,X280.189_2.775,X280.264_3.159,X282.28_3.246,X296.259_2.971,X303.305_3.529,X303.648_2.884,X306.279_2.989,X306.279_3.212,X308.295_3.045,X308.295_3.285,X324.327_3.455,X327.232_3.01,X333.063_2.524,X334.311_3.335,X352.321_3.187,X368.316_2.962,X368.317_3.315,X369.17_2.767,X399.394_3.159,X399.395_3.152,X489.228_2.768,X506.255_3.172,X530.289_2.929,X568.341_2.887,X570.357_2.934,X599.241_2.765,X602.344_2.984,X604.362_2.948,X637.306_3.32,X666.434_3.024,X705.141_2.339,X776.148_2.398,X776.253_2.398,X776.411_2.398,X792.329_2.764,X811.309_2.773,X811.31_2.767,X819.211_2.398,X819.322_2.398,X819.378_2.399
X652_Group3B_70dpi_RV_top_302_B_E4_P137.mzXML,652,Group3B,70,RV_top,E4,P137,0,0.001893099,5.68E-05,0.000202595,0.000494009,0.012404305,0.00127649,0.00013416,0.000454344,0.000111002,0.002098635,0.001388273,9.46E-05,0.02787363,3.62E-05,0.00025212,0.000146955,3.92E-05,0.000764451,0.000329049,0.001348608,0.000182775,0.000984411,0,0.00169838,0.003418396,0.000243929,3.64E-05,8.03E-05,0,6.11E-05,0.001575779,0.001366637,0.00035862,0.000411073,0.003641962,0.000649062,0.002873904,0,0.00019248,0.00127649,0,0,0.002949628,0,0.000178584,0.012764896,0.000901476,0.00037862,8.21E-05,0.000490403,0.001950793,0.000127864,0,0.000180636,0.000235988,0.000133735,7.84E-05,0,0.000396649,0.000191719,0.000219508,0.000175792
X653_Group3B_70dpi_RV_top_303_B_E5_P137.mzXML,653,Group3B,70,RV_top,E5,P137,0,0.002078122,4.73E-05,0.000210922,0.001289078,0.023074958,0.001523039,0.000176912,0.001601026,0.000273325,0,0.00481684,0.000237188,0.07982192,0.000115451,0.000128702,0.000427936,0.000102489,0.002312083,0,0.003491062,0.000545909,0.000825744,5.01E-05,0.001211091,0.001399177,0.000227363,0,0.000127366,0,0,0.001990961,0,0,0.000231448,0.005367336,3.63E-05,0.002229509,0,0,0.001724887,0,0,0.00383971,0,0.00018991,0.017340624,0.001215679,0.000623895,0.00017382,0.000456414,0.001862511,0.000236756,0,0.000463334,0.000637658,0.00041198,0.000158924,0,0.00035395,0.000400581,0.000467922,0.000442361
X654_Group3B_70dpi_RV_top_304_B_E6_P137.mzXML,654,Group3B,70,RV_top,E6,P137,3.39E-05,0.004585323,5.10E-05,0,0.001498265,0.007242367,0.001398682,0.000126776,0.001036564,0.000170516,0.000764975,0.003508021,9.82E-05,0.05250716,6.69E-05,0.000172853,0.000228212,9.37E-05,0.001502791,0,0.002720414,0.000231887,0.000918875,4.21E-05,0.001579741,0.001751747,0.000218394,0,5.95E-05,4.40E-05,0,0.00209576,0.000516019,0,0.000479807,0.004571744,4.44E-05,0.00298295,0,0,0.0017608,0,0,0.006382336,0,0,0.010184578,0.000742343,0.00071971,0.000229808,0.000556757,0.002154604,0.000202317,0,0.000318398,0.000263316,0.000193317,0.00014796,0,0.000292773,0.000222291,0.000400705,0.000317643
X655_Group3B_70dpi_RV_top_305_B_E7_P137.mzXML,655,Group3B,70,RV_top,E7,P137,0,0.001073087,6.05E-05,0.000219111,0.000486512,0.007936011,0.001007528,7.04E-05,0.000358846,8.97E-05,0.002256588,0.001145546,4.56E-05,0.02156525,7.76E-05,0.000169695,9.94E-05,0.000110154,0.000641782,0.000348494,0.001990904,9.71E-05,0.001111042,0,0.001538896,0.002805207,0.000164491,9.23E-05,3.71E-05,2.93E-05,3.26E-05,0.001190402,0.001387077,0.000351945,0.000216214,0.002487767,0.000817754,0.002201381,0,0.000143653,0.001583752,0,0,0.003588457,0,0.000259922,0.008522586,0.000800502,0.000410602,3.07E-05,0.000396801,0.002032309,0.000145395,0,0.000153736,0.000171493,6.64E-05,6.13E-05,0,0.000318923,8.50E-05,0.000202772,9.17E-05
X666_Group3E_142dpi_RV_top_201_G_D5_P136.mzXML,666,Group3E,142,RV_top,D5,P136,0,0.000777921,0.000149596,9.34E-05,0.001288794,0.007488937,0.001730002,0.000203944,0.000603759,6.77E-05,0.001073995,0.001393291,5.89E-05,0.03436783,0.000101495,8.36E-05,0.000126481,0.000223011,0.001015941,0,0.002745944,0.000743088,0.002664668,0,0.003518059,0.003047823,0.000454401,0,7.32E-05,0.000138309,7.62E-05,0.00346581,0.001015941,0,5.71E-05,0.006734238,0,0.003738663,5.12E-05,0,0.002165406,0,8.13E-05,0.008011421,7.98E-05,6.69E-05,0.007605044,0.000363639,0.000882417,0.000166805,0.000137542,0.002026077,0,9.79E-05,6.06E-05,8.65E-05,0,0.000332228,0,0.00016592,0.000142555,7.38E-05,6.88E-05
X667_Group3E_142dpi_RV_top_202_G_D6_P136.mzXML,667,Group3E,142,RV_top,D6,P136,0.000184124,0.001199256,0.000169725,0,0.001855259,0.003756643,0.001178756,0.00010769,0.000630378,6.88E-05,0.001558007,0.001383757,6.28E-05,0.03700267,0,0.000185089,0.000172662,0.000285999,0.001189006,0.000178193,0.001824509,0.000267156,0.002321636,0,0.00323389,0.005278775,0.000453359,0.000117462,6.13E-05,7.62E-05,0.000234884,0.00320314,0.002249886,0.000563753,0.000101133,0.005381276,0.001035255,0.003874518,0,0.000108739,0.00216276,0,4.27E-05,0.007841287,3.97E-05,0.000164418,0.006765032,0.000353517,0.00098913,0.000142866,0.000303993,0.004371646,7.84E-05,7.32E-05,0,4.44E-05,0,0.000389766,0,0.000117153,0,5.99E-05,0
X668_Group3E_142dpi_RV_top_203_G_D7_P136.mzXML,668,Group3E,142,RV_top,D7,P136,0,0.000493801,0.000172118,0,0.001944185,0.003007234,0.001045994,0.000131321,0.000721964,0.000199916,0.001489405,0.002154521,0,0.04280619,0.000174547,0.000184674,0.00017049,0.000241956,0.001205168,0,0.004394314,0.000504474,0.002671834,0.000110093,0.003280102,0.004326097,0.00042316,0,0,0.000137339,7.07E-05,0.00403049,0.001870284,0.000255954,5.04E-05,0.007674416,0.000710594,0.004724029,0,0,0.002853746,0,0.000165307,0.008242891,0,0.000235927,0.004718345,0,0.001250646,0.000158199,0.000138773,0.004462531,0.000224307,0,0,0,0,0.000260496,0,0.000240681,0,0,0
X669_Group3E_142dpi_RV_top_204_G_D8_P136.mzXML,669,Group3E,142,RV_top,D8,P136,0,0.00128922,6.79E-05,0.000188659,0.002098471,0.006139145,0.000993425,4.90E-05,0.000586009,6.65E-05,0.001908716,0.001333869,0,0.03728135,0,0.000167888,0.000121307,0.000165535,0.001105046,0.00017091,0.0030026,0.000652982,0.002511468,0,0.00348257,0.004436928,0.000293497,7.23E-05,0,7.15E-05,0.000149313,0.003415597,0.002243578,0.000392432,0,0.00680887,0.000993425,0.004079741,0,5.67E-05,0.002243578,0,6.33E-05,0.006083335,0,0.000501256,0.00552523,0.000207724,0.000887386,0.000133188,0.000122635,0.004263915,0.000316317,0,0,0,0,0.000261364,0,0.000232531,0,0,0
X670_Group3E_142dpi_RV_top_205_G_D9_P136.mzXML,670,Group3E,142,RV_top,D9,P136,0,0.001207578,0.00013019,0,0.001724277,0.008432595,0.000899896,0.000134492,0.000507595,6.72E-05,0.002020047,0.00078033,0,0.0363105,5.77E-05,7.60E-05,5.81E-05,0.000183905,0.000969119,0,0.003184249,0.000198417,0.00297658,4.96E-05,0.004279227,0.005179124,0.000301897,0,0,0.0001559,0.000167675,0.004379915,0.002328403,0.000114685,0,0.007866227,0.000635591,0.002945115,0,0,0.002655638,0,0.000273307,0.007425718,0,0.000366146,0.005103608,0.000176468,0.001170495,0.000143064,0.000147709,0.005021799,0.000215307,0,0,0,0,0.000291471,0,0.000305123,0,0,0
X731_Group3A_50dpi_RV_top_276_B_C2_P137.mzXML,731,Group3A,50,RV_top,C2,P137,0,0.000566583,0,0.000142126,0.001993534,0.006033064,0.000457762,0.000195066,0.000792167,0.000274931,0.004044776,0.001752211,0.000176638,0.04118222,0,0.000236042,0.000295292,0,0.001311536,0.000386657,0.002560117,0.000495244,0.001369243,0,0.002539133,0.003583115,0.000365735,0,0.000158413,0,5.26E-05,0.00263881,0.001678766,0.000116472,0,0.006242909,0.000397805,0.002533887,0,0.000220256,0.001038736,0,3.90E-05,0.001668273,0,4.99E-05,0.015003967,0.000834137,0.000295322,0.000118292,0.000278563,0.003724761,0.00059806,0,0,0,0,0,0,0.000145498,0,0,0
