"filename","LA_142DPI","RA_142DPI","LVT_142DPI","LVB_142DPI","RVT_142DPI","RVB_142DPI"
"X137.046_0.35",0.044526217,0.034163311,0.605896046,0.001441587,1.86e-05,5.64e-05
"X269.088_0.35",0.640236429,0.457708148,0.23903737,0.002265299,0.002248739,0.000144819
"X169.036_0.375",0.495885062,0.445426582,0.605896046,0.554409796,NA,NA
"X338.342_3.533",1,0.585295585,1,1,0.420475453,0.557167405
"X387.181_2.767",0.640236429,0.585295585,0.605896046,0.002431167,0.166778165,0.000129038
"X311.081_2.525",0.78491085,0.585295585,0.817040851,1,0.102844671,0.011959308
"X228.196_2.71",0.640236429,0.997319943,0.937262829,0.554409796,0.000278499,0.018473635
"X404.207_2.768",0.640236429,0.545101448,0.605896046,0.002431167,0.420475453,9.95e-05
"X496.341_2.926",1,0.577746171,0.610441132,0.551876339,0.75730033,0.557167405
"X310.31_3.391",1,0.546757936,1,1,0.420475453,0.949915525
"X228.196_3.321",1,0.424983211,1,0.73352908,0.479518482,1
"X285.022_2.394",1,0.585295585,1,0.711304283,0.165981678,0.398834387
"X336.326_3.156",0.495885062,0.51842694,0.811355844,0.554409796,0.016012154,0.003582287
"X524.372_3.04",1,0.750067529,0.610441132,0.554409796,0.655982531,0.398834387
"X596.357_2.948",0.640236429,0.090506104,0.605896046,0.192777265,0.464141993,0.874692038
"X409.162_2.768",0.640236429,0.090506104,0.549577573,0.003982168,0.37232957,0.002541945
"X244.191_2.61",0.640236429,0.585295585,0.617380288,1,0.401413572,0.027577059
"X624.388_3.054",0.109507256,0.486487146,0.605896046,0.062093443,0.420475453,0.122329442
"X226.181_2.61",0.640236429,0.51842694,1,1,0.37232957,0.029384313
"X238.1_2.259",0.456728943,0.457708148,0.722262113,1,0.496522817,0.809690199
"X226.181_3.32",0.932391163,0.577746171,0.645353711,0.874740699,0.66832177,1
"X244.191_3.324",1,0.585295585,1,0.572400722,0.572182856,1
"X638.403_3.073",0.635538073,0.507425202,0.605896046,0.01970619,0.966700623,0.562261103
"X287.018_2.395",1,0.585295585,0.937262829,0.656597049,0.166778165,0.398834387
"X489.228_2.768",0.386209983,0.027823996,0.315684548,0.000917852,0.001492752,1.49e-05
"X110.021_5.865",0.895414194,0.577746171,1,0.925539989,0.479518482,0.978064422
"X312.326_3.521",0.640236429,0.577746171,0.800153207,0.031541201,0.479518482,NA
"X610.372_2.951",1,0.585295585,0.605896046,0.679762208,0.420475453,0.857622929
"X110.021_6.211",0.66943602,0.577746171,0.605896046,1,0.821614287,0.557167405
"X580.361_2.989",0.640236429,0.51842694,0.605896046,0.002265299,NA,NA
"X183.15_2.549",0.640236429,0.51842694,0.800153207,0.554409796,1,1
"X637.306_3.32",0.640236429,0.522787637,0.824354495,0.22148413,0.05965127,5.64e-05
"X146.981_3.86",0.640236429,0.585295585,0.824354495,0.883676736,0.479518482,1
"X105.07_2.767",0.640236429,0.090506104,0.499014567,0.002431167,0.200169858,0.000129038
"X352.321_3.187",0.436529995,0.374038417,0.641365362,0.176259532,0.004101726,0.04810007
"X432.238_2.769",0.640236429,0.566068372,0.605896046,0.110442095,0.479518482,0.385362319
"X200.165_3.207",0.9087694,0.585295585,0.605896046,0.265396987,0.024481865,0.003582287
"X267.123_2.767",0.584922127,0.703876907,0.773590116,0.003476579,0.324305909,0.000144819
"X200.165_2.552",1,0.628034351,0.882384386,0.847360888,0.02609548,0.322374394
"X126.022_0.338",0.932391163,0.600835332,0.862897461,0.554409796,0.420475453,0.557167405
"X608.393_3.098",0.007881477,0.36499481,0.605896046,0.110442095,0.18353245,0.090522541
"X666.434_3.024",0.836679947,0.486487146,0.512292585,0.847360888,0.099698552,NA
"X123.056_0.323",0.878125575,0.752684875,0.605896046,0.554409796,NA,NA
"X240.097_2.259",0.334634488,0.445426582,0.767390077,1,0.479518482,0.557167405
"X522.357_2.957",0.640236429,0.51842694,0.605896046,0.131391022,0.572182856,0.004271591
"X482.325_3.027",0.640236429,0.577746171,1,0.874740699,0.521160378,0.557167405
"X308.295_3.045",0.640236429,0.741127259,0.605896046,0.554409796,0.006316114,0.000129038
"X258.206_2.778",0.836679947,1,0.605896046,NA,NA,1
"X650.44_3.113",0.640236429,0.551561044,0.605896046,0.90255105,0.37232957,0.687855543
"X333.063_2.524",1,0.741127259,0.980465531,0.679762208,0.05965127,0.015947238
"X594.377_3",1,1,0.605896046,0.819883408,0.696972905,0.687855543
"X282.279_3.26",0.640236429,0.230176712,0.837873153,0.572400722,0.479518482,0.73436308
"X285.133_2.768",0.640236429,0.090506104,0.495334739,0.002265299,0.165981678,0.000129038
"X790.38_2.768",0.640236429,0.160706789,0.58030714,0.001097838,0.023097882,1.49e-05
"X417.337_3.233",0.640236429,NA,NA,NA,1,NA
"X582.341_3.046",0.888097236,0.374038417,0.51447702,0.238925729,0.496522817,0.229318289
"X622.409_3.109",0.495885062,0.375981884,0.605896046,0.711304283,0.974172171,0.432288503
"X100.076_2.546",0.769274328,1,0.605896046,0.554409796,0.764195114,0.868355085
"X366.373_3.699",1,0.633044115,0.441286223,0.158906213,NA,NA
"X401.342_3.422",0.640236429,0.51842694,0.828892692,0.238925729,0.420475453,0.801194456
"X340.357_3.733",0.640236429,0.48001343,0.872985214,0.565930283,NA,NA
"X636.388_2.978",0.744784373,0.585295585,0.605896046,0.786149473,0.893857306,0.812596301
"X214.181_2.634",0.640236429,0.304280508,0.605896046,0.160925177,0.004101726,0.000639751
"X198.15_2.471",1,0.726653177,0.749539718,0.925539989,0.001303944,0.275320844
"X132.102_0.307",0.456728943,0.304280508,0.605896046,0.010300448,0.298085912,0.007321696
"X113.964_6.456",0.640236429,0.449223069,0.605896046,1,0.737751905,0.285859504
"X678.478_3.062",0.640236429,0.577746171,1,NA,0.401413572,NA
"X110.021_5.953",0.640236429,0.585295585,0.614635969,1,0.797918223,0.557167405
"X369.352_3.849",0.650425885,1,0.952194521,0.783026598,0.493421393,NA
