organ,LA,LVB,LVT,RA,RVB,RVT
X288.641_2.969,0.00E+00,1.77E-05,0.00E+00,0.00E+00,0.00E+00,0
X402.78_3.543,1.78E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X310.162_3.06,0.00E+00,1.78E-05,0.00E+00,0.00E+00,0.00E+00,0
X812.521_3.604,1.80E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X824.538_5.541,1.82E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X946.606_3.379,0.00E+00,0.00E+00,0.00E+00,1.82E-05,0.00E+00,0
X564.36_2.314,0.00E+00,1.83E-05,0.00E+00,0.00E+00,0.00E+00,0
X576.571_4.664,0.00E+00,0.00E+00,0.00E+00,1.83E-05,0.00E+00,0
X455.337_3.359,0.00E+00,0.00E+00,0.00E+00,1.86E-05,0.00E+00,0
X417.337_3.425,0.00E+00,0.00E+00,0.00E+00,1.90E-05,0.00E+00,0
X454.317_2.756,1.91E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X804.589_5.59,0.00E+00,0.00E+00,1.91E-05,0.00E+00,0.00E+00,0
X818.605_5.593,0.00E+00,0.00E+00,1.92E-05,0.00E+00,0.00E+00,0
X607.493_3.991,1.93E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X590.427_3.075,1.95E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X804.61_3.784,1.95E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X648.315_2.507,1.95E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X316.513_2.11,0.00E+00,0.00E+00,1.95E-05,0.00E+00,0.00E+00,0
X405.226_2.747,1.96E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X496.232_2.391,0.00E+00,0.00E+00,1.97E-05,0.00E+00,0.00E+00,0
X712.439_3.001,0.00E+00,0.00E+00,0.00E+00,1.98E-05,0.00E+00,0
X466.352_2.807,1.99E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X328.137_0.326,2.01E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X830.169_2.454,2.02E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X288.217_2.455,2.02E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X746.511_3.621,2.02E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X447.721_2.216,2.03E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X546.401_3.081,2.04E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X620.393_5.623,0.00E+00,0.00E+00,2.04E-05,0.00E+00,0.00E+00,0
X792.589_4.299,0.00E+00,0.00E+00,2.05E-05,0.00E+00,0.00E+00,0
X397.382_4.184,0.00E+00,0.00E+00,0.00E+00,2.05E-05,0.00E+00,0
X439.98_2.09,2.06E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X848.564_3.208,2.07E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X510.283_2.723,0.00E+00,0.00E+00,0.00E+00,2.08E-05,0.00E+00,0
X308.092_2.314,2.08E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X398.363_2.963,2.09E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X363.164_2.619,2.10E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X408.368_3.159,2.12E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X316.66_2.948,0.00E+00,2.13E-05,0.00E+00,0.00E+00,0.00E+00,0
X1043.702_2.969,0.00E+00,0.00E+00,2.14E-05,0.00E+00,0.00E+00,0
X310.133_2.308,2.15E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X433.258_2.883,2.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X155.987_6.244,2.17E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X476.374_2.929,2.17E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X179.049_2.292,2.17E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X282.137_2.281,2.18E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X190.109_3.821,0.00E+00,2.18E-05,0.00E+00,0.00E+00,0.00E+00,0
X572.298_2.749,2.20E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X223.097_2.74,0.00E+00,0.00E+00,0.00E+00,2.20E-05,0.00E+00,0
X606.294_2.892,0.00E+00,2.20E-05,0.00E+00,0.00E+00,0.00E+00,0
X155.987_6.295,2.23E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X105.954_5.157,2.25E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X353.117_2.45,2.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X436.4_3.285,2.27E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X560.294_2.151,2.28E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X778.284_2.453,2.31E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X177.055_2.8,0.00E+00,0.00E+00,0.00E+00,2.32E-05,0.00E+00,0
X345.243_2.742,0.00E+00,2.32E-05,0.00E+00,0.00E+00,0.00E+00,0
X371.228_2.241,0.00E+00,0.00E+00,0.00E+00,2.34E-05,0.00E+00,0
X342.264_2.993,2.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X505.273_2.874,0.00E+00,0.00E+00,0.00E+00,2.36E-05,0.00E+00,0
X468.369_2.809,2.37E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X457.987_2.135,2.37E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X581.811_2.258,2.37E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X343.945_0.335,0.00E+00,0.00E+00,2.38E-05,0.00E+00,0.00E+00,0
X429.372_3.888,2.39E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X221.17_2.115,0.00E+00,2.39E-05,0.00E+00,0.00E+00,0.00E+00,0
