filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML,523,Group1A,naive,DPI_50,RV_top,A8,P137,0.002400415
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,524,Group1A,naive,DPI_50,LA,A9,P121,0.017487486
X524_Group1A_50dpi_LV_bottom_259_B_A9_P133.mzXML,524,Group1A,naive,DPI_50,LV_bottom,A9,P133,0.015723835
X524_Group1A_50dpi_LV_top_259_B_A9_P129.mzXML,524,Group1A,naive,DPI_50,LV_top,A9,P129,0.031699166
X524_Group1A_50dpi_RA_259_B_A9_P125.mzXML,524,Group1A,naive,DPI_50,RA,A9,P125,0.00534534
X524_Group1A_50dpi_RV_bottom_259_B_A9_P141.mzXML,524,Group1A,naive,DPI_50,RV_bottom,A9,P141,0.008944629
X524_Group1A_50dpi_RV_top_259_B_A9_P137.mzXML,524,Group1A,naive,DPI_50,RV_top,A9,P137,0.004461951
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,525,Group1A,naive,DPI_50,LA,A10,P121,0.008969083
X525_Group1A_50dpi_LV_bottom_260_B_A10_P133.mzXML,525,Group1A,naive,DPI_50,LV_bottom,A10,P133,0.015777938
X525_Group1A_50dpi_LV_top_260_B_A10_P129.mzXML,525,Group1A,naive,DPI_50,LV_top,A10,P129,0.024169104
X525_Group1A_50dpi_RA_260_B_A10_P125.mzXML,525,Group1A,naive,DPI_50,RA,A10,P125,0.010265667
X525_Group1A_50dpi_RV_bottom_260_B_A10_P141.mzXML,525,Group1A,naive,DPI_50,RV_bottom,A10,P141,0.004409111
X525_Group1A_50dpi_RV_top_260_B_A10_P137.mzXML,525,Group1A,naive,DPI_50,RV_top,A10,P137,0.005806825
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,541,Group1A,naive,DPI_50,LA,A11,P121,0.034653348
X541_Group1A_50dpi_LV_bottom_261_B_A11_P133.mzXML,541,Group1A,naive,DPI_50,LV_bottom,A11,P133,0.015405119
X541_Group1A_50dpi_LV_top_261_B_A11_P129.mzXML,541,Group1A,naive,DPI_50,LV_top,A11,P129,0.014141652
X541_Group1A_50dpi_RA_261_B_A11_P125.mzXML,541,Group1A,naive,DPI_50,RA,A11,P125,0.004721394
X541_Group1A_50dpi_RV_bottom_261_B_A11_P141.mzXML,541,Group1A,naive,DPI_50,RV_bottom,A11,P141,0.006402496
X541_Group1A_50dpi_RV_top_261_B_A11_P137.mzXML,541,Group1A,naive,DPI_50,RV_top,A11,P137,0.007001709
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,542,Group1A,naive,DPI_50,LA,A12,P121,0.031362049
X542_Group1A_50dpi_LV_bottom_262_B_A12_P133.mzXML,542,Group1A,naive,DPI_50,LV_bottom,A12,P133,0.012297825
X542_Group1A_50dpi_LV_top_262_B_A12_P129.mzXML,542,Group1A,naive,DPI_50,LV_top,A12,P129,0.036147686
