SubjectID1,SubjectID2,Group1,Group2,group_name,Distance
X534_Group1C_142dpi_RV_top_169_G_A9_P136.mzXML,X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.304871566
X534_Group1C_142dpi_RV_top_169_G_A9_P136.mzXML,X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.320486095
X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.299303583
X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.249802716
X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.229506561
X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.315074697
X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.262111704
X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.32243691
X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.280009031
X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.246496656
X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,X534_Group1C_142dpi_RV_top_169_G_A9_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.193038611
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.365244959
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.371969272
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.371392262
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.368928129
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.430633437
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.30612134
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.279546535
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.27472596
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,X534_Group1C_142dpi_RV_top_169_G_A9_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.329046487
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.327928656
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.269513564
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.308446889
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.274260209
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.394163192
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.302955197
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.389089714
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.388669578
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.374565069
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,X534_Group1C_142dpi_RV_top_169_G_A9_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.337598444
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.279963624
