	SubjectID1	SubjectID2	Group1	Group2	Distance
36	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.3728022272267809
37	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.3265810474911073
38	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	Group1C	Group1C	0.48267464513167996
39	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	Group1C	Group1C	0.24793401454954428
40	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	Group1C	Group1C	0.5041088517520549
41	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	Group1C	Group1C	0.5685296722766119
42	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML	Group1C	Group1C	0.5579550519164829
43	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML	Group1C	Group1C	0.41320812990547934
44	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML	Group1C	Group1C	0.44590662312356166
45	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.3622189211610096
46	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.4248208206288947
47	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	Group1C	Group1C	0.4396851632474773
48	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	Group1C	Group1C	0.4558076746213922
49	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	Group1C	Group1C	0.4568237805516174
50	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	Group1C	Group1C	0.36819968282024423
51	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML	Group1C	Group1C	0.3991863526862467
52	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML	Group1C	Group1C	0.3461876315047875
53	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML	Group1C	Group1C	0.42719116213595576
54	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	Group1C	Group1C	0.4314519963365671
55	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.4623981735955687
56	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.46428248630353064
57	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	Group1C	Group1C	0.5822887478297447
58	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	Group1C	Group1C	0.4489822323460409
59	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	Group1C	Group1C	0.572817993553365
60	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	Group1C	Group1C	0.4183821623566241
61	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML	Group1C	Group1C	0.40053989719891986
62	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML	Group1C	Group1C	0.5434309397000905
63	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML	Group1C	Group1C	0.33445482545557614
64	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	Group1C	Group1C	0.4675757810616611
65	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	Group1C	Group1C	0.362097146800679
66	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.5320013122797244
67	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.7017669806579514
68	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	Group1C	Group1C	0.47854266458047956
69	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	Group1C	Group1C	0.6955310679551889
70	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	Group1C	Group1C	0.4655260522239527
71	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	Group1C	Group1C	0.6544288028595613
72	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML	Group1C	Group1C	0.7830429221695706
73	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML	Group1C	Group1C	0.5171727330572394
74	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML	Group1C	Group1C	0.7875813555457164
75	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	Group1C	Group1C	0.6996488041320046
76	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	Group1C	Group1C	0.6208703930744919
77	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	Group1C	Group1C	0.7387557405273323
78	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.3210466548050062
79	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.2721088695680338
80	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	Group1C	Group1C	0.4423156588821461
81	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	Group1C	Group1C	0.32020162958084525
82	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	Group1C	Group1C	0.4045995098670866
83	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	Group1C	Group1C	0.4198559451697486
84	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML	Group1C	Group1C	0.4617383772024254
85	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML	Group1C	Group1C	0.36331190198001584
86	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML	Group1C	Group1C	0.41295710618681586
87	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	Group1C	Group1C	0.3329843369931942
88	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	Group1C	Group1C	0.37476458227307097
89	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	Group1C	Group1C	0.3993538853961231
90	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	Group1C	Group1C	0.6722302566555396
91	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.35344392834339733
92	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.4299191183962348
93	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	Group1C	Group1C	0.2594890329888871
94	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	Group1C	Group1C	0.4512653022621256
95	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	Group1C	Group1C	0.22207398334796907
96	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	Group1C	Group1C	0.40155877752762603
97	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML	Group1C	Group1C	0.5665202824843696
98	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML	Group1C	Group1C	0.22343327282831396
99	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML	Group1C	Group1C	0.5948954573942468
100	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML	Group1C	Group1C	0.4616372263168627
101	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML	Group1C	Group1C	0.3962174191393037
102	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML	Group1C	Group1C	0.5294199791707245
103	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML	Group1C	Group1C	0.4840342430457731
104	X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML	X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML	Group1C	Group1C	0.38687637766468713
105	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	X581_Group3E_142dpi_LV_top_176_G_B4_P128.mzXML	Group1C	Group3E	0.47762696619457096
106	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	X582_Group3E_142dpi_LV_top_177_G_B5_P128.mzXML	Group1C	Group3E	0.3652041441191956
107	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	X583_Group3E_142dpi_LV_top_178_G_B6_P128.mzXML	Group1C	Group3E	0.3561900819542524
108	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	X584_Group3E_142dpi_LV_top_179_G_B7_P128.mzXML	Group1C	Group3E	0.4971214929847474
