MouseID,Treatmentgroup,Heart.Weight..Body.Weight,Liver.Weight..Body.Weight,Ejection.Fraction,PR.Interval..s.,QTc..s.,P.Amplitude..V.,CD3.CD8.IFNg.,X440.337_2.765,X442.353_2.823,X105.07_2.767,X119.049_2.765,X128.018_0.344,X136.062_0.301,X136.097_0.551,X137.046_0.35,X137.046_0.42,X203.007_0.309,X249.112_2.768,X251.037_0.323,X256.264_3.225,X258.207_2.775,X267.123_2.767,X285.133_2.768,X291.146_2.39,X296.258_2.976,X301.115_0.328,X301.115_0.413,X324.327_3.455,X351.217_2.741,X352.306_2.997,X369.17_2.767,X380.993_2.164,X386.717_2.856,X387.193_2.842,X396.332_2.991,X397.22_2.071,X400.97_2.127,X416.337_2.79,X420.899_2.103,X426.484_2.164,X430.223_2.769,X440.359_2.985,X458.23_2.165,X466.25_2.226,X475.989_2.164,X476.24_2.164,X484.385_2.982,X489.228_2.768,X494.325_2.865,X570.357_2.934,X580.362_2.984,X599.241_2.765,X604.362_2.948,X620.356_2.913,X682.363_3.329,X682.364_3.313,X764.524_3.729,X790.38_2.768,X792.329_2.764,X795.335_2.768,X811.309_2.773
511,Group1C,0.006696429,0.051785714,62.285974,0.03963,0.04772,0.1057,0.0017,3.07E-05,0,0.001681762,0,0,0.001018126,0,0.016982498,0.01562225,0.000289195,0,0.000469904,0.000783173,0.003532525,0.001409712,0.000465782,0.000335882,0.000403325,0.000365461,0.000213246,0,0.000299024,0,0.00026311,0.000157225,0,0.000294606,0,4.78E-05,4.54E-05,0,0.000141141,6.80E-05,0,0,0.000136364,9.86E-05,0.000968662,0.000952174,0,0.000181597,0,0.002675156,0,0,0.001281931,0.000659514,0.00032016,0,0,0.000370969,0,0.000245626,3.80E-05
512,Group1C,0.00515873,0.046428571,17.061189,0.03691,0.04549,0.2438,0.0055,0,0,0.001668227,2.04E-05,0,0.000295572,0,0.005836288,0.007990455,2.16E-05,0,0,0.001102132,0.001397703,0.001279976,0.000633726,0.000240339,0.000247302,4.09E-05,5.46E-05,0,0.000113403,0,0.000345669,2.96E-05,1.89E-05,0.0001312,0,0,0,0,5.99E-05,0,0,0,2.92E-05,2.26E-05,0.000245307,0.000280543,0,0.000470911,0,0.002504845,0,5.00E-05,0.000671298,0.000483435,0.000179208,0,0,0.000586134,0,0.000211682,2.09E-05
513,Group1C,0.005511811,0.054330709,69.058764,0.03464,0.0451,0.19,0.0206,0,0,0.002195508,0,0,0.000332938,0,0.011181699,0.010145193,0.000217687,0,0.000233476,0.000964264,0.002525305,0.001969361,0.001061633,0.000505689,0.000294236,0.000253374,0.000146106,0,6.65E-05,0,0.000552803,0.00013103,7.36E-05,0.000165049,3.26E-05,4.14E-05,4.32E-05,3.16E-05,0.000104218,5.37E-05,3.91E-05,3.35E-05,6.59E-05,0,0.000706708,0.000747541,2.57E-05,0.001316048,0,0.00189712,0,8.29E-05,0.000706708,0.000317234,9.98E-05,0,0,0.001133874,0,0.000741259,9.53E-05
514,Group1C,0.007089552,0.055223881,53.7387055,0.03594,0.04636,0.205,-0.0016,0,0,0.003006615,6.38E-05,0,0.00104776,0,0.013286807,0.02042372,0.00031551,0,0.000569435,0.000660544,0.003788638,0.002486531,0.001040167,0.000470733,0.000336196,0.00036735,0.00018795,0,7.46E-05,0,0.000599804,0.000144107,0,8.88E-05,0,3.38E-05,9.50E-05,0,0.000176077,3.98E-05,0.000110453,0,0.000139283,0.000106894,0.000952854,0.000964243,0,0.000899707,0,0.0019133,0,9.91E-05,0.000930076,0.000245202,0.00023497,0,0,0.001150258,0,0.000713691,0.000174109
515,Group1C,0.006122449,0.057959184,57.4564695,0.03792,0.04999,0.175,9.00E-04,2.93E-05,0,0.00285843,0,0,0.000740688,0,0.01540492,0.010467,0.000335517,3.82E-05,0.000365128,0.000681572,0.002983617,0.002521121,0.0011545,0.000594637,0.000354696,0.000310365,0.000141195,0,7.13E-05,0,0.000618979,5.52E-05,3.46E-05,0.000127821,3.48E-05,4.07E-05,4.27E-05,0,0.000129376,3.25E-05,8.42E-05,3.55E-05,0.000115376,4.06E-05,0.000500747,0.000542476,3.68E-05,0.001453557,0.000486837,0.002500257,0,0.000178807,0.000744165,0.000302164,0.000251297,0,0,0.001161454,4.09E-05,0.00076503,0.000136971
531,Group1C,0.005769231,0.056923077,66.407978,0.03614,0.04349,0.1463,0.0046,0,0,0.003596194,0.000107639,0,0.000763763,0,0.012398305,0.009521351,0.000207325,3.66E-05,0.000235976,0.000417843,0.002418012,0.003161225,0.001794672,0.000547991,0.000293443,0.000199861,0.000119776,0,5.64E-05,0,0.000849387,7.84E-05,7.38E-05,6.28E-05,0,3.63E-05,3.07E-05,0,0.000105935,2.88E-05,0.000151261,0,4.89E-05,4.49E-05,0.000431543,0.000482917,0,0.002185116,0,0.001212431,0,0.000280413,0.000626765,0.00034592,0.000112422,0,0,0.00188372,8.53E-05,0.001150782,0.000161828
532,Group1C,0.005813953,0.051550388,69.149937,0.03704,0.04064,0.1658,0.0056,0,0,0.004184102,0,0,0.000943397,0,0.014920666,0.015749592,0.000251807,7.32E-05,0.00041841,0.000844715,0.002577565,0.003627538,0.001981528,0.000175224,0.000376044,0.000360287,0.00020636,0,7.21E-05,0,0.001144707,0.000171073,0,5.09E-05,3.07E-05,0.000144353,0,4.01E-05,0.000124018,0.000453936,0.000168482,0,0.000152585,0.000102194,0.001117076,0.001215758,0,0.002707825,0,0.002072315,0,0.000357279,0.000994711,0.000442094,0.000321391,0,0,0.002245995,3.99E-05,0.001480225,0.000288184
533,Group1C,0.006563707,0.055212355,62.952434,0.03593,0.04543,0.1537,0.0031,0,0,0.00318051,8.13E-05,0,0.001072193,0,0.015017254,0.010721926,0.00018075,3.08E-05,0.000459043,0.00078693,0.002344397,0.002675563,0.001472216,0.000150483,0.000354119,0.000172857,8.34E-05,0,0.000162483,2.98E-05,0.000682006,0.000241619,0,0.000142234,7.51E-05,0.000104325,0.000124235,3.11E-05,0.000145851,0.000114303,0.000152644,7.17E-05,0.000300018,0.000151091,0.001147607,0.001213184,3.33E-05,0.001534514,0.000737747,0.002950989,0,0.000230648,0.00075742,0.000308954,0.000298353,0,0,0.001603371,3.10E-05,0.000891854,0.000151068
534,Group1C,0.006504065,0.050813008,64.410019,0.03487,0.04473,0.1688,0.0029,0,0,0.003522334,0.000105216,0,0.001145864,0,0.020190782,0.01123757,0.000206309,2.80E-05,0.000515823,0.000449503,0.002781759,0.003021248,0.001584313,0.000582143,0.000375814,0.000397921,0.000150079,0,0.000105638,0,0.000946903,0.000119698,7.16E-05,0.000200153,0,3.54E-05,8.25E-05,0,5.84E-05,4.12E-05,9.07E-05,3.22E-05,0.000156887,4.51E-05,0.000648463,0.00067057,0,0.001989603,0,0.001683793,0,0.000235445,0.00063741,0.000281648,0.000281675,0,0,0.001661687,0,0.001230606,0.000146975
535,Group1C,0.007826087,0.053913043,54.891958,0.03327,0.04602,0.1017,0.0031,0,0,0.004984568,0,0,0.001608456,0,0.017786343,0.012351627,0.00035909,4.97E-05,0.000730118,0.001185756,0.003760384,0.004303856,0.00198175,0.000110413,0.000530048,0.00023494,0.000120465,0,0,0,0.001119881,0,4.20E-05,0.000241776,6.71E-05,0,0,0,0,0,0.000161516,6.48E-05,0,0,0.000407808,0.000322088,5.18E-05,0.00254718,0.000164125,0.000960682,0,0.000417157,0.000675222,0.000168015,0.000403194,0,0,0.002514242,6.01E-05,0.0016908,0.000142444
