filename,X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML,X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML,X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML,X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML,X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML,X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML,X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML,X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML,X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML,X530_Group1B_70dpi_LA_290_B_D4_P121.mzXML,X546_Group1B_70dpi_LA_291_B_D5_P121.mzXML,X547_Group1B_70dpi_LA_292_B_D6_P121.mzXML,X548_Group1B_70dpi_LA_293_B_D7_P121.mzXML,X549_Group1B_70dpi_LA_294_B_D8_P121.mzXML,X550_Group1B_70dpi_LA_295_B_D9_P121.mzXML,X566_Group3B_70dpi_LA_296_B_D10_P121.mzXML,X567_Group3B_70dpi_LA_297_B_D11_P121.mzXML,X568_Group3B_70dpi_LA_298_B_D12_P121.mzXML,X569_Group3B_70dpi_LA_299_B_E1_P121.mzXML,X570_Group3B_70dpi_LA_300_B_E2_P121.mzXML,X651_Group3B_70dpi_LA_301_B_E3_P121.mzXML,X652_Group3B_70dpi_LA_302_B_E4_P121.mzXML,X653_Group3B_70dpi_LA_303_B_E5_P121.mzXML,X654_Group3B_70dpi_LA_304_B_E6_P121.mzXML,X655_Group3B_70dpi_LA_305_B_E7_P121.mzXML,X736_Group3B_70dpi_LA_306_B_E8_P121.mzXML,X737_Group3B_70dpi_LA_307_B_E9_P121.mzXML,X738_Group3B_70dpi_LA_308_B_E10_P121.mzXML,X739_Group3B_70dpi_LA_309_B_E11_P121.mzXML,X740_Group3B_70dpi_LA_310_B_E12_P121.mzXML
X409.162_2.768,0.004068568,0.001800152,0.006080018,0.001317998,0.001939285,0.001197117,0.000897668,0.00098577,0.001830886,0.001960116,0.003348588,0.003338294,0.022204798,0.002033683,0.004259458,0.001433994,0.001456,0.001346963,0.000552133,0.001108094,0.001714003,0.003616034,0.004437757,0.004682412,0.005166844,0.005968403,0.001254883,0.001314192,0.003077316,0.001795742
X244.191_2.61,0,0,0.002199946,0,0.002776557,0.001667579,0.001857843,0.00125233,0,0.002248368,0,0.002635495,0.000903756,0.000623409,0,0.001822296,0,0,0.001392334,0.001251033,0.001737975,0.001573644,0.004237558,0.002092453,0.00214787,0.002580457,0,0.001587439,0,0
X624.388_3.054,0.000932726,0.003682622,0.003397384,0.001436915,0.002927223,0.002655084,0.000665004,0.00206207,0.000772301,0.003074691,0.003777706,0.000499489,0,0.002299773,0.002177481,0.000342319,0.000597257,0.00181025,0.000841802,0.000299793,0.001372401,0.001312486,0.001394724,0.00091307,0.003847377,0.001783499,0.001703212,0.003070784,0.00188543,0.002997031
X226.181_2.61,0,0,0.001517684,0,0.001986637,0.001392754,0.001753665,0,0,0.001856825,0,0.002228876,0.000866855,0,0,0.001398229,0,0,0,0,0.001324457,0.001566948,0.003113103,0.001700301,0.00179772,0.002117028,0,0,0,0
X238.1_2.259,0.007860363,0.034226722,0.006126431,0.021702379,0.031639837,0.03470241,0.029864387,0.025524405,0.035785499,0.015709751,0.019035236,0.06952687,0.000421323,0.076785794,0.016120999,0.096224057,0.03431999,0.018338432,0.071857254,0.058946557,0.03445985,0.053570875,0.039372583,0.035996041,0.012468747,0.030965481,0.05054695,0.061155449,0.020829296,0.015759184
X226.181_3.32,0.009742422,0.009748117,0.008261399,0.006857555,0.013753644,0.007662478,0.012431919,0.008814093,0.009087852,0.008935822,0.013056925,0.004417592,0,0.004922654,0.01182334,0.005364704,0.009404569,0.018166844,0.009442267,0.009132921,0.012735162,0.004051297,0.001461457,0.005384774,0.002694445,0.009549445,0,0.010071131,0.019198778,0.02201332
X244.191_3.324,0.008912102,0.008556681,0.006080018,0.004657588,0.011084705,0.006917192,0.010035823,0.006450256,0.007140455,0.007590644,0.00971934,0.004292092,0,0.003991341,0.00941665,0.00505815,0.007175998,0.015335648,0.007569818,0.00651448,0.011117047,0.003515589,0.001614943,0.005033593,0.002096628,0.007618491,0,0.008795975,0.015111,0.015325729
X638.403_3.073,0.000525869,0.003206047,0.002510908,0.00089287,0.002539796,0.002114751,0.00044623,0.001164315,0.000560917,0.002690355,0.003033168,0.00025602,0,0.002033683,0.001451654,0.000246947,0.000344686,0.001134623,0.000636953,0.000161913,0.00038655,0.000606021,0.000840838,0.000283017,0.001515892,0.001523698,0.000795565,0.000994101,0.000792294,0.000764738
X287.018_2.395,0.002479889,0.001486046,0.008632698,0.000777916,0.002259988,0.002224215,0.002639178,0.001062469,0.002213708,0.002906544,0.005244776,0.003488893,0,0.001463492,0.002177481,0.001754173,0.002109714,0.002702506,0.001345923,0.001517937,0.004105217,0.004419597,0.004104091,0.003336218,0.004013912,0.004142774,0.001817493,0.00204025,0.003031386,0.003870134
X489.228_2.768,0.001464131,0.000782016,0.002789382,0.000445939,0.000421864,0.000265508,0.0000812,0.000171001,0.000647468,0.000963243,0.000718864,0.001242448,0.008241781,0.000739348,0.001407722,0.000546689,0.000502171,0.000216629,0.0000558,0.00024287,0.000443483,0.001546859,0.001715043,0.00183492,0.001904473,0.002489175,0.000630738,0.000450208,0.000803777,0.000458224
