filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,mass_all
X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML,511,naive,142dpi,LA,A1,P120,0.002466692
X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,511,naive,142dpi,LV_bottom,A1,P132,0.0000307
X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,511,naive,142dpi,LV_top,A1,P128,0.0000853
X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,511,naive,142dpi,RA,A1,P124,0.00072204
X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,511,naive,142dpi,RV_bottom,A1,P140,0
X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,511,naive,142dpi,RV_top,A1,P136,0
X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML,512,naive,142dpi,LA,A2,P120,0.001265076
X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,512,naive,142dpi,LV_bottom,A2,P132,0
X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,512,naive,142dpi,LV_top,A2,P128,0
X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,512,naive,142dpi,RA,A2,P124,0.005284273
X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,512,naive,142dpi,RV_bottom,A2,P140,0
X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,512,naive,142dpi,RV_top,A2,P136,0
X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML,513,naive,142dpi,LA,A3,P120,0.000731922
X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,513,naive,142dpi,LV_bottom,A3,P132,0.0000316
X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,513,naive,142dpi,LV_top,A3,P128,0.000632642
X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,513,naive,142dpi,RA,A3,P124,0.001428677
X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,513,naive,142dpi,RV_bottom,A3,P140,0
X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,513,naive,142dpi,RV_top,A3,P136,0
X514_Group1C_142dpi_LA_164_G_A4_P120.mzXML,514,naive,142dpi,LA,A4,P120,0.001584927
X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,514,naive,142dpi,LV_bottom,A4,P132,0
X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,514,naive,142dpi,LV_top,A4,P128,0
X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,514,naive,142dpi,RA,A4,P124,0.001536334
X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,514,naive,142dpi,RV_bottom,A4,P140,0
X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,514,naive,142dpi,RV_top,A4,P136,0
X515_Group1C_142dpi_LA_165_G_A5_P120.mzXML,515,naive,142dpi,LA,A5,P120,0.000793961
