Module	m10A	m12A	m14A	m15A	m09A	m21A	m22A	m23A	m24A	m25A	m16A	m17A	m18A	m19A	m20A
M00618	1519	1282	2428	1517	1157	1487	1516	1130	1381	1312	1832	849	1605	1396	1574
M00620	8667	8931	8726	9841	4746	9508	10124	8491	8990	10333	6307	4879	6441	5626	6474
M00632	1327	1158	2212	1437	1088	1516	1428	1079	1119	1450	1781	793	1355	1205	1348
M00740	68993	76048	56334	78081	36761	72519	79208	67015	70761	74194	61128	41718	57423	53493	56548
M00741	9836	9943	9572	10742	5862	10584	11062	8759	9798	10437	8033	5335	7275	6013	7147
M00793	179	208	289	228	135	193	179	168	182	214	228	95	209	219	237
M00835	68	53	71	85	58	83	106	51	56	67	62	41	52	34	61
M00840	77	74	173	86	61	75	87	53	55	70	91	51	97	85	83
M00841	215	279	253	253	231	175	229	195	179	215	253	135	201	303	255
M00842	2693	2749	2971	3059	1970	2888	3176	2570	2618	2869	3057	1607	2588	2730	2778
M00843	771	920	998	937	651	773	957	757	822	850	852	435	796	704	957
M00844	396	396	1180	607	546	374	407	258	285	443	1242	305	906	1128	1185
M00845	396	396	1180	607	546	374	407	258	285	443	1242	305	906	1128	1185
M00846	3129	2997	3652	3768	2403	3720	3754	3192	3058	4037	4218	1826	3167	3098	3124
M00848	8651	8932	7330	9630	5182	9344	10494	8561	8927	10190	9650	5564	7640	9314	8883
M00849	78878	82828	70493	82769	37576	88778	88849	78797	72422	83920	61231	43241	55385	43919	54484
M00854	12274	12035	10650	13369	8023	12078	13240	10638	11197	13164	9971	7039	11025	12231	11948
M00855	61862	61241	40698	67676	30572	64966	66321	57663	64721	61919	42771	34309	42858	42226	38178
M00861	18208	17989	19375	20353	13114	20958	19748	17032	17323	20420	15475	10801	15440	13234	15684
M00862	9145	8938	10537	10480	6654	10353	10283	8514	8755	10310	7411	5307	7807	6565	8382
M00868	13942	13328	13956	15385	9529	15334	14468	12508	13266	14583	14600	8288	11908	13675	12493
M00872	8052	7558	7299	8802	5440	7873	8157	6847	7283	7424	6735	4391	6206	5361	6282
M00873	14530	14410	13872	15759	8677	15228	16845	13746	14442	16215	15354	8835	12353	13564	13697
M00874	22279	22025	25610	24508	15378	24203	24804	20490	21752	23851	21382	15092	17847	17518	17863
M00878	12074	12487	10127	13276	7147	12908	13358	11665	12045	13336	9431	6929	8666	8205	8433
M00880	1788	1751	2244	2092	1477	2031	2111	1711	1635	1933	1763	976	1674	1374	1592
M00881	1063	1068	1176	1315	691	1206	1199	1065	1121	1202	1157	570	976	1090	994
M00882	1149	1154	1282	1413	761	1315	1310	1130	1197	1289	1259	626	1060	1133	1112
M00883	1327	1304	1493	1595	867	1481	1515	1280	1396	1481	1463	743	1231	1271	1248
M00884	1063	1068	1176	1315	691	1206	1199	1065	1121	1202	1157	570	976	1090	994
M00892	30007	29901	30718	34124	22014	29811	29784	24711	27386	29893	35278	19735	31171	36962	30186
M00897	137	79	181	114	136	118	120	69	88	83	123	93	126	83	122
M00898	137	79	181	114	136	118	120	69	88	83	123	93	126	83	122
M00909	14444	14393	17223	17167	11091	15010	15707	12227	13861	15323	18948	9508	15888	19828	15488
M00911	3269	2734	3256	3554	2059	3290	3381	2827	3110	3307	2718	1796	2528	2406	2800
M00912	1367	1358	1790	1392	826	1398	1298	1228	1188	1377	1506	828	1348	1193	1340
M00913	10248	10072	20480	13387	9320	13788	12937	10871	10924	15348	16837	6904	9991	7076	10065
M00914	340	349	1078	455	438	393	334	247	283	418	762	272	512	402	429
M00917	2230	2229	4459	2612	2013	2473	2378	1773	2031	2336	3745	1467	2611	2407	3121
M00926	8212	7986	8173	8985	5539	8985	9068	7594	7912	8918	8489	4641	6994	6933	7343
M00936	234	187	301	130	152	149	125	97	109	183	589	148	237	588	345
M00938	12025	12590	13480	13987	7882	11925	14628	10612	11224	14516	13887	6714	12907	13964	16116
M00953	4919	5402	5883	6254	3466	5330	5653	4670	4792	5547	4290	2592	4545	4188	5809
M00956	1264	1127	866	1215	645	1328	1317	1170	1112	1116	828	759	721	605	738
M00957	91353	95686	78885	96388	44208	101802	102881	91125	85112	97509	69633	50311	63275	52012	62327
M00958	7568	7618	10728	10295	7240	6377	6794	4971	5721	6074	9605	4642	9182	8790	10861
M00959	6787	7078	10258	9770	7156	5942	6301	4522	5173	5750	9422	4639	8869	8940	10761
M00968	167	127	185	149	184	112	172	102	108	102	404	108	300	487	537
