heart_section,naive_VS_infected,naive_VS_combo,naive_VS_BNZ,infected_VS_combo,infected_VS_BNZ,combo_VS_BNZ
LA,0.46044,0.26706,0.77160,0.45800,0.46044,0.26706
RA,0.06974,0.00969,0.67830,0.48816,0.06974,0.00969
LVT,0.00281,0.00113,0.43368,0.80350,0.00719,0.00281
LVB,0.00029,0.00002,0.00002,0.50690,0.05157,0.09779
RVT,0.00003,0.00001,0.00314,1.00000,0.16716,0.16716
RVB,0.03620,0.02477,0.00914,0.76980,0.61380,0.76980
