"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML",533,"Group1C","naive",142,"RA","A8","P124",0.028949127,0.0345,0.001267203,0.011881974,0.00782687
"X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML",534,"Group1C","naive",142,"RA","A9","P124",0.035838137,0.036084867,0.0001523,0.000468412,0
"X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML",535,"Group1C","naive",142,"RA","A10","P124",0.023746006,0.031788389,0.000581695,0.001106489,0.001231509
"X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML",551,"Group1C","naive",142,"RA","A11","P124",0.027313346,0.0437,0.00105068,0.02652729,0.024057841
"X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML",552,"Group1C","naive",142,"RA","A12","P124",0.031452763,0.0328,0.000927309,0.005411842,0.001951292
"X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML",553,"Group1C","naive",142,"RA","B1","P124",0.024705978,0.02852526,0.000568868,0.004297495,0.003629028
"X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML",554,"Group1C","naive",142,"RA","B2","P124",0.023311965,0.030060667,0.00064487,0.010448144,0.00540186
"X555_Group1C_142dpi_RA_175_G_B3_P124.mzXML",555,"Group1C","naive",142,"RA","B3","P124",0.033103813,0.0349,0.00102993,0.00895,0.005288455
"X561_Group3A_50dpi_RA_266_B_B4_P125.mzXML",561,"Group3A","infected",50,"RA","B4","P125",0.015545165,0.01743988,7.04e-05,0.015436478,0.000782436
"X562_Group3A_50dpi_RA_267_B_B5_P125.mzXML",562,"Group3A","infected",50,"RA","B5","P125",0.033586715,0.0473,0.000893584,0.015083101,0.007128834
"X563_Group3A_50dpi_RA_268_B_B6_P125.mzXML",563,"Group3A","infected",50,"RA","B6","P125",0.020774849,0.028374791,0.000344417,0.00566681,0.000388217
"X564_Group3A_50dpi_RA_269_B_B7_P125.mzXML",564,"Group3A","infected",50,"RA","B7","P125",0.017213844,0.022725245,0.000358822,0.014405125,0.000660747
"X565_Group3A_50dpi_RA_270_B_B8_P125.mzXML",565,"Group3A","infected",50,"RA","B8","P125",0.026384345,0.027132422,0.0002207,0.001712124,0.000295834
