"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML",531,"Group1C","naive",142,"RV_bottom","A6","P140",0.01498764,0.019303145,0.000296114,0,0
"X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML",532,"Group1C","naive",142,"RV_bottom","A7","P140",0.009144121,0.010922774,6.99e-05,0.000535351,0
"X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML",533,"Group1C","naive",142,"RV_bottom","A8","P140",0.013248665,0.016402516,0.000258726,0,0
"X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML",534,"Group1C","naive",142,"RV_bottom","A9","P140",0.018191462,0.025543651,0.000340055,0,0
"X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML",535,"Group1C","naive",142,"RV_bottom","A10","P140",0.01606015,0.018755666,0.000392582,0,0
"X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML",551,"Group1C","naive",142,"RV_bottom","A11","P140",0.011397485,0.014785037,7.57e-05,0,0
"X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML",552,"Group1C","naive",142,"RV_bottom","A12","P140",0.018691804,0.026686093,0.000395796,0.007106253,0.000446986
"X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML",553,"Group1C","naive",142,"RV_bottom","B1","P140",0.011098198,0.013178015,7.13e-05,0,0
"X554_Group1C_142dpi_RV_bottom_174_G_B2_P140.mzXML",554,"Group1C","naive",142,"RV_bottom","B2","P140",0.015217468,0.018241127,7.96e-05,0,0
"X555_Group1C_142dpi_RV_bottom_175_G_B3_P140.mzXML",555,"Group1C","naive",142,"RV_bottom","B3","P140",0.013284542,0.016334998,0.000326134,0,0
"X561_Group3A_50dpi_RV_bottom_266_B_B4_P141.mzXML",561,"Group3A","infected",50,"RV_bottom","B4","P141",0.056610406,0.065687451,0.001979366,0.006309488,0.003715427
"X562_Group3A_50dpi_RV_bottom_267_B_B5_P141.mzXML",562,"Group3A","infected",50,"RV_bottom","B5","P141",0.033691008,0.036463643,0.000584443,0.000731721,8.42e-05
"X563_Group3A_50dpi_RV_bottom_268_B_B6_P141.mzXML",563,"Group3A","infected",50,"RV_bottom","B6","P141",0.031311609,0.028309716,0.000477387,0.000608914,0.000565478
"X564_Group3A_50dpi_RV_bottom_269_B_B7_P141.mzXML",564,"Group3A","infected",50,"RV_bottom","B7","P141",0.029635511,0.027927558,0.000372458,6.4e-05,0
"X565_Group3A_50dpi_RV_bottom_270_B_B8_P141.mzXML",565,"Group3A","infected",50,"RV_bottom","B8","P141",0.035774129,0.052825501,0.001162464,0.00116653,0.00073995
"X646_Group3A_50dpi_RV_bottom_271_B_B9_P141.mzXML",646,"Group3A","infected",50,"RV_bottom","B9","P141",0.059661584,0.069753067,0.00131091,0.003603349,0.001535665
"X647_Group3A_50dpi_RV_bottom_272_B_B10_P141.mzXML",647,"Group3A","infected",50,"RV_bottom","B10","P141",0.094985978,0.092981497,0.002271606,0.00849573,0.009111084
"X648_Group3A_50dpi_RV_bottom_273_B_B11_P141.mzXML",648,"Group3A","infected",50,"RV_bottom","B11","P141",0.034516037,0.049691919,0.000643641,0.002104952,0.002064796
"X649_Group3A_50dpi_RV_bottom_274_B_B12_P141.mzXML",649,"Group3A","infected",50,"RV_bottom","B12","P141",0.059311452,0.070858957,0.000879404,0.002406489,0.002747209
"X650_Group3A_50dpi_RV_bottom_275_B_C1_P141.mzXML",650,"Group3A","infected",50,"RV_bottom","C1","P141",0.083743114,0.084,0.004529391,0.014716201,0.013492254
"X731_Group3A_50dpi_RV_bottom_276_B_C2_P141.mzXML",731,"Group3A","infected",50,"RV_bottom","C2","P141",0.075707244,0.081561575,0.002223984,0.003348569,0.001366496
"X732_Group3A_50dpi_RV_bottom_277_B_C3_P141.mzXML",732,"Group3A","infected",50,"RV_bottom","C3","P141",0.022432348,0.020894678,0.000196666,0,0
"X733_Group3A_50dpi_RV_bottom_278_B_C4_P141.mzXML",733,"Group3A","infected",50,"RV_bottom","C4","P141",0.020448354,0.021154738,0.000162278,0,0
"X734_Group3A_50dpi_RV_bottom_279_B_C5_P141.mzXML",734,"Group3A","infected",50,"RV_bottom","C5","P141",0.026448784,0.02524288,0.000851141,0.000186477,0
"X735_Group3A_50dpi_RV_bottom_280_B_C6_P141.mzXML",735,"Group3A","infected",50,"RV_bottom","C6","P141",0.040555943,0.052720006,0.001436846,0.000244851,0.000480924
"X566_Group3B_70dpi_RV_bottom_296_B_D10_P141.mzXML",566,"Group3B","infected",75,"RV_bottom","D10","P141",0.032519788,0.025912724,0.000443544,0,0
"X567_Group3B_70dpi_RV_bottom_297_B_D11_P141.mzXML",567,"Group3B","infected",75,"RV_bottom","D11","P141",0.035379818,0.019878065,0.000285391,0,0
"X568_Group3B_70dpi_RV_bottom_298_B_D12_P141.mzXML",568,"Group3B","infected",75,"RV_bottom","D12","P141",0.039595764,0.037918005,0.000559504,0.001671646,0.001305797
"X569_Group3B_70dpi_RV_bottom_299_B_E1_P141.mzXML",569,"Group3B","infected",75,"RV_bottom","E1","P141",0.042400257,0.030344779,0,0,0
"X570_Group3B_70dpi_RV_bottom_300_B_E2_P141.mzXML",570,"Group3B","infected",75,"RV_bottom","E2","P141",0.03416335,0.024969657,0,0,0
"X651_Group3B_70dpi_RV_bottom_301_B_E3_P141.mzXML",651,"Group3B","infected",75,"RV_bottom","E3","P141",0.035810605,0.042739702,0.001263792,0.000659701,0.000599565
"X652_Group3B_70dpi_RV_bottom_302_B_E4_P141.mzXML",652,"Group3B","infected",75,"RV_bottom","E4","P141",0.028365703,0.027659886,0.0001177,0.000177628,0.000173901
"X653_Group3B_70dpi_RV_bottom_303_B_E5_P141.mzXML",653,"Group3B","infected",75,"RV_bottom","E5","P141",0.032993216,0.037009776,0.001092523,0.002737291,0.001967945
"X654_Group3B_70dpi_RV_bottom_304_B_E6_P141.mzXML",654,"Group3B","infected",75,"RV_bottom","E6","P141",0.036450487,0.042246073,0.001217676,0.001570307,0.001763131
"X655_Group3B_70dpi_RV_bottom_305_B_E7_P141.mzXML",655,"Group3B","infected",75,"RV_bottom","E7","P141",0.089544502,0.0774,0.002398353,0.006780575,0.007610747
