"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML",511,"naive","142dpi","RV_bottom","A1","P140",0.010702499,0.018784438,0,0,0
"X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML",512,"naive","142dpi","RV_bottom","A2","P140",0.018174011,0.025207861,7.17e-05,0,0
"X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML",513,"naive","142dpi","RV_bottom","A3","P140",0.012460664,0.014387724,0,0.00102245,0.000313152
"X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML",514,"naive","142dpi","RV_bottom","A4","P140",0.013938643,0.018600493,0.000228515,6.06e-05,0
"X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML",515,"naive","142dpi","RV_bottom","A5","P140",0.020760944,0.022556423,0.000521923,0.000221919,0
"X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML",531,"naive","142dpi","RV_bottom","A6","P140",0.01498764,0.019303145,0.000296114,0,0
"X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML",532,"naive","142dpi","RV_bottom","A7","P140",0.009144121,0.010922774,6.99e-05,0.000535351,0
"X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML",533,"naive","142dpi","RV_bottom","A8","P140",0.013248665,0.016402516,0.000258726,0,0
"X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML",534,"naive","142dpi","RV_bottom","A9","P140",0.018191462,0.025543651,0.000340055,0,0
"X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML",535,"naive","142dpi","RV_bottom","A10","P140",0.01606015,0.018755666,0.000392582,0,0
"X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML",551,"naive","142dpi","RV_bottom","A11","P140",0.011397485,0.014785037,7.57e-05,0,0
"X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML",552,"naive","142dpi","RV_bottom","A12","P140",0.018691804,0.026686093,0.000395796,0.007106253,0.000446986
"X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML",553,"naive","142dpi","RV_bottom","B1","P140",0.011098198,0.013178015,7.13e-05,0,0
"X554_Group1C_142dpi_RV_bottom_174_G_B2_P140.mzXML",554,"naive","142dpi","RV_bottom","B2","P140",0.015217468,0.018241127,7.96e-05,0,0
"X555_Group1C_142dpi_RV_bottom_175_G_B3_P140.mzXML",555,"naive","142dpi","RV_bottom","B3","P140",0.013284542,0.016334998,0.000326134,0,0
"X581_Group3E_142dpi_RV_bottom_176_G_B4_P140.mzXML",581,"infected","142dpi","RV_bottom","B4","P140",0.014116598,0.011602317,7.11e-05,0,0
"X582_Group3E_142dpi_RV_bottom_177_G_B5_P140.mzXML",582,"infected","142dpi","RV_bottom","B5","P140",0.011548522,0.011997421,0.000281116,0,0
"X583_Group3E_142dpi_RV_bottom_178_G_B6_P140.mzXML",583,"infected","142dpi","RV_bottom","B6","P140",0.009337858,0.010103911,9.06e-05,0,0
"X584_Group3E_142dpi_RV_bottom_179_G_B7_P140.mzXML",584,"infected","142dpi","RV_bottom","B7","P140",0.013359138,0.014246993,0.0002151,0,0
"X585_Group3E_142dpi_RV_bottom_180_G_B8_P140.mzXML",585,"infected","142dpi","RV_bottom","B8","P140",0.011763544,0.014142223,0.000339557,0.00237373,0.001749487
"X611_Group9_142dpi_RV_bottom_181_G_B9_P140.mzXML",611,"combo","142dpi","RV_bottom","B9","P140",0.01212967,0.013573974,0.000245883,0,0
"X612_Group9_142dpi_RV_bottom_182_G_B10_P140.mzXML",612,"combo","142dpi","RV_bottom","B10","P140",0.007099116,0.008018595,0,0,0
"X613_Group9_142dpi_RV_bottom_183_G_B11_P140.mzXML",613,"combo","142dpi","RV_bottom","B11","P140",0.013326204,0.013746514,7.03e-05,0,0
"X614_Group9_142dpi_RV_bottom_184_G_B12_P140.mzXML",614,"combo","142dpi","RV_bottom","B12","P140",0.012390649,0.013753808,0,0.000196759,0
"X615_Group9_142dpi_RV_bottom_185_G_C1_P140.mzXML",615,"combo","142dpi","RV_bottom","C1","P140",0.015575339,0.017183958,0.000181716,0.002146601,0.0001379
"X631_Group15_142dpi_RV_bottom_191_G_C7_P140.mzXML",631,"BNZ","142dpi","RV_bottom","C7","P140",0.007016621,0.006798712,0,0,0
"X632_Group15_142dpi_RV_bottom_192_G_C8_P140.mzXML",632,"BNZ","142dpi","RV_bottom","C8","P140",0.008655128,0.012179072,0.000107,0,0
"X633_Group15_142dpi_RV_bottom_193_G_C9_P140.mzXML",633,"BNZ","142dpi","RV_bottom","C9","P140",0.010200587,0.012376714,0.000127,0.001075769,0.000328818
"X634_Group15_142dpi_RV_bottom_194_G_C10_P140.mzXML",634,"BNZ","142dpi","RV_bottom","C10","P140",0.007281539,0.00879328,5.44e-05,0,0
"X635_Group15_142dpi_RV_bottom_195_G_C11_P140.mzXML",635,"BNZ","142dpi","RV_bottom","C11","P140",0.006160375,0.007374431,0,0,0
"X666_Group3E_142dpi_RV_bottom_201_G_D5_P140.mzXML",666,"infected","142dpi","RV_bottom","D5","P140",0.009862041,0.01023995,0,0,0
"X667_Group3E_142dpi_RV_bottom_202_G_D6_P140.mzXML",667,"infected","142dpi","RV_bottom","D6","P140",0.008740944,0.008528251,0,0.000503301,0.000377911
"X668_Group3E_142dpi_RV_bottom_203_G_D7_P140.mzXML",668,"infected","142dpi","RV_bottom","D7","P140",0.008780162,0.009389767,5.66e-05,0.003337624,0.0001502
"X669_Group3E_142dpi_RV_bottom_204_G_D8_P140.mzXML",669,"infected","142dpi","RV_bottom","D8","P140",0.006374382,0.007392699,0,0.002160511,0.00039113
"X670_Group3E_142dpi_RV_bottom_205_G_D9_P140.mzXML",670,"infected","142dpi","RV_bottom","D9","P140",0.009917605,0.00940178,0,0,0
"X696_Group9_142dpi_RV_bottom_206_G_D10_P140.mzXML",696,"combo","142dpi","RV_bottom","D10","P140",0.008621274,0.008092385,0,0,0
"X697_Group9_142dpi_RV_bottom_207_G_D11_P140.mzXML",697,"combo","142dpi","RV_bottom","D11","P140",0.010180627,0.009377714,0,0.000287882,7.01e-05
"X698_Group9_142dpi_RV_bottom_208_G_D12_P140.mzXML",698,"combo","142dpi","RV_bottom","D12","P140",0.007911947,0.006524352,0,0.001248448,0
"X699_Group9_142dpi_RV_bottom_209_G_E1_P140.mzXML",699,"combo","142dpi","RV_bottom","E1","P140",0.01416164,0.012498052,0,0,0
"X700_Group9_142dpi_RV_bottom_210_G_E2_P140.mzXML",700,"combo","142dpi","RV_bottom","E2","P140",0.013532414,0.01430459,0,0,0
