filename,CD4
aq_pos_mass_1181.544_4.181_2469,1
aq_pos_mass_126.022_0.366_279,1
aq_pos_mass_133.065_3.695_779,1
aq_pos_mass_136.048_0.308_334,1
aq_pos_mass_139.112_3.937_2812,1
aq_pos_mass_146.117_0.326_2055,1
aq_pos_mass_154.058_0.311_2064,1
aq_pos_mass_166.084_0.311_2478,1
aq_pos_mass_169.058_0.324_2089,1
aq_pos_mass_175.015_4.19_666,1
aq_pos_mass_179.128_0.327_2074,1
aq_pos_mass_180.174_3.918_3044,1
aq_pos_mass_189.113_6.521_5486,1
aq_pos_mass_192.159_0.387_2608,1
aq_pos_mass_195.003_0.361_2215,1
aq_pos_mass_200.145_0.645_2717,1
aq_pos_mass_200.237_4.127_5313,1
aq_pos_mass_205.041_3.305_4606,1
aq_pos_mass_205.086_4.467_416,1
aq_pos_mass_207.014_0.288_2072,1
aq_pos_mass_209.092_0.599_4609,1
aq_pos_mass_212.164_3.84_1938,1
aq_pos_mass_214.253_4.16_789,1
aq_pos_mass_221.042_0.285_187,1
aq_pos_mass_222.068_3.305_2781,1
aq_pos_mass_224.065_3.303_4877,1
aq_pos_mass_226.18_3.918_256,1
aq_pos_mass_228.134_1.375_4875,1
aq_pos_mass_230.247_4.163_793,1
aq_pos_mass_246.145_1.55_5382,1
aq_pos_mass_246.17_3.007_2669,1
aq_pos_mass_261.185_4.152_5200,1
aq_pos_mass_266.172_3.916_322,1
aq_pos_mass_268.129_3.296_6347,1
aq_pos_mass_273.169_3.703_2406,1
aq_pos_mass_276.18_2.021_3213,1
aq_pos_mass_281.138_3.681_2726,1
aq_pos_mass_281.138_3.726_2295,1
aq_pos_mass_288.253_4.206_4553,1
aq_pos_mass_297.133_3.694_435,1
aq_pos_mass_303.231_4.421_2977,1
aq_pos_mass_304.211_3.386_2120,1
aq_pos_mass_304.212_3.447_2134,1
aq_pos_mass_307.226_4.256_4717,1
aq_pos_mass_309.205_4.08_6687,1
aq_pos_mass_323.258_4.538_5502,1
aq_pos_mass_331.13_4.191_239,1
aq_pos_mass_331.226_4.212_4131,1
aq_pos_mass_345.152_3.434_2425,1
aq_pos_mass_347.221_3.927_6389,1
aq_pos_mass_347.221_4.084_4168,1
aq_pos_mass_354.264_4.063_6674,1
aq_pos_mass_357.278_4.214_2241,1
aq_pos_mass_358.295_4.2_2238,1
aq_pos_mass_359.167_3.559_2266,1
aq_pos_mass_365.194_4.007_4677,1
aq_pos_mass_367.245_4.111_2979,1
aq_pos_mass_377.266_4.588_5624,1
aq_pos_mass_386.026_0.351_2161,1
aq_pos_mass_387.192_4.19_17,1
aq_pos_mass_391.245_4.229_4153,1
aq_pos_mass_395.205_0.292_2246,1
aq_pos_mass_404.219_4.19_148,1
aq_pos_mass_405.159_4.362_2464,1
aq_pos_mass_407.24_4.032_4700,1
aq_pos_mass_409.174_4.19_36,1
aq_pos_mass_416.263_4.033_5516,1
aq_pos_mass_421.219_4.029_4143,1
aq_pos_mass_427.795_4.44_2417,1
aq_pos_mass_436.308_4.439_781,1
aq_pos_mass_437.193_4.163_3191,1
aq_pos_mass_445.246_4.194_630,1
aq_pos_mass_447.205_4.267_2450,1
aq_pos_mass_449.808_4.432_2755,1
aq_pos_mass_458.321_4.433_771,1
aq_pos_mass_464.081_0.588_2142,1
aq_pos_mass_480.335_4.429_798,1
aq_pos_mass_502.348_4.423_2311,1
aq_pos_mass_543.379_4.159_4550,1
aq_pos_mass_565.937_3.495_5704,1
