SampleID,x,y,z,radius,group 3E and group 15
LA,199,-2.9,-156,19,0.975107
RA,94,18,-164,30,0.929379
LVT,188.434,23.7235,-107.587,33,1.05155
LVB,178.851,29.0384,-61.7663,49,1.295228
RVT,126,32,-107,39,2.117736
RVB,139,30.9722,-65,42,2.552585
