SampleID,x,y,z,radius,group 1C and group 15
LA,199,-2.9,-156,19,1.356518
RA,94,18,-164,30,1.247886
LVT,188.434,23.7235,-107.587,33,1.484447
LVB,178.851,29.0384,-61.7663,49,2.715189
RVT,126,32,-107,39,3.087695
RVB,139,30.9722,-65,42,4.910679
