MouseID,Treatmentgroup,Heart.Weight..Body.Weight,Liver.Weight..Body.Weight,Ejection.Fraction,PR.Interval..s.,QTc..s.,P.Amplitude..V.,CD3.CD8.IFNg.,X293.211_2.933,X440.337_2.765,X442.353_2.823,X141.091_1.54,X203.007_0.309,X240.116_2.324,X249.112_2.768,X272.222_2.957,X296.258_2.976,X311.221_2.932,X345.243_3.095,X366.373_3.699,X546.029_2.319,X607.227_2.771,X608.227_2.768,X690.434_3.14,X692.414_2.985,X708.445_3.006,X709.936_2.18,X720.445_3.09,X737.391_2.399,X776.042_2.398,X776.095_2.398,X776.148_2.398,X776.359_2.398,X819.433_2.399,X867.281_2.399
631,Group15,0.00720339,0.053813559,58.692064,0.04255,0.04088,0.09783,-0.0012,0.000402601,0.000398175,0.00029581,0.000240284,0.000177127,6.28E-05,0.000104868,0.001361236,0.000279231,0.000370784,0,0.000665298,0,3.18E-05,0.000125216,0.000468335,0.000678429,0.000871016,0,0.000373889,0,0,0,5.97E-05,8.82E-05,8.13E-05,6.44E-05
632,Group15,0.0064,0.0616,73.26804,0.0381,0.0453,0.1181,-0.0032,0.00036459,4.10E-05,5.60E-05,0.000375501,0.000147563,0.000153118,0.000137026,0.000339494,0.000186292,0.000354305,3.38E-05,0.000804135,0,9.22E-05,0.000155109,0.000315686,0.00054364,0.000928719,3.99E-05,0.000311334,0,0,0,5.79E-05,0.000118815,6.94E-05,0
633,Group15,0.007692308,0.051282051,62.214771,0.03686,0.05432,0.1102,0.0018,0.000405705,0.000718133,0.000496164,0.000105927,0.000263935,0,0.000112107,0.000304102,0.000240063,0.000328337,0,0.001283934,0,3.55E-05,8.19E-05,0.000264242,0.000539688,0.000887873,0,0.000234169,0,0,0,0,4.89E-05,6.34E-05,0
634,Group15,0.00620155,0.053488372,51.880843,0.03771,0.04924,0.1116,5.00E-04,0.000644154,0.000347407,0.000531915,0,0.000215369,5.18E-05,8.70E-05,0.000440346,0.000243784,0.000658794,4.93E-05,0.000476863,0,4.53E-05,9.42E-05,0.000114543,0.000517275,0.000805192,5.55E-05,0.000101264,0.00011395,0.000224599,0.00027283,0.000377007,0.000433284,0.000372248,0.000221177
635,Group15,0.006306306,0.055405405,37.727196,0.03742,0.04289,0.1015,0.0026,0.000162848,0,7.92E-05,0.000224684,0.000245962,8.08E-05,6.85E-05,0.000876452,0.000385755,0.000232097,0,7.39E-05,0,0,0.000172541,0.000128918,0.000431143,0.000396591,0,0,0.000194323,0.000305304,0.000400807,0.00052431,0.000651417,0.000564329,0.000320164
666,Group3E,0.006147541,0.059016393,76.178785,0.0368,0.04886,0.157,0.0033,0.000204383,0.000435216,0.000500138,3.69E-05,0,0.000146675,2.07E-05,0.000353463,0,0.000182743,0,0,6.62E-05,0,2.81E-05,0.000257282,0.000140664,0.000774252,6.95E-05,6.54E-05,0.000119745,0.000120105,0.000224822,0.000308979,0.000337833,0.000325811,0.000138259
667,Group3E,0.006147541,0.059016393,76.4477795,0.038,0.05699,0.09939,-0.0081,0.000163275,0.00137523,0.001571174,0.000162756,0,5.06E-05,0.000192382,0.000316827,0.000188501,3.62E-05,0,0.001059544,0,5.75E-05,0.000213484,0.000130519,0.000413658,0.000627744,4.88E-05,3.28E-05,0,3.78E-05,6.87E-05,0.000180156,0.000102879,0.000137775,5.32E-05
668,Group3E,0.007017544,0.05745614,66.867887,0.04206,0.04369,0.09355,-2.00E-04,0.000155161,0.000677972,0.000811071,0.000283937,0,4.83E-05,0.00017723,0.000353447,0.000199914,0.000152634,0,0.001605504,0,0.000118238,0.00020819,0.000276654,0.000428412,0.000702928,0,0.000197714,0,0,3.97E-05,4.72E-05,5.04E-05,4.57E-05,3.71E-05
669,Group3E,0.006637168,0.055752212,66.774955,0.03676,0.04787,0.1236,0.0044,0.000499292,0.000176559,0.000135036,0.000207285,0.00014064,4.79E-05,3.20E-05,0.000266898,0.000213125,0,2.73E-05,0.001501096,2.83E-05,2.52E-05,0,0.000246989,0.000402655,0.000740884,0,0.000224164,0,0,0,7.67E-05,0,7.95E-05,0
670,Group3E,0.006584362,0.056378601,64.06869,0.03622,0.05014,0.1016,-0.0077,0.000370917,6.96E-05,5.09E-05,0.000593755,0,0,0.000159745,0.000526199,0.000500299,0.000392969,0,0.000360183,0,5.96E-05,0.000276885,0.00010682,0,0.000117239,0,0,0,7.59E-05,0.00010661,9.39E-05,0.000144239,0.000301718,0
696,Group9,0.005990783,0.055760369,63.7626865,0.0363,0.04526,0.2225,0.0029,0.00033101,0.000211605,0.000176991,0.000258384,0,0.000140813,0.000146902,0.000470686,0.000265306,0.000289608,0,0.001150974,0,4.16E-05,0.000114959,0.000159164,0.000276064,0.000558939,0,3.53E-05,0.000257809,0.00022578,0.000422882,0.000573648,0.000731769,0.000698674,0.000351994
697,Group9,0.005439331,0.058577406,74.06804,0.03546,0.04469,0.08632,0.002,0.000428246,0.000283777,0.000270942,8.90E-05,0,3.46E-05,3.77E-05,0.000536775,0.000276481,0,7.50E-05,0.001126347,3.99E-05,0,2.67E-05,0.000113579,0.000259086,0.000305052,0,5.17E-05,3.59E-05,4.97E-05,0.000106982,8.42E-05,0.000151145,7.37E-05,5.83E-05
698,Group9,0.005825243,0.054854369,65.13987,0.03607,0.04467,0.116,-0.0014,0.00020026,7.73E-05,0.000144034,0.000141091,0,8.03E-05,0,0.008141307,0.000372318,0.000188717,0,0.000751874,5.30E-05,0,3.71E-05,8.45E-05,4.19E-05,0.000263627,6.78E-05,0,0.000114034,0.000249241,0.000454675,0.00081892,0.000727929,0.000651305,0.000275235
699,Group9,0.007207207,0.05990991,72.4044545,0.03528,0.05251,0.1866,0.0048,0.000160626,0.000395266,0.000428337,0,3.91E-05,0.000145968,0,9.33E-05,0.000109785,0,4.97E-05,0.001348,1.56E-05,0,0,1.45E-05,0,1.80E-05,5.31E-05,0,0.000118599,0.000137792,0.00020472,0.000305505,0.000277159,0.00026771,0.000136163
700,Group9,0.005833333,0.055416667,70.756555,0.0319,0.05237,0.05283,6.00E-04,0.000281346,0.000742624,0.000592136,5.54E-05,0,0.000107124,2.15E-05,0.00042202,0.000153643,0.000248632,0,0.001668449,4.10E-05,1.51E-05,1.72E-05,0.000125274,0,0.000574143,4.03E-05,0,0.00019956,0.000212646,0.000408934,0.000351683,0.000386033,0.000487449,0.00025681
716,Group15,0.00438247,0.055776892,58.125892,0.04104,0.04721,0.08168,-0.0027,0.000190807,0.000107403,0.000133118,0,0,9.62E-05,9.26E-05,0.000608048,8.86E-05,0.000192913,0,0.002082954,0,3.10E-05,0.000108412,0.000197521,0.000255251,0.000402247,0,7.05E-05,0,4.98E-05,0.000101399,0.000183668,0.000190562,0.000173903,0.000124823
717,Group15,0.004700855,0.055555556,62.5932835,0.03819,0.04321,0.131,-6.00E-04,0.000669267,5.03E-05,0,0.000221477,0,0,0.000197953,0.000413256,0.000235545,0.000659497,0,0.000191128,0,0.000149085,0.000276894,9.77E-05,0.000356802,0.000493402,0,5.20E-05,0,8.66E-05,0.000124307,0.000156928,0.000260271,0.000187236,8.51E-05
718,Group15,0.003813559,0.058898305,48.222922,0.03943,0.04239,0.1247,0.0043,0.000438651,0,0,0.00023636,0,0,0.0001413,0.000391504,0.000299534,0.000332965,0,0.000260077,0,0.000150277,0.00017435,5.45E-05,0.000337177,0.00021798,0,0,0,0,0,8.77E-05,0.000100684,0.000130997,0
719,Group15,0.005829596,0.056053812,41.488826,0.03687,0.04418,0.07887,0.0047,0.000305935,4.57E-05,4.40E-05,7.02E-05,0,3.70E-05,2.71E-05,0.000242299,0.000138378,0.000298651,4.09E-05,0.00201043,2.42E-05,0,0,0.000172705,0.000403057,0.000580305,0,0.000153071,7.17E-05,3.23E-05,5.31E-05,0.000137415,0.000155595,0.000136731,4.25E-05
720,Group15,0.006746032,0.057539683,41.488826,0.03603,0.06231,0.05127,0.0027,0.000782654,0.000333136,0.000171258,0.000222675,0,3.84E-05,0,0.000316609,0.000256725,0.000822884,0.000118297,0.000793626,0,0,0,0.000177154,0.000435214,0.000789969,0,0.000160873,3.02E-05,4.82E-05,7.01E-05,0.000104832,7.79E-05,0.000120259,6.18E-05
751,Group3E,0.007377049,0.059836066,64.871977,0.04165,0.05075,0.106,0.0041,0.00028993,0.00031591,0.000290854,0.000125128,0,0,0.000143684,0.000649748,0.00025921,0.000270273,3.80E-05,0.000780633,5.06E-05,0.000102191,0.000139277,0.000188776,0.000626376,0.000537562,4.09E-05,5.38E-05,0,5.49E-05,0.000118734,0.000155002,0.000146367,0.000236342,6.69E-05
752,Group3E,0.006451613,0.055241935,54.651132,0.03487,0.04538,0.1279,0.0086,0.000188541,8.17E-05,0.000202348,0.000258092,0,0,0.000149452,0.000302026,0.000186242,3.98E-05,0,0.001294895,0,5.79E-05,0.000205298,0.000193769,0.000588588,0.000706306,0,9.48E-05,5.71E-05,5.21E-05,0.000143776,0.00018461,0.000104374,0.000175799,7.10E-05
753,Group3E,0.006698565,0.054066986,76.8340295,0.03477,0.03802,0.08864,0.0013,0.000129871,0.000241287,0.000182068,0,0,0,0.000112599,0.000145159,0.000209291,4.50E-05,0,0.00026499,0,5.19E-05,0.000201825,0.000295814,0.000521762,0.000468782,4.84E-05,8.23E-05,0.000233041,0.00027383,0.000422596,0.000611885,0.000673547,0.000673547,0.000343364
754,Group3E,0.007594937,0.058227848,53.2638975,0.0366,0.04794,0.08941,-0.0024,0.00016557,0.000112892,4.69E-05,0,0,6.62E-05,0.000135695,0.000236694,0.000269422,0.000200482,0,0.001404518,0,8.34E-05,0.000192701,0.000426689,0.000668479,0.000771596,0,0.000312376,0,0,5.84E-05,0.000116253,8.05E-05,9.18E-05,3.89E-05
755,Group3E,0.007111111,0.061777778,41.9446585,0.03582,0.05007,-0.05044,-0.0072,0.000212121,9.63E-05,0.000121434,0,1.99E-05,7.81E-05,3.02E-05,0.000113058,0.000141977,0,0,0.001821693,0,0,2.63E-05,0.000325703,0.000377367,0.000765965,0,0.000223377,0,0,0,0,0,2.09E-05,0
781,Group9,0.006410256,0.056410256,34.2927655,0.03478,0.05478,0.0706,0.0615,0.000129238,4.74E-05,4.94E-05,0.000166132,0,0.000105694,4.18E-05,0.000506169,0.000271393,0,0,0.001406714,0,3.64E-05,0.000115025,0.000266462,0.000394377,0.000531011,0,8.23E-05,0,0,0,0.00011299,0.000105773,0.000121727,4.40E-05
782,Group9,0.0075,0.0575,68.2174695,0.03696,0.0335,0.04007,0.0172,0.000223923,0.000240538,0.000209848,0.000132463,0,3.74E-05,0,0.000397599,0.000359568,0,0,0.001351836,0,0,4.17E-05,0.000162654,0.000401056,0.000394142,3.79E-05,3.29E-05,0,5.62E-05,6.91E-05,7.74E-05,7.03E-05,0.000155529,0.000100663
783,Group9,0.0072,0.0652,74.8295605,0.04034,0.04173,0.08183,0.0156,0.000302819,7.33E-05,0.000206036,0.000273714,0,0,0,0.000194017,0.00021529,0,0.00013187,0.001235369,0,0,0,3.39E-05,0,0.000146737,0,0,3.42E-05,5.41E-05,0.000137227,0.000196984,0.000160715,0.000181791,9.29E-05
784,Group9,0.007692308,0.061111111,49.4814565,0.03788,0.04558,0.0766,0.0187,0.000296744,0.000205123,0.000282322,0.000103536,0,6.16E-05,0,0.000223323,0.000245542,0.00034073,0.00014006,0.000654013,3.44E-05,0,0,3.86E-05,6.70E-05,0.000427624,0,0,6.09E-05,0.000107317,0.000305577,0.00040247,0.000391689,0.000345299,0.000233756
785,Group9,0.006882591,0.061538462,75.213886,0.03875,0.0461,0.08315,0.007,0.000247651,0.000411958,0.000376239,0,0,0.000102654,0,0.000600078,0.000139905,0.000189491,0,0.0012073,3.24E-05,0,0,5.94E-05,0,0.000642941,4.03E-05,0,0.000153822,0.000213973,0.00030242,0.000492921,0.000485777,0.000523878,0.000252414
801,Group15,0.007692308,0.058547009,60.969161,0.03906,0.05172,0.1961,-0.024,0.000260217,0,3.66E-05,0.000458148,0,4.39E-05,0.000103299,0.000698342,0.000321889,0.000275158,6.78E-05,0.000258068,0,5.08E-05,0.000160438,8.39E-05,0.000407243,0.000427448,0,5.03E-05,0,0,6.01E-05,7.17E-05,7.91E-05,0.000113282,4.36E-05
802,Group15,0.005957447,0.058297872,35.6604905,0.03889,0.04065,0.09487,-0.0045,0.000650972,3.99E-05,3.26E-05,0.000105437,0,8.62E-05,7.29E-05,0.000333056,0.000227415,0.000678222,0.000100804,0.000835667,3.60E-05,0,8.29E-05,0.000242543,0.0004905,0.000590417,0,0.000229024,0,0,0,3.53E-05,3.64E-05,7.37E-05,0
803,Group15,0.006896552,0.056034483,69.944388,0.03607,0.04878,0.1445,0.0011,0.000591706,0.000192155,0.000200963,0.000254875,0,0,4.09E-05,0.000419256,0.000378858,0.000627723,0.000262187,0.000560835,0,0,0,9.19E-05,0.000643159,0.000571125,0,0.000156701,0,0,0,7.11E-05,5.37E-05,6.12E-05,0
804,Group15,0.007438017,0.058677686,32.614051,0.03453,0.04894,0.06265,0.0039,0.000367008,0,0,0.000192328,0,0,0,0.000230257,0.000303764,0.000429439,0,0.001081612,0,0,0,0.000180628,0.000521831,0.00054555,0,0.000201465,0,4.83E-05,7.54E-05,0.000123848,0.000167025,0.00010692,7.35E-05
805,Group15,0.006198347,0.05785124,49.900498,0.03659,0.04808,0.06497,-3.00E-04,0.000394918,0.000119139,0.000119785,5.91E-05,0,6.21E-05,0,6.30E-05,0,0.000262274,0,0,7.02E-05,0,0,6.18E-05,0,0.000195952,0,0,0.000324074,0.000351205,0.000527562,0.000844099,0.000740094,0.00068583,0.00029242
