MouseID,Treatmentgroup,Heart.Weight..Body.Weight,Liver.Weight..Body.Weight,Ejection.Fraction,PR.Interval..s.,QTc..s.,P.Amplitude..V.,CD3.CD8.IFNg.,X268.105_0.35,X269.088_0.35,X105.07_2.767,X111.044_2.768,X132.102_0.307,X137.046_0.35,X142.035_0.315,X150.059_0.3,X200.165_3.207,X214.181_2.634,X226.181_2.61,X236.163_2.635,X242.212_2.78,X242.586_2.766,X249.112_2.768,X256.227_2.847,X267.123_2.767,X277.216_3.018,X278.186_2.23,X278.248_3.1,X280.264_3.159,X281.102_2.768,X285.133_2.768,X295.227_3.017,X298.2_2.676,X300.199_2.264,X303.648_2.884,X306.279_2.989,X306.279_3.212,X308.295_3.045,X324.29_3.082,X327.232_3.01,X348.288_3.044,X369.17_2.767,X387.181_2.767,X404.207_2.768,X406.154_2.765,X409.162_2.768,X415.14_2.768,X430.223_2.768,X446.218_2.884,X475.989_2.164,X476.24_2.164,X486.098_2.765,X489.228_2.768,X502.294_2.879,X506.255_3.172,X511.21_3.171,X522.357_2.957,X528.311_2.928,X544.34_2.89,X568.341_2.887,X570.357_2.934,X590.322_2.887,X599.241_2.765,X604.362_2.948,X608.227_2.768,X637.306_3.32,X654.332_3.32,X790.38_2.768,X792.329_2.764,X795.335_2.768,X801.313_2.768,X801.815_2.767
551,Group1C,0.006666667,0.053333333,53.4892915,0.03422,0.04681,0.1194,0.0056,0.000812,0.002961682,0.003818573,0,0.002811934,0.013810091,0.001297816,0.000321315,0.003793615,0.00211311,0.002928405,0.000240397,0.000550428,0.000203597,0,0.001647228,0.002953363,0,0.000273511,0.003460842,0.004883448,0.000298375,0.001547396,0.000587205,0.000609806,0.000956723,6.98E-05,0.000118631,0.000418751,0.004891767,0.000298225,0.000495671,0.000197372,0.000631955,0.06281096,0.02695464,0.000479474,0.020215977,0.000287883,0,8.09E-05,8.97E-05,9.70E-05,0,0.001148068,0.000940085,0.000249355,0.000240956,0.001322774,0.000183986,0.00173874,0.009068072,0.000545083,7.93E-05,0.000116159,8.74E-05,0,0.006821852,0.001023278,0.001472522,0,0.001339412,0,0
552,Group1C,0.007058824,0.053333333,54.5301705,0.03673,0.04267,0.1812,0.003,0.001277321,0.004100409,0.002475401,0,0.003662583,0.016418476,0.001439774,0.000365253,0.00344367,0.001919699,0.003106881,0.000238083,0.000327783,0.000158909,0,0.001515552,0.002315426,0.000177058,0.000243578,0.003729941,0.005430727,0.000262663,0.001229281,0.001204022,0.000263727,0.000790565,0.000230053,0.00011284,0.000360831,0.004336162,0.000180727,0.000884072,8.69E-05,0.000381113,0.04908704,0.02180711,0.000353635,0.016755266,8.87E-05,0,0,0.000322368,0.000343433,0,0.000671504,0.00157449,8.60E-05,0.000102993,0.002778511,0.000476522,0.003814138,0.016334279,0.000968269,0.000436812,7.63E-05,0.000226944,0,0.00502658,0.000829361,0.00093459,0,0.000850393,0,0
553,Group1C,0.007258065,0.055241935,59.077865,0.02874,0.04356,0.05771,0.0077,0.001256864,0.002843407,0.003402367,0,0.002786701,0.013285435,0.001458157,0.000349907,0.004690406,0.002000916,0.002454565,0.000243571,0.000323343,0.000101977,0,0.001490561,0.003102635,0,8.77E-05,0.002908214,0.003993731,0.000272876,0.001563469,0.000397241,0.000451695,0.000483193,0.000159963,9.46E-05,0.000337118,0.004090942,0.00020867,0.00034763,0.000179261,0.00072526,0.05978446,0.02519372,0.000408597,0.019685126,0.000153297,0,9.48E-05,7.28E-05,6.95E-05,0,0.000773372,0.0007562,0.00031173,0.000276203,0.001263736,7.76E-05,0.00139335,0.007379897,0.000505311,9.24E-05,0.000114193,8.97E-05,0,0.004342069,0.000858693,0.001506763,0,0.001450057,0,0
554,Group1C,0.006726457,0.051569507,51.9179445,0.03835,0.04182,0.09241,0.0143,0.000735993,0.002583431,0.004114025,0,0.003813214,0.018490993,0.001397884,0.000313002,0.004467919,0.002167604,0.004361751,0.000305293,0.00056725,0.000295819,0,0.001831405,0.003830909,0.000168303,0.000181342,0.003308915,0.004441377,0.000515208,0.002362246,0.0010086,0.00050983,0.000859439,0.00019792,0.000107112,0.0003726,0.004290972,0.000377421,0.000546084,9.18E-05,0.000946668,0.08139576,0.0345932,0.000884737,0.029727147,0.000268905,0,0.000107742,0.000111478,0.000109507,0,0.002194147,0.001159005,0.000262218,0.000295032,0.001734084,9.54E-05,0.002052589,0.010351417,0.000563388,0.000311752,0.000363889,0.000206688,8.40E-05,0.005600382,0.000728577,0.002087978,0,0.002167604,0,0
555,Group1C,0.005860806,0.054578755,64.9008225,0.03762,0.04483,0.1079,0.0054,0.000555017,0.002540498,0.005306969,5.20E-05,0.006669662,0.020337675,0.001711926,0.000552227,0.004259271,0.00187627,0.002807558,0.000216554,0.00051879,0.000340506,5.84E-05,0.001499647,0.004731762,7.59E-05,0,0.002739081,0.004094926,0.000766943,0.002697995,0.000951831,0.000456502,0.000298985,0.000150071,0.00015595,0.00030665,0.003779932,0.000286344,0.000382575,0,0.001417474,0.09723737,0.0372515,0.001129871,0.030472275,0.000760095,0,0.000194903,0.000306576,0.000297621,0,0.003704607,0.001075089,0.000134229,9.71E-05,0.001588667,9.78E-05,0.001944747,0.007737903,0.000531284,0.000204781,0.000626127,0.000191124,0.00025415,0.004622199,0.000628993,0.002663756,7.62E-05,0.002636365,6.96E-05,7.63E-05
581,Group3E,0.005726872,0.057268722,55.495585,0.03765,0.05897,0.199,2.00E-04,0,0.00150552,0.007100064,7.92E-05,0.002079901,0.006139467,0.000868714,0.000159663,0.003950977,0.001921194,0.002322139,0.000109152,0.000410658,0,9.28E-05,0.001678956,0.006339939,0,0,0.003366266,0.004627571,0.000771117,0.003884153,0.000458041,0.000368269,0.000565703,0,0.000110643,0.000324605,0.004243332,0.000201416,0,0.000108912,0.001829311,0.11944813,0.04677689,0.00105248,0.037003862,0.000429913,6.85E-05,0.000169842,0,0,0.000323232,0.004076272,0.000902126,0.000153531,0.000158155,0.001394954,0,0.001085892,0.004828043,0.000179799,0,0.000549076,7.43E-05,0.000114126,0.005053575,0.000877067,0.003842388,0.000143268,0.003215911,0,7.95E-05
582,Group3E,0.006511628,0.058604651,63.235549,0.0416,0.04984,0.08845,0,0,0.001419892,0.005603172,4.58E-05,0.00241358,0.005529848,0.000989873,0.000266343,0.004374996,0.001362603,0,0.000197674,0.000230387,0,0.000143073,0.001154852,0.004918815,4.75E-05,0,0.002804641,0.003458446,0.000812674,0.002657993,0.00059502,0.000319753,0.000222424,5.81E-05,0.000133997,0.000309127,0.003427895,0.000222903,9.74E-05,6.12E-05,0.001380934,0.10631973,0.05071573,0.001167073,0.029390683,0.000647695,5.71E-05,0.000346211,0,0,0.000601643,0.004093921,0.000471096,0.000324252,0.000240138,0.000947101,0,0.000947101,0.004906594,0.000251844,5.47E-05,0.000641585,0.000127181,0.00038162,0.003935052,0.000708798,0.004045038,0.000233983,0.002578559,0.000198523,0
583,Group3E,0.004705882,0.056862745,68.7612665,0.0378,0.04145,0.1093,0.0015,0,0.00092083,0.00507746,4.26E-05,0.001384762,0.004207342,0.000817063,9.51E-05,0.003586586,0.00114601,0,0.000139138,0.000333047,0.00031418,6.89E-05,0.001029287,0.004504455,4.27E-05,0,0.002318548,0.00295522,0.000774618,0.002551994,0.000433328,0.00039815,6.36E-05,0.000114943,0.000111965,0.000274699,0.002949914,0.000174281,0.000154282,0.000108542,0.001400679,0.09125634,0.03629031,0.001050509,0.027270791,0.000610144,0,0.000229948,0,0,0.000489038,0.003952673,0.000414359,9.81E-05,6.75E-05,0.000949703,4.38E-05,0.000933786,0.00463179,0.000229761,0,0.000520938,0.000117403,0.000203201,0.003347834,0.00035775,0.003252334,8.25E-05,0.00242466,7.20E-05,0
584,Group3E,0.006666667,0.060740741,76.9397435,0.03726,0.05197,0.1125,0.0059,0,0.001621117,0.007398907,0.000139908,0.002569065,0.006357579,0.001034477,0.000126602,0.003726857,0.001479781,0.002432048,0.000199736,0.000251161,0.000326406,9.51E-05,0.001404422,0.006426088,0,0,0.002870502,0.003809067,0.000883758,0.003445972,0.000625612,0.000477131,0.000102173,5.92E-05,8.71E-05,0.000312062,0.003802216,0.000257741,0.000296283,6.56E-05,0.001616798,0.12057478,0.04548958,0.001178344,0.040693989,0.000542501,0.00013608,0.000109778,0,0,0,0.005192937,0.000938565,7.51E-05,8.85E-05,0.00130166,7.06E-05,0.001178344,0.006775481,0.000225263,0.000143078,0.00073304,9.82E-05,0.000178271,0.004035145,0.000423023,0.003411718,0.00014005,0.003254149,6.49E-05,8.30E-05
585,Group3E,0.0076,0.062,85.5267555,0.03709,0.04213,0.1389,0.003,0,0.000942302,0.00446821,5.36E-05,0.00256087,0.004182593,0.000861692,0.000294932,0.003834044,0.001065012,0,0.000124423,0.000299438,0.000241372,0.000117786,0.000924624,0.003974432,0,0,0.002192957,0.002875533,0.000643848,0.002236526,0.000561552,0.000271002,0,8.89E-05,4.84E-05,0.000257371,0.002928784,0.000202879,0.000278592,0,0.001224764,0.08278049,0.03703338,0.000861692,0.022994582,0.00055187,8.11E-05,0.000138384,0,4.10E-05,0.000474351,0.003674292,0.000508301,0.000159662,6.63E-05,0.001321583,5.38E-05,0.001176354,0.006293254,0.0003304,9.84E-05,0.000458333,0.000133779,0.000214049,0.0032144,0.000468142,0.003083694,0.000145859,0.001960591,5.77E-05,6.53E-05
611,Group9,0.006382979,0.06,47.4829395,0.03816,0.04239,0.133,3.00E-04,0,0.001179826,0.006959647,6.36E-05,0.00326772,0.007821318,0.001259365,0.000116736,0.004381263,0.001544379,0,0.000160897,0.000495378,0.000271188,9.43E-05,0.001458212,0.006011809,7.41E-05,0,0.003082129,0.004314981,0.000828529,0.002916423,0.000802016,0.000381686,0.000158311,6.64E-05,0.000157355,0.000438229,0.004010082,0.000256199,0.000380218,0.000123012,0.001604033,0.11400565,0.04361379,0.001113544,0.029164235,0.000974351,0.000122073,0.000198782,0,0.000115664,0.000802016,0.004931407,0.000682708,0.000227099,0.000237259,0.001345532,7.84E-05,0.001206339,0.007423623,0.000374645,5.33E-05,0.000624359,0.0001962,0.000457676,0.005302588,0.000517022,0.003188181,0.000119546,0.002034868,0.00011456,0.000208844
612,Group9,0.007296137,0.056652361,62.1780775,0.038,0.04372,0.1077,-0.0053,0,0.000709912,0.004818604,6.02E-05,0.001639707,0.005051053,0.000961208,0,0.005120159,0.001608295,0,0.000227966,0.000385416,0,0.000144803,0.001507777,0.004403965,0,0,0.002839647,0.003700336,0.000741324,0.002757975,0.000273892,0.000473116,9.26E-05,0,0.000155282,0.000305789,0.003587253,0.000159435,0.000254827,0.000151025,0.001300458,0.09235134,0.03493016,0.001017749,0.032417204,0.000350715,9.07E-05,0.000211166,0,0,0,0.003882526,0.000498119,0.000209589,0.000213757,0.000545527,0,0.000567299,0.004554743,0.000135141,0,0.00058017,6.60E-05,0.000167792,0.003543276,0.000411938,0.002381031,0.000200841,0.002651174,4.70E-05,0
613,Group9,0.005217391,0.056956522,60.4921355,0.03235,0.05015,0.06655,0.003,0,0.000709683,0.004604944,5.21E-05,0.002317279,0.004057089,0.000918027,5.38E-05,0.003990458,0.001687986,0.002546786,0.000164053,0.000279668,0.000167321,0,0.001465882,0.004034878,0,8.09E-05,0.003087237,0.003760951,0,0.002250648,0.000407603,0.000391993,0.000331069,5.86E-05,9.28E-05,0.000339207,0.003879406,0.00016363,0.000293966,7.48E-05,0.000895817,0.07699584,0.03198289,0.000637529,0.022062271,0.000457849,5.66E-05,8.95E-05,0,0,0.000412182,0.001850862,0.000947641,0.000207226,0.00010842,0.001273393,0.000190641,0.001391848,0.007699584,0.00052713,6.01E-05,0.000182665,8.89E-05,9.51E-05,0.004471682,0.000588578,0.00176202,5.96E-05,0.001369638,0,0
614,Group9,0.005220884,0.058634538,76.122708,0.04185,0.04998,0.09401,0.0013,0,0.0001251,0.003367176,0,0.00286315,0.003283172,0.001316069,0.0003464,0.00363319,0.001736091,0.003290172,0.000221007,0.0002824,0.000197395,0,0.001225064,0.002996157,0,0.000198664,0.002639138,0.003031159,0,0.001673088,0.000270238,0.000146397,0.000662254,6.35E-05,6.91E-05,0.00030205,0.003549186,0.000310027,5.86E-05,8.94E-05,0.000749039,0.06090319,0.02387125,0.000670739,0.019111001,0.000414534,0,8.98E-05,0,0,0.000374091,0.001463077,0.001463077,0.00026422,0.000114128,0.001218064,6.58E-05,0.001673088,0.006965365,0.000372989,5.65E-05,0.000257827,6.58E-05,0,0.002989157,0.000599562,0.001603084,0,0.001358071,0,0
615,Group9,0.005217391,0.056956522,55.533844,0.03867,0.04432,0.14,0.007,0.000984706,0.002768081,0.003983692,0,0.003784009,0.012879607,0.001427739,0.000198025,0.003983692,0.002336301,0.003344704,0.000294105,0.000258877,0.000226118,0,0.001707297,0.003564356,7.70E-05,0,0.003584325,0.005141859,0.000363586,0.001797154,0.000734905,0.000501091,0.000602083,8.23E-05,0.000112986,0.000252007,0.004582744,0.000246658,0.000326165,0,0.000844392,0.07358349,0.03304767,0.000588833,0.020168067,0.000418904,0,0.000221467,0,0,0.000259753,0.001387803,0.001068308,0.000113598,0,0.00135785,0.000100827,0.001707297,0.008965804,0.000452491,0,0.000133421,0.000241908,0,0.006280056,0.00081719,0.001946917,0,0.001367834,0,0
631,Group15,0.00720339,0.053813559,58.692064,0.04255,0.04088,0.09783,-0.0012,4.89E-05,0.00038451,0.007910897,0.000134717,0.00121759,0.003831626,0.000866759,0,0.003955448,0.001307018,0,0.000154279,0.000165886,0.000472336,0.000232359,0.001203832,0.006947831,0,0,0.002675947,0.00337073,0.001251985,0.004216852,0.000156056,0.000233975,0,0,6.28E-05,0.000295493,0.003102447,0.000143274,0,6.40E-05,0.002311358,0.14583566,0.05489474,0.001492752,0.044851345,0.001100646,6.92E-05,0.00023002,0,0,0.000412669,0.008323639,0.00025715,8.28E-05,0.000100067,0.000500642,0,0.000429615,0.003350093,6.30E-05,0,0.000942429,6.75E-05,0.000470445,0.00351519,0.000445288,0.004636473,0.000329615,0.003914174,0.000280657,0.000277322
