MouseID,Treatment_group,X440.337_2.765,X442.353_2.823,X105.07_2.767,X119.049_2.765,X128.018_0.344,X136.062_0.301,X136.097_0.551,X137.046_0.35,X137.046_0.42,X203.007_0.309,X249.112_2.768,X251.037_0.323,X256.264_3.225,X258.207_2.775,X267.123_2.767,X285.133_2.768,X291.146_2.39,X296.258_2.976,X301.115_0.328,X301.115_0.413,X324.327_3.455,X351.217_2.741,X352.306_2.997,X369.17_2.767,X380.993_2.164,X386.717_2.856,X387.193_2.842,X396.332_2.991,X397.22_2.071,X400.97_2.127,X416.337_2.79,X420.899_2.103,X426.484_2.164,X430.223_2.769,X440.359_2.985,X458.23_2.165,X466.25_2.226,X475.989_2.164,X476.24_2.164,X484.385_2.982,X489.228_2.768,X494.325_2.865,X570.357_2.934,X580.362_2.984,X599.241_2.765,X604.362_2.948,X620.356_2.913,X682.363_3.329,X682.364_3.313,X764.524_3.729,X790.38_2.768,X792.329_2.764,X795.335_2.768,X811.309_2.773
633,BNZ,0.000142754,0.000129207,0.00398613,0,5.22E-05,0.000475764,0.000206789,0.009868887,0.014401504,0.000253538,8.77E-05,0.000401828,0.000912952,0.00106404,0.003050676,0.001620169,0.000655783,0,0.000306893,0.000283549,0,8.14E-05,3.83E-05,0.000916167,0,8.95E-05,0,5.38E-05,0,0,0.000209134,5.91E-05,0,0.000174929,8.72E-05,0,2.97E-05,0.000298379,0.0003158,4.28E-05,0.002391678,0,0.001269775,0.008872355,0.000304929,0.000739363,0.000427545,0,7.49E-05,0,0.00258777,9.78E-05,0.001202268,0.000195685
634,BNZ,0.000171873,0.000366918,0.004361477,0.000155738,0.000133498,0.000139805,0.000380764,0.013049817,0.007303744,0,9.49E-05,0,0.000356533,0.001806898,0.003703794,0.001959203,0.000322369,0,0.000185565,0,8.82E-05,3.21E-05,2.65E-05,0.00113883,0,0,9.48E-05,6.48E-05,0,0,0.000274104,4.56E-05,0,0.00014616,6.35E-05,0,3.53E-05,0.000322937,0.000339101,5.91E-05,0.002260353,0.00039461,0.001259982,0.007822967,0.000294998,0.000799604,0.000253196,0,0.000206465,0.00048807,0.002506119,4.59E-05,0.001502287,0.000176801
635,BNZ,0,0,0.004631478,0.000154865,0.000220112,0.000168725,0.000290793,0.012449184,0.008871832,0,3.82E-05,0,0,0.002198879,0.003973245,0.002022396,3.93E-05,0,7.29E-05,0,0.000115726,0,0,0.001139983,0,0,0.000107359,3.67E-05,0,0,4.57E-05,0,0,0.000179282,0,0,0,0.000212217,0.000219365,0,0.002485067,0.000253255,0.001306926,0.009587302,0.000403666,0.000701161,0.000185232,0,0.000299202,0.000329089,0.002537535,0,0.001612193,0.000269307
666,infected,0.000271537,0.000309458,0.004555668,0.000178565,0.00010229,0.000310544,0.000112133,0.007369463,0.005527097,0,0.000104473,0,0,0.001356651,0.004019707,0.002240987,0,0,0.000107652,0,0.000209409,3.60E-05,6.31E-05,0.001356651,0,0,0,8.81E-05,0,0,0.00028459,0,0,0.00019086,0.000122539,0,0,0,6.12E-05,8.00E-05,0.004220692,0.000428769,0.001587784,0.007771433,0.000455567,0.000502463,0.000197796,0,0.000178798,0.000924533,0.003279411,0.000152498,0.001828967,0.000193993
667,infected,0.00012385,0.000167287,0.006985148,0.000275656,0.000245395,0,0,0.008119101,0.00621406,0,0.000260245,0,0,0.002009364,0.006032628,0.003311142,0,0,0,0,0.000517082,0,0.000114559,0.001995757,0,0,0.000155237,0.000220149,0,0,0.000321694,0,0,0.000342642,0.000161575,0,0,0,0,0.000180847,0.007484087,0.000313867,0.001451459,0.009434486,0.000816446,0.000458117,8.78E-05,0,0.000187402,0.000300403,0.004299948,0.000336044,0.002893847,0.000239338
668,infected,0.000336392,0.000354897,0.005428003,0.000203074,0.000131773,0.000494135,0.000112648,0.009246323,0.007112556,0,0.00019079,0,0,0.001987772,0.004304968,0.002504368,0,0,0.000188779,0,0.000286286,0,6.40E-05,0.001355129,0,0,0,0.000124624,0,0,0.000550287,3.06E-05,0,0.000214077,0.00013963,0,0,0.000153663,9.32E-05,0.000116258,0.005128527,0.000294362,0.000887198,0.012989773,0.000587722,0.00064013,0.000102297,0,0.000147922,0.000228459,0.003634891,0.000158965,0.001946594,0.000198602
669,infected,0.000180881,0.000185827,0.006490479,0.000272717,6.36E-05,0.000453109,0.000165676,0.010572542,0.006408838,0,0.000194342,0,0,0.001510363,0.005469964,0.002877854,3.90E-05,0,0.000116359,0,0.000362909,0,9.36E-05,0.001849174,0,0,0,0.000202796,0,0,0.000276322,0,0,0.00023928,0.000216716,0,0,0.000161173,0.000178837,0.000139263,0.005510784,0.000303091,0.001016434,0.009429564,0.00065313,0.000644966,0.000177403,0,0.000116276,0.000165672,0.003645282,0.000184832,0.002490058,0.000278129
670,infected,0.000467229,0.000512812,0.005356038,0.00022827,0.000143746,0.000220123,0.000199201,0.009078675,0.004216456,0,0.000139321,0,0,0.001154777,0.004292428,0.002370332,7.98E-05,0,0.000102266,0,0.000226198,0,4.13E-05,0.001451069,0,0,0,9.31E-05,0,0,0.000433041,0,0,0.000240513,9.52E-05,0,0,4.96E-05,4.52E-05,8.61E-05,0.004216456,0.000357045,0.001226951,0.010256244,0.000448236,0.000744527,0.000275672,0,7.13E-05,0.000539402,0.002955318,0.000126904,0.001903103,0.000202461
696,combo,0.000241014,0.000362168,0.006112067,0.000179692,7.15E-05,0.001003474,0,0.012041684,0.006340129,0,0.000128355,0.000606645,0,0.002549735,0.005199818,0.002814287,0,0,0.00016979,0,0.000189026,0,4.21E-05,0.001756079,0,0,0,9.98E-05,0,0,0.00042166,0,0,0.000209241,0.000154004,0,0,0.000185802,0.000172815,0.000100092,0.005701555,0.000246121,0.000743483,0.012360971,0.000538227,0.000675064,0.000100217,0,0.000175547,0,0.003352514,0.000191569,0.002490439,0.00018853
697,combo,0.000179096,0.000141925,0.004958712,0.000146298,6.84E-05,0.00039812,0.000367864,0.00958124,0.004706574,0,3.98E-05,0,0,0.002273443,0.004147669,0.00230286,0,0,3.62E-05,0,0.000163451,0,3.28E-05,0.001306915,0,0,0.000101717,4.58E-05,0,0,0.000262357,0,0,0.000197184,9.23E-05,0,0,0.000174894,0.000174736,4.05E-05,0.002601223,0.000349745,0.002155779,0.010085516,0.000327831,0.00062194,7.60E-05,0,0.000225882,0.000176739,0.003042464,5.04E-05,0.001870023,0.000186748
