filename,LA
X102.092_0.611,group9_group15
X114.092_1.761,group9_group15
X280.263_3.169,group9_group15
X368.389_3.90,group9_group15
X385.165_2.771,group9_group15
X387.192_2.843,group9_group15
X430.223_2.769,group9_group15
X679.068_2.179,group9_group15
