filename,adjuvant_VS_MASPpepK,MASPpepK_VS_NGP24h,NGP24h_VS_MASPpepK + NGP24h,adjuvant_VS_NGP24h,MASPpepK_VS_MASPpepK + NGP24h,adjuvant_VS_MASPpepK + NGP24h
aq_pos_mass_102.092_0.352_5568,0.6876227792115092,0.0592009297805028,0.21314547016694085,0.010253921182571684,0.25488855203843164,0.32237665407895655
aq_pos_mass_104.107_0.312_2044,0.2699614194997886,0.0071267102844447625,0.12285444338664299,1.071113843689899e-05,0.16986082052303642,0.003931184783392878
aq_pos_mass_1066.333_4.132_2102,0.03823979566169538,0.003766763000078115,2.6330850004496673e-05,4.258258549382776e-05,0.010986469552605896,0.9745341584953889
aq_pos_mass_1088.315_4.136_2126,0.06802529185208153,1.071113843689899e-05,1.039105907592632e-06,4.6188471508331655e-07,0.16333796807724754,0.4125956449189422
aq_pos_mass_109.101_4.116_4615,0.011539988490258973,1.0,0.16333796807724754,0.008563492804623466,0.15700576611852554,0.28250397161801766
aq_pos_mass_109.101_4.237_5448,0.009660047071220692,0.749268076764465,0.11286065749608003,0.0004740065307879381,0.25488855203843164,0.14490207256892992
aq_pos_mass_109.101_4.451_4576,0.03283181089903758,0.2611101618127958,0.13352644740886185,0.00032051420585046416,0.7415043087592827,0.06258566157626287
aq_pos_mass_110.035_0.425_2202,0.8125590397647926,9.32853149583386e-05,6.032231752825715e-05,7.858874835056908e-05,0.5301338579431278,0.8397811470865129
aq_pos_mass_1149.487_4.087_5388,0.025271161776870603,0.7336876455731964,0.8066606559445169,0.006698271306476066,0.9237061355849945,0.015716194055695337
aq_pos_mass_1181.544_4.181_2469,0.00018222252425981428,0.0015502078583888577,0.02215197186250734,7.084733302901501e-07,0.693798003649465,0.003673552991225149
aq_pos_mass_1241.631_3.403_2325,0.0513483325632606,0.011539988490258973,0.16986082052303642,0.00018222252425981428,0.25488855203843164,0.010335128997763093
aq_pos_mass_1241.879_3.403_2335,0.07448869557973885,0.012235179952196243,0.221072490664723,0.0002145588959565848,0.18348917031903877,0.007566680427898679
aq_pos_mass_125.015_3.494_2075,0.028092445265394367,0.4641699943597949,0.5301338579431278,0.010880076944579528,0.9915101046715017,0.07213273916105309
aq_pos_mass_126.022_0.366_279,0.06802529185208153,0.04661336118033611,0.9745341584953889,3.254868128014749e-05,0.03606274988369152,0.00042818477065067356
aq_pos_mass_126.103_0.269_3738,0.07119688927525167,0.2882755904247021,0.0990842385956441,0.010880076944579528,0.5441693209533585,0.16333796807724754
aq_pos_mass_133.065_3.695_779,3.087930666324874e-08,9.32485400964649e-09,5.1655924194398475e-09,3.0636642336731697e-09,0.5727830892082293,1.745442874138241e-07
aq_pos_mass_135.044_3.506_6648,0.015401014690545304,0.6279871929800329,0.15700576611852554,0.002354817567869459,0.3657515014317637,0.13912475468441005
aq_pos_mass_136.048_0.308_334,0.0592009297805028,0.005548356179065037,0.5583871155473787,0.00012027488337972093,0.027621100544799167,0.0002624830119129471
aq_pos_mass_137.046_0.422_87,0.8770993047821505,7.208919288681029e-05,7.890488152915383e-05,6.610039056561501e-05,0.32237665407895655,0.5026254477381114
aq_pos_mass_137.06_3.551_5471,0.006698271306476066,0.4641699943597949,0.3657515014317637,0.0010060313623902943,0.6781510107917366,0.05150485211063124
aq_pos_mass_139.112_3.937_2812,1.810969326366871e-06,0.3273658351959313,0.015716194055695337,0.0003752711253509224,0.0009354300474509583,0.25488855203843164
aq_pos_mass_140.068_0.303_459,0.003766763000078115,0.2357684427087915,0.07213273916105309,0.000643575328832956,0.22920864740434965,0.17657702124569574
aq_pos_mass_146.117_0.326_2055,0.0010822814831204174,0.718216129533986,0.33289241602703057,0.003766763000078115,0.46282151671134464,0.04431557593200846
aq_pos_mass_149.132_4.233_5453,0.01723902055859097,0.5567604652232558,0.10810994430993735,0.00023267851145308097,0.4248397357489112,0.12810406034044802
