DPI,DPI_50,DPI_75,DPI_142,sum
X394.338_3.998,0.00E+00,0.00E+00,0.0000193,0.0000193
X648.315_2.507,0.00E+00,1.95E-05,0,0.0000195
X405.226_2.747,0.00E+00,1.96E-05,0,0.0000196
X300.253_3.1,1.96E-05,0.00E+00,0,0.0000196
X207.102_2.547,0.00E+00,1.96E-05,0,0.0000196
X922.674_2.39,0.00E+00,0.00E+00,0.0000197,0.0000197
X466.352_2.807,0.00E+00,1.99E-05,0,0.0000199
X263.128_2.527,0.00E+00,1.99E-05,0,0.0000199
X328.137_0.326,0.00E+00,2.01E-05,0,0.0000201
X423.276_2.373,0.00E+00,0.00E+00,0.0000202,0.0000202
X295.648_2.934,2.02E-05,0.00E+00,0,0.0000202
X830.169_2.454,0.00E+00,2.02E-05,0,0.0000202
X447.721_2.216,0.00E+00,2.03E-05,0,0.0000203
X488.242_2.487,0.00E+00,0.00E+00,0.0000203,0.0000203
X648.316_2.495,0.00E+00,2.03E-05,0,0.0000203
X806.571_4.175,2.05E-05,0.00E+00,0,0.0000205
X426.194_2.628,2.08E-05,0.00E+00,0,0.0000208
X363.164_2.619,0.00E+00,2.10E-05,0,0.000021
X722.47_3.124,1.32E-05,7.99E-06,0,0.00002119
X258.818_0.339,0.00E+00,0.00E+00,0.0000212,0.0000212
X234.993_2.429,2.17E-05,0.00E+00,0,0.0000217
X266.095_2.66,0.00E+00,0.00E+00,0.0000218,0.0000218
X628.383_2.98,2.19E-05,0.00E+00,0,0.0000219
X1091.702_3.029,2.19E-05,0.00E+00,0,0.0000219
X731.39_2.873,0.00E+00,0.00E+00,0.0000219,0.0000219
X419.207_2.566,0.00E+00,2.20E-05,0,0.000022
X532.489_2.312,2.21E-05,0.00E+00,0,0.0000221
X353.117_2.45,0.00E+00,2.26E-05,0,0.0000226
X342.336_3.415,0.00E+00,0.00E+00,0.0000226,0.0000226
X436.4_3.285,0.00E+00,2.27E-05,0,0.0000227
X560.294_2.151,0.00E+00,2.28E-05,0,0.0000228
X778.284_2.453,0.00E+00,2.31E-05,0,0.0000231
X477.211_2.513,0.00E+00,2.31E-05,0,0.0000231
X296.212_2.614,0.00E+00,2.33E-05,0,0.0000233
X344.316_2.827,2.34E-05,0.00E+00,0,0.0000234
X414.78_5.653,2.35E-05,0.00E+00,0,0.0000235
X302.209_2.269,0.00E+00,2.35E-05,0,0.0000235
X276.02_2.431,2.36E-05,0.00E+00,0,0.0000236
X468.369_2.809,0.00E+00,2.37E-05,0,0.0000237
X143.118_0.441,0.00E+00,2.38E-05,0,0.0000238
X127.087_0.448,0.00E+00,2.39E-05,0,0.0000239
X728.405_3.431,2.39E-05,0.00E+00,0,0.0000239
X131.975_1.273,0.00E+00,0.00E+00,0.000024,0.000024
X262.988_2.432,2.40E-05,0.00E+00,0,0.000024
X217.108_2.231,0.00E+00,0.00E+00,0.000024,0.000024
X318.28_2.613,0.00E+00,2.44E-05,0,0.0000244
X409.211_2.232,0.00E+00,2.44E-05,0,0.0000244
X544.305_2.706,1.44E-05,1.04E-05,0,0.0000248
X289.18_2.863,0.00E+00,2.51E-05,0,0.0000251
X741.069_2.572,0.00E+00,2.51E-05,0,0.0000251
