filename,X137.046_0.35,X482.361_2.958
LA_50DPI,0.06678932550000001,0.38798955150000003
LA_75DPI,0.321030403,0.38798955150000003
LA_142DPI,0.06678932550000001,0.646058266
RA_50DPI,0.461848066,1.0
RA_75DPI,0.08330053800000001,1.0
RA_142DPI,0.08330053800000001,1.0
LVT_50DPI,0.009560259000000002,1.0
LVT_75DPI,0.079114221,1.0
LVT_142DPI,0.605896046,1.0
LVB_50DPI,0.002628971,0.943534845
LVB_75DPI,0.0023089275000000003,0.018449811000000003
LVB_142DPI,0.0023089275000000003,0.943534845
RVT_50DPI,0.019014760500000002,0.392602256
RVT_75DPI,0.349431239,0.057645171
RVT_142DPI,5.580000000000001e-05,0.118060935
RVB_50DPI,0.0020739435,
RVB_75DPI,0.125393857,
RVB_142DPI,0.00016920000000000002,
