filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML,523,Group1A,naive,DPI_50,RV_top,A8,P137,0.000072
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,524,Group1A,naive,DPI_50,LA,A9,P121,0.001817576
X524_Group1A_50dpi_LV_bottom_259_B_A9_P133.mzXML,524,Group1A,naive,DPI_50,LV_bottom,A9,P133,0.000641218
X524_Group1A_50dpi_LV_top_259_B_A9_P129.mzXML,524,Group1A,naive,DPI_50,LV_top,A9,P129,0.000341689
X524_Group1A_50dpi_RA_259_B_A9_P125.mzXML,524,Group1A,naive,DPI_50,RA,A9,P125,0.000437603
X524_Group1A_50dpi_RV_bottom_259_B_A9_P141.mzXML,524,Group1A,naive,DPI_50,RV_bottom,A9,P141,0.000316815
X524_Group1A_50dpi_RV_top_259_B_A9_P137.mzXML,524,Group1A,naive,DPI_50,RV_top,A9,P137,0.010487334
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,525,Group1A,naive,DPI_50,LA,A10,P121,0.0008903
X525_Group1A_50dpi_LV_bottom_260_B_A10_P133.mzXML,525,Group1A,naive,DPI_50,LV_bottom,A10,P133,0.000491308
X525_Group1A_50dpi_LV_top_260_B_A10_P129.mzXML,525,Group1A,naive,DPI_50,LV_top,A10,P129,0.000410303
X525_Group1A_50dpi_RA_260_B_A10_P125.mzXML,525,Group1A,naive,DPI_50,RA,A10,P125,0.000565451
X525_Group1A_50dpi_RV_bottom_260_B_A10_P141.mzXML,525,Group1A,naive,DPI_50,RV_bottom,A10,P141,0.010119978
X525_Group1A_50dpi_RV_top_260_B_A10_P137.mzXML,525,Group1A,naive,DPI_50,RV_top,A10,P137,0.000652513
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,541,Group1A,naive,DPI_50,LA,A11,P121,0.006749407
X541_Group1A_50dpi_LV_bottom_261_B_A11_P133.mzXML,541,Group1A,naive,DPI_50,LV_bottom,A11,P133,0.000390869
X541_Group1A_50dpi_LV_top_261_B_A11_P129.mzXML,541,Group1A,naive,DPI_50,LV_top,A11,P129,0.004450451
X541_Group1A_50dpi_RA_261_B_A11_P125.mzXML,541,Group1A,naive,DPI_50,RA,A11,P125,0.006066992
X541_Group1A_50dpi_RV_bottom_261_B_A11_P141.mzXML,541,Group1A,naive,DPI_50,RV_bottom,A11,P141,0.006528178
X541_Group1A_50dpi_RV_top_261_B_A11_P137.mzXML,541,Group1A,naive,DPI_50,RV_top,A11,P137,0.010065618
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,542,Group1A,naive,DPI_50,LA,A12,P121,0.004383209
X542_Group1A_50dpi_LV_bottom_262_B_A12_P133.mzXML,542,Group1A,naive,DPI_50,LV_bottom,A12,P133,0.000276154
X542_Group1A_50dpi_LV_top_262_B_A12_P129.mzXML,542,Group1A,naive,DPI_50,LV_top,A12,P129,0.001370245
X542_Group1A_50dpi_RA_262_B_A12_P125.mzXML,542,Group1A,naive,DPI_50,RA,A12,P125,0.002336369
X542_Group1A_50dpi_RV_bottom_262_B_A12_P141.mzXML,542,Group1A,naive,DPI_50,RV_bottom,A12,P141,0.003018762
X542_Group1A_50dpi_RV_top_262_B_A12_P137.mzXML,542,Group1A,naive,DPI_50,RV_top,A12,P137,0.004387461
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,543,Group1A,naive,DPI_50,LA,B1,P121,0.000364128
X543_Group1A_50dpi_LV_bottom_263_B_B1_P133.mzXML,543,Group1A,naive,DPI_50,LV_bottom,B1,P133,0
X543_Group1A_50dpi_LV_top_263_B_B1_P129.mzXML,543,Group1A,naive,DPI_50,LV_top,B1,P129,0.000383255
X543_Group1A_50dpi_RA_263_B_B1_P125.mzXML,543,Group1A,naive,DPI_50,RA,B1,P125,0.001216557
X543_Group1A_50dpi_RV_bottom_263_B_B1_P141.mzXML,543,Group1A,naive,DPI_50,RV_bottom,B1,P141,0
X543_Group1A_50dpi_RV_top_263_B_B1_P137.mzXML,543,Group1A,naive,DPI_50,RV_top,B1,P137,0.0001009
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,544,Group1A,naive,DPI_50,LA,B2,P121,0.002627034
X544_Group1A_50dpi_LV_bottom_264_B_B2_P133.mzXML,544,Group1A,naive,DPI_50,LV_bottom,B2,P133,0.006749339
X544_Group1A_50dpi_LV_top_264_B_B2_P129.mzXML,544,Group1A,naive,DPI_50,LV_top,B2,P129,0.000278786
X544_Group1A_50dpi_RA_264_B_B2_P125.mzXML,544,Group1A,naive,DPI_50,RA,B2,P125,0.002835725
X544_Group1A_50dpi_RV_bottom_264_B_B2_P141.mzXML,544,Group1A,naive,DPI_50,RV_bottom,B2,P141,0.000939249
X544_Group1A_50dpi_RV_top_264_B_B2_P137.mzXML,544,Group1A,naive,DPI_50,RV_top,B2,P137,0.008186389
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,545,Group1A,naive,DPI_50,LA,B3,P121,0.001254499
X545_Group1A_50dpi_LV_bottom_265_B_B3_P133.mzXML,545,Group1A,naive,DPI_50,LV_bottom,B3,P133,0.002865334
X545_Group1A_50dpi_LV_top_265_B_B3_P129.mzXML,545,Group1A,naive,DPI_50,LV_top,B3,P129,0.000331651
X545_Group1A_50dpi_RA_265_B_B3_P125.mzXML,545,Group1A,naive,DPI_50,RA,B3,P125,0.000653965
X545_Group1A_50dpi_RV_bottom_265_B_B3_P141.mzXML,545,Group1A,naive,DPI_50,RV_bottom,B3,P141,0.000357059
X545_Group1A_50dpi_RV_top_265_B_B3_P137.mzXML,545,Group1A,naive,DPI_50,RV_top,B3,P137,0.0000566
X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML,506,Group1B,naive,DPI_75,LA,C7,P121,0.003384796
X506_Group1B_70dpi_LV_bottom_281_B_C7_P133.mzXML,506,Group1B,naive,DPI_75,LV_bottom,C7,P133,0.004283705
X506_Group1B_70dpi_LV_top_281_B_C7_P129.mzXML,506,Group1B,naive,DPI_75,LV_top,C7,P129,0.002458199
X506_Group1B_70dpi_RA_281_B_C7_P125.mzXML,506,Group1B,naive,DPI_75,RA,C7,P125,0.001278246
X506_Group1B_70dpi_RV_bottom_281_B_C7_P141.mzXML,506,Group1B,naive,DPI_75,RV_bottom,C7,P141,0.0000958
X506_Group1B_70dpi_RV_top_281_B_C7_P137.mzXML,506,Group1B,naive,DPI_75,RV_top,C7,P137,0.0001507
X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML,507,Group1B,naive,DPI_75,LA,C8,P121,0.028814327
X507_Group1B_70dpi_LV_bottom_282_B_C8_P133.mzXML,507,Group1B,naive,DPI_75,LV_bottom,C8,P133,0.006946244
X507_Group1B_70dpi_LV_top_282_B_C8_P129.mzXML,507,Group1B,naive,DPI_75,LV_top,C8,P129,0.003456875
X507_Group1B_70dpi_RA_282_B_C8_P125.mzXML,507,Group1B,naive,DPI_75,RA,C8,P125,0.005133289
X507_Group1B_70dpi_RV_bottom_282_B_C8_P141.mzXML,507,Group1B,naive,DPI_75,RV_bottom,C8,P141,0.006279905
X507_Group1B_70dpi_RV_top_282_B_C8_P137.mzXML,507,Group1B,naive,DPI_75,RV_top,C8,P137,0.005176063
X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML,508,Group1B,naive,DPI_75,LA,C9,P121,0.000526666
X508_Group1B_70dpi_LV_bottom_283_B_C9_P133.mzXML,508,Group1B,naive,DPI_75,LV_bottom,C9,P133,0.002468332
X508_Group1B_70dpi_LV_top_283_B_C9_P129.mzXML,508,Group1B,naive,DPI_75,LV_top,C9,P129,0.001681278
X508_Group1B_70dpi_RA_283_B_C9_P125.mzXML,508,Group1B,naive,DPI_75,RA,C9,P125,0.001173171
X508_Group1B_70dpi_RV_bottom_283_B_C9_P141.mzXML,508,Group1B,naive,DPI_75,RV_bottom,C9,P141,0.007807547
X508_Group1B_70dpi_RV_top_283_B_C9_P137.mzXML,508,Group1B,naive,DPI_75,RV_top,C9,P137,0.008103268
X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML,509,Group1B,naive,DPI_75,LA,C10,P121,0.005661422
X509_Group1B_70dpi_LV_bottom_284_B_C10_P133.mzXML,509,Group1B,naive,DPI_75,LV_bottom,C10,P133,0.00259528
X509_Group1B_70dpi_LV_top_284_B_C10_P129.mzXML,509,Group1B,naive,DPI_75,LV_top,C10,P129,0.002529118
X509_Group1B_70dpi_RA_284_B_C10_P125.mzXML,509,Group1B,naive,DPI_75,RA,C10,P125,0.000249737
X509_Group1B_70dpi_RV_bottom_284_B_C10_P141.mzXML,509,Group1B,naive,DPI_75,RV_bottom,C10,P141,0.0000668
X509_Group1B_70dpi_RV_top_284_B_C10_P137.mzXML,509,Group1B,naive,DPI_75,RV_top,C10,P137,0
X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML,510,Group1B,naive,DPI_75,LA,C11,P121,0.002039672
X510_Group1B_70dpi_LV_bottom_285_B_C11_P133.mzXML,510,Group1B,naive,DPI_75,LV_bottom,C11,P133,0.006775005
X510_Group1B_70dpi_LV_top_285_B_C11_P129.mzXML,510,Group1B,naive,DPI_75,LV_top,C11,P129,0.001444149
X510_Group1B_70dpi_RA_285_B_C11_P125.mzXML,510,Group1B,naive,DPI_75,RA,C11,P125,0.000638536
X510_Group1B_70dpi_RV_bottom_285_B_C11_P141.mzXML,510,Group1B,naive,DPI_75,RV_bottom,C11,P141,0.000396199
X510_Group1B_70dpi_RV_top_285_B_C11_P137.mzXML,510,Group1B,naive,DPI_75,RV_top,C11,P137,0
X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML,526,Group1B,naive,DPI_75,LA,C12,P121,0.004843484
X526_Group1B_70dpi_LV_bottom_286_B_C12_P133.mzXML,526,Group1B,naive,DPI_75,LV_bottom,C12,P133,0.000165406
X526_Group1B_70dpi_LV_top_286_B_C12_P129.mzXML,526,Group1B,naive,DPI_75,LV_top,C12,P129,0.004604158
