col_name,corr,corr_pval,FDR_rejected,FDR_pval
Heart.Weight..Body.Weight-X102.092_0.611,0.014745215083922264,0.9383569192074283,False,0.9590428426668344
Heart.Weight..Body.Weight-X114.092_1.761,-0.13096695307516046,0.4902978200638236,False,0.6240154073539573
Heart.Weight..Body.Weight-X280.263_3.169,-0.31864709289107773,0.08612502827554666,False,0.21727230808385967
Heart.Weight..Body.Weight-X368.389_3.90,0.33110815238961144,0.07389001898472163,False,0.20689205315722053
Heart.Weight..Body.Weight-X385.165_2.771,-0.05137977491403645,0.7874382299057624,False,0.9186779348900562
Heart.Weight..Body.Weight-X387.192_2.843,-0.1934052771572687,0.3058251153594467,False,0.4845598308231641
Heart.Weight..Body.Weight-X430.223_2.769,-0.016688918971250577,0.9302496281082295,False,0.9590428426668344
Heart.Weight..Body.Weight-X679.068_2.179,-0.10730743291509505,0.572477455482481,False,0.696929076239542
Liver.Weight..Body.Weight-X102.092_0.611,-0.4231396338731459,0.01981659079673045,False,0.10088446223790049
Liver.Weight..Body.Weight-X114.092_1.761,-0.4131983187141005,0.023237483242262498,False,0.10844158846389167
Liver.Weight..Body.Weight-X280.263_3.169,-0.4034717037974492,0.027039123919589445,False,0.11647622611515453
Liver.Weight..Body.Weight-X368.389_3.90,0.34160455892392966,0.06466542456203504,False,0.19500765936236303
Liver.Weight..Body.Weight-X385.165_2.771,0.5980824627783382,0.00048188036930813324,True,0.013492650340627731
Liver.Weight..Body.Weight-X387.192_2.843,-0.5494119345559104,0.001663174599339656,True,0.018627555512604147
Liver.Weight..Body.Weight-X430.223_2.769,0.3398242094311665,0.0661633129979446,False,0.19500765936236303
Liver.Weight..Body.Weight-X679.068_2.179,0.5717295685877677,0.0009650426250279215,True,0.013743002278735346
Ejection.Fraction-X102.092_0.611,-0.2575083050241127,0.16950448559593703,False,0.3164083731124158
Ejection.Fraction-X114.092_1.761,-0.020469462803268886,0.9145010743070505,False,0.9590428426668344
Ejection.Fraction-X280.263_3.169,-0.05583982202447163,0.7694609720013508,False,0.9168045623845882
Ejection.Fraction-X368.389_3.90,-0.010456062291434927,0.956267458829717,False,0.9590428426668344
Ejection.Fraction-X385.165_2.771,0.2793991189599454,0.134844568339741,False,0.26038951127674126
Ejection.Fraction-X387.192_2.843,-0.17106926826608604,0.3660700656009207,False,0.5394716756224094
Ejection.Fraction-X430.223_2.769,0.3041156840934371,0.10228067785201178,False,0.22029684460433305
Ejection.Fraction-X679.068_2.179,0.35313027795325425,0.05559796656656017,False,0.18314624280749234
PR.Interval..s.-X102.092_0.611,-0.1911908686485781,0.3115027483863198,False,0.4845598308231641
PR.Interval..s.-X114.092_1.761,-0.5246995994659548,0.002913164116146688,True,0.023305312929173504
PR.Interval..s.-X280.263_3.169,-0.3063744595663179,0.09963018100781318,False,0.22029684460433305
PR.Interval..s.-X368.389_3.90,0.10746467971716164,0.5719115558495007,False,0.696929076239542
PR.Interval..s.-X385.165_2.771,0.14965486492952082,0.4299228043833674,False,0.5732304058444898
PR.Interval..s.-X387.192_2.843,-0.24830098998301875,0.18582091973710155,False,0.3356765001702479
PR.Interval..s.-X430.223_2.769,0.018689509516028113,0.9219122075209012,False,0.9590428426668344
PR.Interval..s.-X679.068_2.179,0.5710535077347478,0.0009816430199096676,True,0.013743002278735346
QTc..s.-X102.092_0.611,-0.17381216156290527,0.3583179486673347,False,0.5394716756224094
QTc..s.-X114.092_1.761,-0.45767048898178364,0.01098947633876122,False,0.06837896388562537
QTc..s.-X280.263_3.169,-0.3125695216907675,0.09262649946157406,False,0.21727230808385967
QTc..s.-X368.389_3.90,0.3121245828698554,0.09311670346451129,False,0.21727230808385967
QTc..s.-X385.165_2.771,0.2043566697428857,0.27870688051810544,False,0.4729571305761789
QTc..s.-X387.192_2.843,-0.13493117867352464,0.4771422005021966,False,0.6213944936772793
QTc..s.-X430.223_2.769,-0.1982202447163515,0.29370519292189223,False,0.4837497295184108
QTc..s.-X679.068_2.179,0.622573893299094,0.00023890742512233383,True,0.013378815806850694
P.Amplitude..V.-X102.092_0.611,0.1538392182369353,0.41698861234232587,False,0.5732304058444898
P.Amplitude..V.-X114.092_1.761,0.3170541792897626,0.0877943130902508,False,0.21727230808385967
P.Amplitude..V.-X280.263_3.169,0.46607341490545046,0.009434800462591576,False,0.06604360323814104
P.Amplitude..V.-X368.389_3.90,-0.3721913236929922,0.042828693351263124,False,0.15989378851138233
P.Amplitude..V.-X385.165_2.771,-0.15142494217013824,0.42442468066966055,False,0.5732304058444898
P.Amplitude..V.-X387.192_2.843,0.3843778620299711,0.03597594617402594,False,0.14390378469610376
P.Amplitude..V.-X430.223_2.769,-0.03982202447163515,0.8345038040366157,False,0.9449011078779671
P.Amplitude..V.-X679.068_2.179,-0.03759040254824851,0.8436617034624707,False,0.9449011078779671
CD3.CD8.IFNg.-X102.092_0.611,0.15174990804444466,0.42341952773385616,False,0.5732304058444898
CD3.CD8.IFNg.-X114.092_1.761,0.5339417002936316,0.0023739185979778647,True,0.02215657358112674
CD3.CD8.IFNg.-X280.263_3.169,0.4243908103374162,0.01941714610136327,False,0.10088446223790049
CD3.CD8.IFNg.-X368.389_3.90,-0.3616334907175151,0.049574610733181625,False,0.1735111375661357
CD3.CD8.IFNg.-X385.165_2.771,-0.2955782959491003,0.11277915861830158,False,0.2332353157441744
CD3.CD8.IFNg.-X387.192_2.843,0.2926049888587662,0.1166176578720872,False,0.2332353157441744
CD3.CD8.IFNg.-X430.223_2.769,0.009791922210197332,0.9590428426668344,False,0.9590428426668344
