col_name,corr,corr_pval,FDR_rejected,FDR_pval
Heart.Weight..Body.Weight-X258.111_0.302,-0.06578960620424484,0.729788072517043,False,0.7662774761428952
Heart.Weight..Body.Weight-X608.393_3.098,-0.07743658402660268,0.6842084691324894,False,0.7562304132516988
Heart.Weight..Body.Weight-X616.308_2.766,0.03331321801016897,0.8612689557605205,False,0.8612689557605205
Liver.Weight..Body.Weight-X258.111_0.302,0.3216243094530444,0.08307016806533529,False,0.19383039215244902
Liver.Weight..Body.Weight-X608.393_3.098,-0.4860354115243403,0.006467527035576357,True,0.0452726892490345
Liver.Weight..Body.Weight-X616.308_2.766,0.5392321631372873,0.0021059232588775995,True,0.036836012818081396
Ejection.Fraction-X258.111_0.302,0.39933209629172084,0.028803985281091533,False,0.10081394848382037
Ejection.Fraction-X608.393_3.098,-0.13548387096774192,0.4753226725916998,False,0.5871633014368056
Ejection.Fraction-X616.308_2.766,0.42134125826838087,0.02040258396839433,False,0.10081394848382037
PR.Interval..s.-X258.111_0.302,0.17348684261398864,0.35923224478136573,False,0.4890376174360761
PR.Interval..s.-X608.393_3.098,-0.3806875093086202,0.03795062045716896,False,0.11385186137150688
PR.Interval..s.-X616.308_2.766,0.197575594977355,0.2953099487874524,False,0.44296492318117864
QTc..s.-X258.111_0.302,0.1687852578966123,0.3726000894751056,False,0.4890376174360761
QTc..s.-X608.393_3.098,-0.4100111234705228,0.024431589611026563,False,0.10081394848382037
QTc..s.-X616.308_2.766,0.24568734984030657,0.19064601485831684,False,0.3079666393865118
P.Amplitude..V.-X258.111_0.302,-0.08138258802148414,0.6690002315574239,False,0.7562304132516988
P.Amplitude..V.-X608.393_3.098,0.36774193548387096,0.04557613759427911,False,0.11963736118498267
P.Amplitude..V.-X616.308_2.766,-0.2566372038721865,0.1710031286904527,False,0.3073429288043143
CD3.CD8.IFNg.-X258.111_0.302,-0.2801387882614589,0.13377175425842902,False,0.280920683942701
CD3.CD8.IFNg.-X608.393_3.098,0.5160788092147184,0.0035081916969601327,True,0.036836012818081396
CD3.CD8.IFNg.-X616.308_2.766,-0.25398451018696605,0.17562453074532244,False,0.3073429288043143
