filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_137,mass_269
X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,501,Group1A,naive,50,RA,A1,P125,0.006664225,0.00007
X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,502,Group1A,naive,50,RA,A2,P125,0.002528584,0.000571555
X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML,503,Group1A,naive,50,RA,A3,P125,0.010854722,0.0019373
X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML,504,Group1A,naive,50,RA,A4,P125,0.005616741,0.00163698
X505_Group1A_50dpi_RA_255_B_A5_P125.mzXML,505,Group1A,naive,50,RA,A5,P125,0.006228317,0.000786566
X521_Group1A_50dpi_RA_256_B_A6_P125.mzXML,521,Group1A,naive,50,RA,A6,P125,0.007750137,0.000251848
X522_Group1A_50dpi_RA_257_B_A7_P125.mzXML,522,Group1A,naive,50,RA,A7,P125,0.003262967,0.000283122
X523_Group1A_50dpi_RA_258_B_A8_P125.mzXML,523,Group1A,naive,50,RA,A8,P125,0.004930184,0.000176342
X524_Group1A_50dpi_RA_259_B_A9_P125.mzXML,524,Group1A,naive,50,RA,A9,P125,0.009444258,0.001842499
X525_Group1A_50dpi_RA_260_B_A10_P125.mzXML,525,Group1A,naive,50,RA,A10,P125,0.003574735,0.0000439
X541_Group1A_50dpi_RA_261_B_A11_P125.mzXML,541,Group1A,naive,50,RA,A11,P125,0.00343298,0.001002802
X542_Group1A_50dpi_RA_262_B_A12_P125.mzXML,542,Group1A,naive,50,RA,A12,P125,0.009963139,0.00102213
X543_Group1A_50dpi_RA_263_B_B1_P125.mzXML,543,Group1A,naive,50,RA,B1,P125,0.011603406,0.001674883
X544_Group1A_50dpi_RA_264_B_B2_P125.mzXML,544,Group1A,naive,50,RA,B2,P125,0.013426255,0.002378216
X545_Group1A_50dpi_RA_265_B_B3_P125.mzXML,545,Group1A,naive,50,RA,B3,P125,0.006359306,0.000980209
X506_Group1B_70dpi_RA_281_B_C7_P125.mzXML,506,Group1B,naive,75,RA,C7,P125,0.003128465,0.000374964
X507_Group1B_70dpi_RA_282_B_C8_P125.mzXML,507,Group1B,naive,75,RA,C8,P125,0.006742665,0.000854613
X508_Group1B_70dpi_RA_283_B_C9_P125.mzXML,508,Group1B,naive,75,RA,C9,P125,0.006006596,0.000117983
X509_Group1B_70dpi_RA_284_B_C10_P125.mzXML,509,Group1B,naive,75,RA,C10,P125,0.002034493,0.0001363
X510_Group1B_70dpi_RA_285_B_C11_P125.mzXML,510,Group1B,naive,75,RA,C11,P125,0.002740138,0.000582075
X526_Group1B_70dpi_RA_286_B_C12_P125.mzXML,526,Group1B,naive,75,RA,C12,P125,0.004842806,0.000512952
X527_Group1B_70dpi_RA_287_B_D1_P125.mzXML,527,Group1B,naive,75,RA,D1,P125,0.009507703,0.000947329
X528_Group1B_70dpi_RA_288_B_D2_P125.mzXML,528,Group1B,naive,75,RA,D2,P125,0.004542685,0.000786273
X529_Group1B_70dpi_RA_289_B_D3_P125.mzXML,529,Group1B,naive,75,RA,D3,P125,0.008215031,0.000507069
X530_Group1B_70dpi_RA_290_B_D4_P125.mzXML,530,Group1B,naive,75,RA,D4,P125,0.003985793,0.000750236
X546_Group1B_70dpi_RA_291_B_D5_P125.mzXML,546,Group1B,naive,75,RA,D5,P125,0.005537906,0.000138536
X547_Group1B_70dpi_RA_292_B_D6_P125.mzXML,547,Group1B,naive,75,RA,D6,P125,0.005108516,0.000161287
X548_Group1B_70dpi_RA_293_B_D7_P125.mzXML,548,Group1B,naive,75,RA,D7,P125,0.006089803,0.00044872
X549_Group1B_70dpi_RA_294_B_D8_P125.mzXML,549,Group1B,naive,75,RA,D8,P125,0.010509363,0.000792309
X550_Group1B_70dpi_RA_295_B_D9_P125.mzXML,550,Group1B,naive,75,RA,D9,P125,0.005751,0.001198938
X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,511,Group1C,naive,142,RA,A1,P124,0.017388134,0.001764321
X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,512,Group1C,naive,142,RA,A2,P124,0.006245212,0.000648592
X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,513,Group1C,naive,142,RA,A3,P124,0.00731098,0.000226211
X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,514,Group1C,naive,142,RA,A4,P124,0.008845441,0.000253246
X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,515,Group1C,naive,142,RA,A5,P124,0.009564851,0.001697761
X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,531,Group1C,naive,142,RA,A6,P124,0.009178352,0.000646779
X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML,532,Group1C,naive,142,RA,A7,P124,0.010109724,0.000763509
X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML,533,Group1C,naive,142,RA,A8,P124,0.015613149,0.000895221
X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML,534,Group1C,naive,142,RA,A9,P124,0.016730538,0.001686074
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,535,Group1C,naive,142,RA,A10,P124,0.017181055,0.001573929
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,551,Group1C,naive,142,RA,A11,P124,0.014976933,0.001819892
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,552,Group1C,naive,142,RA,A12,P124,0.009756461,0.001505997
X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML,553,Group1C,naive,142,RA,B1,P124,0.012776708,0.000923867
X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML,554,Group1C,naive,142,RA,B2,P124,0.009064653,0.000751151
X555_Group1C_142dpi_RA_175_G_B3_P124.mzXML,555,Group1C,naive,142,RA,B3,P124,0.007578917,0.001615687
X561_Group3A_50dpi_RA_266_B_B4_P125.mzXML,561,Group3A,Infected,50,RA,B4,P125,0.001296523,0
X562_Group3A_50dpi_RA_267_B_B5_P125.mzXML,562,Group3A,Infected,50,RA,B5,P125,0.009201771,0.000480161
X563_Group3A_50dpi_RA_268_B_B6_P125.mzXML,563,Group3A,Infected,50,RA,B6,P125,0.001599307,0.0002731
X564_Group3A_50dpi_RA_269_B_B7_P125.mzXML,564,Group3A,Infected,50,RA,B7,P125,0.001929218,0
X565_Group3A_50dpi_RA_270_B_B8_P125.mzXML,565,Group3A,Infected,50,RA,B8,P125,0.000848987,0
X646_Group3A_50dpi_RA_271_B_B9_P125.mzXML,646,Group3A,Infected,50,RA,B9,P125,0.004546416,0.000197529
X647_Group3A_50dpi_RA_272_B_B10_P125.mzXML,647,Group3A,Infected,50,RA,B10,P125,0.009392305,0.000326121
X648_Group3A_50dpi_RA_273_B_B11_P125.mzXML,648,Group3A,Infected,50,RA,B11,P125,0.002587221,0.000267388
X649_Group3A_50dpi_RA_274_B_B12_P125.mzXML,649,Group3A,Infected,50,RA,B12,P125,0.0011895,0.0000209
X650_Group3A_50dpi_RA_275_B_C1_P125.mzXML,650,Group3A,Infected,50,RA,C1,P125,0.002215828,0.000234997
X731_Group3A_50dpi_RA_276_B_C2_P125.mzXML,731,Group3A,Infected,50,RA,C2,P125,0.003018717,0.000945408
X732_Group3A_50dpi_RA_277_B_C3_P125.mzXML,732,Group3A,Infected,50,RA,C3,P125,0.005703027,0.001326237
X733_Group3A_50dpi_RA_278_B_C4_P125.mzXML,733,Group3A,Infected,50,RA,C4,P125,0.007541697,0.000941841
X734_Group3A_50dpi_RA_279_B_C5_P125.mzXML,734,Group3A,Infected,50,RA,C5,P125,0.008015596,0.000210084
X735_Group3A_50dpi_RA_280_B_C6_P125.mzXML,735,Group3A,Infected,50,RA,C6,P125,0.002542771,0.00073418
X566_Group3B_70dpi_RA_296_B_D10_P125.mzXML,566,Group3B,Infected,75,RA,D10,P125,0.001204743,0.000378757
X567_Group3B_70dpi_RA_297_B_D11_P125.mzXML,567,Group3B,Infected,75,RA,D11,P125,0.001575767,0
X568_Group3B_70dpi_RA_298_B_D12_P125.mzXML,568,Group3B,Infected,75,RA,D12,P125,0.006080844,0.00088013
X569_Group3B_70dpi_RA_299_B_E1_P125.mzXML,569,Group3B,Infected,75,RA,E1,P125,0.002012643,0.000106936
X570_Group3B_70dpi_RA_300_B_E2_P125.mzXML,570,Group3B,Infected,75,RA,E2,P125,0.004341451,0.000174743
X651_Group3B_70dpi_RA_301_B_E3_P125.mzXML,651,Group3B,Infected,75,RA,E3,P125,0.002975249,0.0000954
X652_Group3B_70dpi_RA_302_B_E4_P125.mzXML,652,Group3B,Infected,75,RA,E4,P125,0.005482943,0.000467254
X653_Group3B_70dpi_RA_303_B_E5_P125.mzXML,653,Group3B,Infected,75,RA,E5,P125,0.004531787,0.001481546
X654_Group3B_70dpi_RA_304_B_E6_P125.mzXML,654,Group3B,Infected,75,RA,E6,P125,0.001358362,0
X655_Group3B_70dpi_RA_305_B_E7_P125.mzXML,655,Group3B,Infected,75,RA,E7,P125,0.002663233,0.0000491
X736_Group3B_70dpi_RA_306_B_E8_P125.mzXML,736,Group3B,Infected,75,RA,E8,P125,0.001376741,0
X737_Group3B_70dpi_RA_307_B_E9_P125.mzXML,737,Group3B,Infected,75,RA,E9,P125,0.002036026,0.000452538
X738_Group3B_70dpi_RA_308_B_E10_P125.mzXML,738,Group3B,Infected,75,RA,E10,P125,0.001773552,0.0000403
X739_Group3B_70dpi_RA_309_B_E11_P125.mzXML,739,Group3B,Infected,75,RA,E11,P125,0.00270458,0.000202763
X740_Group3B_70dpi_RA_310_B_E12_P125.mzXML,740,Group3B,Infected,75,RA,E12,P125,0.000462149,0
X581_Group3E_142dpi_RA_176_G_B4_P124.mzXML,581,Group3E,Infected,142,RA,B4,P124,0.008640053,0.000784411
X582_Group3E_142dpi_RA_177_G_B5_P124.mzXML,582,Group3E,Infected,142,RA,B5,P124,0.010169517,0.000463421
X583_Group3E_142dpi_RA_178_G_B6_P124.mzXML,583,Group3E,Infected,142,RA,B6,P124,0.00420236,0.0000636
X584_Group3E_142dpi_RA_179_G_B7_P124.mzXML,584,Group3E,Infected,142,RA,B7,P124,0.002975903,0.0000712
X585_Group3E_142dpi_RA_180_G_B8_P124.mzXML,585,Group3E,Infected,142,RA,B8,P124,0.00800334,0.000399088
X666_Group3E_142dpi_RA_201_G_D5_P124.mzXML,666,Group3E,Infected,142,RA,D5,P124,0.007622579,0.000968972
X667_Group3E_142dpi_RA_202_G_D6_P124.mzXML,667,Group3E,Infected,142,RA,D6,P124,0.002549479,0.000144492
X668_Group3E_142dpi_RA_203_G_D7_P124.mzXML,668,Group3E,Infected,142,RA,D7,P124,0.005522594,0.000803942
X669_Group3E_142dpi_RA_204_G_D8_P124.mzXML,669,Group3E,Infected,142,RA,D8,P124,0.005864,0.001222706
X670_Group3E_142dpi_RA_205_G_D9_P124.mzXML,670,Group3E,Infected,142,RA,D9,P124,0.003963391,0.000724876
X751_Group3E_142dpi_RA_226_G_F6_P124.mzXML,751,Group3E,Infected,142,RA,F6,P124,0.008259717,0.000671401
X752_Group3E_142dpi_RA_227_G_F7_P124.mzXML,752,Group3E,Infected,142,RA,F7,P124,0.006921918,0.001628958
X753_Group3E_142dpi_RA_228_G_F8_P124.mzXML,753,Group3E,Infected,142,RA,F8,P124,0.003317658,0.000606857
X754_Group3E_142dpi_RA_229_G_F9_P124.mzXML,754,Group3E,Infected,142,RA,F9,P124,0.005544179,0.00122997
X755_Group3E_142dpi_RA_230_G_F10_P124.mzXML,755,Group3E,Infected,142,RA,F10,P124,0.004143311,0.000517271
