SubjectID1,SubjectID2,Group1,Group2,group_name,Distance
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.336081006
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.487978674
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.504872938
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.412929987
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.312055035
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.629778327
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.431302976
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.336385575
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.426807212
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.648270006
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.601190503
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.513891385
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.501501591
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.606548588
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.428700917
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.557289281
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.50052296
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.543442363
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.613498943
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.342818324
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.314489626
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.422869531
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.442016412
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.265952306
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.684976143
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.55351706
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.346694946
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.575555725
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.340414533
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.602543242
X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML,X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.425008962
X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML,X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.578626056
X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML,X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.614814874
