sample_ID,Inflammation score,Parasite load,IFNg,CD4,CD68,CD28,miR-29c-3p,miR-208a-5p,miR-208b-5p,miR-210-3p
493,3.5,375.4,7.725,6.142,2.616,5.156,0.72,0.5,1.32,1.18
494,2.5,300.42,7.725,6.142,2.616,5.156,0.72,0.5,1.32,1.18
495,2.5,46.66,35.472,7.503,2.784,4.692,0.52,0.33,0.82,1.02
496,3,24.92,35.472,7.503,2.784,4.692,0.52,0.33,0.82,1.02
497,3,48.21,35.472,7.503,2.784,4.692,0.52,0.33,0.82,1.02
498,2.5,81.32,33.046,8.53,2.554,5.065,0.54,0.19,0.56,1.05
499,2,69.15,33.046,8.53,2.554,5.065,0.54,0.19,0.56,1.05
500,2,25.94,33.046,8.53,2.554,5.065,0.54,0.19,0.56,1.05
501,2,131.31,2.225,4.814,2.166,4.612,0.87,0.6,1.38,1.3
502,2.33,26.87,2.225,4.814,2.166,4.612,0.87,0.6,1.38,1.3
503,2.5,16.63,2.225,4.814,2.166,4.612,0.87,0.6,1.38,1.3
504,1.5,28.03,2.345,4.233,1.332,4.825,0.77,1.41,0.99,1.66
505,1.5,23.51,2.345,4.233,1.332,4.825,0.77,1.41,0.99,1.66
506,1,37.26,2.345,4.233,1.332,4.825,0.77,1.41,0.99,1.66
507,1,12.52,3.209,3.526,1.205,1.792,0.45,0.39,0.73,0.85
508,3,84.64,3.209,3.526,1.205,1.792,0.45,0.39,0.73,0.85
509,3,20.74,3.209,3.526,1.205,1.792,0.45,0.39,0.73,0.85
510,2,150.44,3.315,4.487,1.623,2.581,0.79,0.3,1.48,1.83
511,2.5,264.91,3.315,4.487,1.623,2.581,0.79,0.3,1.48,1.83
512,3,16.05,3.315,4.487,1.623,2.581,0.79,0.3,1.48,1.83
