MouseID,Heart.weight..Body.weight.ratio,Liver.weight..Body.weight.ratio,Ejection.Fraction,PR.Interval..s.,QTc..s.,P.Amplitude..V.,CD3.CD8.IFNg.,X440.337_2.765,X442.353_2.823,X105.07_2.767,X119.049_2.765,X128.018_0.344,X136.062_0.301,X136.097_0.551,X137.046_0.35,X137.046_0.42,X203.007_0.309,X249.112_2.768,X251.037_0.323,X256.264_3.225,X258.207_2.775,X267.123_2.767,X285.133_2.768,X291.146_2.39,X296.258_2.976,X301.115_0.328,X301.115_0.413,X324.327_3.455,X351.217_2.741,X352.306_2.997,X369.17_2.767,X380.993_2.164,X386.717_2.856,X387.193_2.842,X396.332_2.991,X397.22_2.071,X400.97_2.127,X416.337_2.79,X420.899_2.103,X426.484_2.164,X430.223_2.769,X440.359_2.985,X458.23_2.165,X466.25_2.226,X475.989_2.164,X476.24_2.164,X484.385_2.982,X489.228_2.768,X494.325_2.865,X570.357_2.934,X580.361_2.989,X580.362_2.984,X599.241_2.765,X604.362_2.948,X620.356_2.913,X682.363_3.329,X682.364_3.313,X764.524_3.729,X790.38_2.768,X792.329_2.764,X795.335_2.768,X811.309_2.773
506,0.005531915,0.060425532,55.6335025,0.03851,0.03674,0.129,0.0037,0.001409797,0.001447644,0.004478549,0.000188592,0,0.000646551,0,0.007790152,0.007947848,0.000285994,6.00E-05,0.000299628,0.000558242,0.00082317,0.00343776,0.001772496,0.0011701,0.000184561,0.00026575,8.37E-05,0,0.000321699,0,0.001078636,0.000106734,5.16E-05,3.43E-05,0,7.18E-05,0,0.001677879,0.000190484,4.36E-05,0.000106304,0,3.45E-05,3.75E-05,0.000495164,0.000479394,0,0.002415893,0,0.001078636,0.011227912,0,0.000217525,0.00129941,0.000665475,0.000153074,0,0,0.002198274,2.84E-05,0.000990327,0.000223318
507,0.007317073,0.064390244,56.987925,0.0332,0.0471,0.1632,0.0061,0.000515422,0.00083842,0.004432631,0.000143051,0,0.000632251,0,0.012713748,0.00766261,0.000195938,3.70E-05,0.000202361,0.000611634,0.000412338,0.003676678,0.001917371,0.001178599,0.000196342,0.000126724,2.81E-05,0,0.000429518,0,0.001116748,0,2.90E-05,0,0,0,0,0.000707846,8.30E-05,0,0.00012858,0,0,0,5.97E-05,9.96E-05,0,0.002278166,0,0.001127057,0.012473217,0,0.00016131,0.001291992,0.000542911,0.000112543,0,0,0.002041072,0,0.001041153,0.000200489
508,0.008490566,0.060377358,34.4935265,0.0375,0.03878,0.1803,-8.00E-04,0.000774459,0.000849517,0.0035823,9.14E-05,0,0.000699402,0,0.011633947,0.01470449,0.00027666,8.20E-05,2.14E-05,0.000798341,0.000948457,0.00306372,0.001733151,0.001610329,0.000209444,0.000194275,0.000176685,0,0.000328648,0,0.000982574,0.000113091,3.78E-05,0.000134554,0,0.000107987,3.76E-05,0.001108807,0.000294297,4.94E-05,0.000127412,0,0.000158811,0.00010093,0.000583403,0.000614109,0,0.002671373,0.000655049,0.000822223,0.012179822,0,0.000188502,0.001163395,0.000771048,0.0001351,0,0,0.002101616,4.06E-05,0.000979162,0.000229303
509,0.005963303,0.066055046,53.568561,0.03555,0.04613,0.1729,0.0224,0.000599557,0.000401556,0.004302703,0.000129528,0,0.000235595,0,0.013445945,0.011991138,0.000281516,0.000101256,0.000674502,0.000718587,0.001886841,0.003707554,0.001988237,0.000428182,0.000265511,0.00018071,9.12E-05,0,0,0,0.001137395,0,4.59E-05,0.000289316,0,0,0,0.000454076,0,0,0.00017969,3.77E-05,0,0,6.92E-05,0.000118887,0,0.003354874,0,0.000373292,0.008684758,0,0.000445259,0.00036321,5.82E-05,0.000149554,0,0,0.002794993,0.000105215,0.001613513,0.000164214
510,0.006696429,0.062946429,27.298764,0.04224,0.04131,0.1603,0.0028,0.000373626,0.000150701,0.004178753,0,0,0.000630918,0,0.01473583,0.013785131,0.000249025,3.96E-05,0.000483992,0.00063524,0.002735419,0.003184841,0.001620509,0.000881557,0.000224189,0.00029688,8.14E-05,0,0,0,0.001006876,0,3.54E-05,0.00028882,0,0,0,0.000176989,4.16E-05,0,0.000116573,0,0,0,0.000188969,0.000208063,0,0.001996467,0,0.000492635,0.008556288,0,0.000277267,0.000527206,0.000234896,0.000200001,0,0,0.001806328,3.52E-05,0.00101984,0.000220756
526,0.006091371,0.058375635,54.5697155,0.03781,0.04565,0.2051,-0.0561,0,4.42E-05,0.002428512,2.81E-05,0,0.000924777,0,0.015076202,0.013211105,0.000269118,0,0.000687755,0.000338602,0.000734382,0.002008865,0.000998604,0.001476535,0.000213286,0.000172202,0.000164378,0,0.000509016,0,0.000509016,4.45E-05,3.48E-05,0.000184152,0,3.09E-05,0,0.000165406,0.000112962,4.57E-05,7.20E-05,0,4.37E-05,4.08E-05,0.000497359,0.000524559,0,0.00047016,0,0.001783499,0.008936924,0,3.72E-05,0.001021918,0.000714954,0.000266875,0,0,0.000761581,0,0.000329583,7.44E-05
527,0.005490196,0.059215686,61.5776455,0.03722,0.04788,0.1671,0.0079,0.00021749,0.000316884,0.001373166,0,0,0.000792211,0,0.008684982,0.012734062,0.000305148,0,0,0.00091251,0.001059216,0.001144305,0.000583889,0.001534542,0.000239996,0.000195671,0.000131396,0,0.000868498,0,0.000269564,0,2.52E-05,0.000207647,0,0,0,0.000241156,0.000102183,0,2.21E-05,0,0,0,0.000157591,0.000163788,0,0.000343292,0,0.002080288,0,0.00938917,0,0.001041611,0.000941851,7.77E-05,0,5.46E-05,0.000384369,0,0.000206293,3.52E-05
528,0.005454545,0.068181818,57.2798885,0.03972,0.04254,0.1629,-0.0021,9.02E-05,0.000172792,0.002034639,5.57E-05,0,0.000296212,0,0.01053739,0.007866623,0.000191227,2.57E-05,0.000262221,0.000903205,0.000910489,0.001689867,0.000990612,0.000786662,0.000247653,0.000144288,8.14E-05,0,0.0002058,0,0.000480738,4.67E-05,0,0.00019724,0,3.39E-05,0,0.000135928,0.000121921,3.39E-05,3.85E-05,2.19E-05,3.76E-05,7.97E-05,0.000505018,0.000509874,0,0.001201845,0,0.000937196,0,0.007866623,6.06E-05,0.000847362,0.000468598,2.83E-05,0,0,0.000985756,1.89E-05,0.000553577,5.34E-05
529,0.007346939,0.059183673,53.703589,0.03593,0.04517,0.1171,-0.0639,0.000336137,0.00046938,0.003361366,0,0,0.000611708,0,0.010265792,0.011689073,0.000122542,5.63E-05,0,0.00071164,0.000838827,0.002722403,0.00145962,0.00119919,0.000212592,0.000210448,0.000104769,0,0.00067833,0,0.000696499,3.53E-05,0,0.000175137,0,2.11E-05,0,0.000532973,9.36E-05,2.61E-05,0.000111263,0,0,0,0.000241187,0.000261931,0,0.001432366,0,0.00092059,0.012052464,0,0.000127341,0.001347574,0.000717697,0.000120593,0,0,0.001223416,0,0.000648047,0.000156351
530,0.005394191,0.063900415,45.1067405,0.0345,0.04153,0.177,0.0177,0.000513613,0.000957441,0.003461304,0.000128911,0,0.000798333,0,0.011919167,0.005443179,0.000275514,6.22E-05,0,0.000759254,0.000965815,0.002903029,0.001627371,0.001013269,0.000247735,0.000156271,4.38E-05,0,0.000499656,0,0.000795542,4.21E-05,0,3.54E-05,1.88E-05,5.79E-05,0,0.000773211,0.000146303,0,0.00012898,0,3.37E-05,2.63E-05,0.000379627,0.000396375,0,0.001886969,0,0.001331485,0.009909377,0,0.00018272,0.00132032,0.000561066,0.000119992,0,0,0.001292406,5.11E-05,0.000801124,0.000156253
