MouseID,Treatmentgroup,Heart.Weight..Body.Weight,Liver.Weight..Body.Weight,Ejection.Fraction,PR.Interval..s.,QTc..s.,P.Amplitude..V.,CD3.CD8.IFNg.,X440.337_2.765,X105.07_2.767,X111.044_2.768,X137.046_0.35,X141.959_6.859,X142.027_0.328,X192.125_4.643,X249.112_2.768,X263.091_2.771,X263.2_2.895,X276.02_2.431,X281.102_2.768,X285.133_2.768,X295.227_3.017,X296.258_2.976,X305.248_3.26,X369.17_2.767,X400.342_2.89,X409.162_2.768,X425.136_2.773,X448.342_2.867,X489.228_2.768,X538.315_2.977,X596.357_2.948,X650.978_2.339,X664.419_3.086,X668.414_2.975,X696.443_3.1,X696.445_3.083,X748.439_2.944
511,Group1C,0.006696429,0.051785714,62.285974,0.03963,0.04772,0.1057,0.0017,0,0.001547501,0,0.01024582,0.000599444,0,9.04E-05,0,0,0,0.000335473,0.000140217,0.000735488,0.000343448,0.000607947,5.76E-05,0.000235905,0.000119182,0.002678368,0.000157741,0.000105932,0.000233299,0.000368498,0.001479479,0.000109873,0.000352534,0.000156645,0,0.000103681,0
512,Group1C,0.00515873,0.046428571,17.061189,0.03691,0.04549,0.2438,0.0055,0.000199017,0.001154007,0,0.006245212,0.000667966,2.38E-05,0,0,0,0.000293253,7.93E-05,0.000174553,0.000437165,0.001048109,0.000657105,0.000250521,0.000271531,0.001452691,0.001984891,0.00035299,0.000320407,0.000314976,0.000510478,0.002522522,0.000578361,0.000418158,0.000540347,0,0.000323122,0.000287823
513,Group1C,0.005511811,0.054330709,69.058764,0.03464,0.0451,0.19,0.0206,2.85E-05,0.00091818,0,0.002806235,0.000273239,0,0,0,0,0.000107585,4.37E-05,0.000119823,0.00035201,0.00516938,0.000288008,9.20E-05,0.000189098,0.000273239,0.00157543,0.000246161,2.95E-05,0.000329856,0.000359395,0.00194221,0.000285547,0.000329856,0.000440628,0,0.000329856,3.66E-05
514,Group1C,0.007089552,0.055223881,53.7387055,0.03594,0.04636,0.205,-0.0016,5.11E-05,0.002765863,0,0.005531725,0,0,0,0,0,0.000240791,6.23E-05,0.000486284,0.000808483,0.000324787,0.000702104,0.000211959,0.000723379,0.000585086,0.004648777,0.000601043,0.000133645,0.001202086,0.000569129,0.003515837,0.000152295,0,0.000441986,0,0.000424274,3.97E-05
515,Group1C,0.006122449,0.057959184,57.4564695,0.03792,0.04999,0.175,9.00E-04,3.96E-05,0.002092311,0,0.009564851,0.000992353,0,0,0,0,5.09E-05,0.000110293,0.000201265,0.000820983,0.000266805,0.000450345,6.18E-05,0.000391923,8.47E-05,0.002885397,0.000418462,4.97E-05,0.000641642,0.00045433,0.002211872,0.000240551,0.000625701,0.000315609,0,0.000340954,6.04E-05
531,Group1C,0.005769231,0.056923077,66.407978,0.03614,0.04349,0.1463,0.0046,6.08E-05,0.003656107,0,0.004912894,0.000952111,0,0.000197844,5.46E-05,0,0.000119141,0,0.000605543,0.00097877,0.000258154,0.000418929,0.000213007,0.001051131,0.000253065,0.00933069,0.001009238,7.73E-05,0.003138159,0,0.003488536,9.68E-05,0.000540799,0,0,0.000415121,0.000140296
532,Group1C,0.005813953,0.051550388,69.149937,0.03704,0.04064,0.1658,0.0056,0,0.005835694,5.72E-05,0.005718276,0.001761276,0,0,6.90E-05,0,4.84E-05,0.000168688,0.00076322,0.002019596,0.000193843,0.000651672,0,0.001332699,0.000108117,0.015675355,0.001890436,7.59E-05,0.003557777,0.000477816,0.002113531,8.70E-05,0.000511298,0.000296362,0,7.28E-05,0
533,Group1C,0.006563707,0.055212355,62.952434,0.03593,0.04543,0.1537,0.0031,0.000335059,0.002398405,4.36E-05,0.007430354,0.000292417,3.78E-05,0,0,0,0.000174742,4.95E-05,0.000186763,0.001185094,0.00035301,0.000458704,0,0.000366887,0.00114277,0.007148189,0.000362938,0.000149882,0.001185094,0.000592547,0.002826356,0.000398833,0.000822982,0.00087001,0,0.000309952,0.000166757
534,Group1C,0.006504065,0.050813008,64.410019,0.03487,0.04473,0.1688,0.0029,8.41E-05,0.005507407,0,0.008788415,0.000443609,0,0,5.26E-05,0,7.15E-05,0,0.000820252,0.001848822,0.000820252,0.000664014,0,0.001269438,0.000291047,0.006060751,0.00058928,5.92E-05,0.002486796,0.000498808,0.001419166,0,0.000193097,9.91E-05,0,0.000100682,0
535,Group1C,0.007826087,0.053913043,54.891958,0.03327,0.04602,0.1017,0.0031,8.48E-05,0.003087784,4.21E-05,0.009371485,0.001573929,0,0,5.26E-05,0,0,5.83E-05,0.000380508,0.001273561,0.000165981,0.000499794,0,0.000696854,0.000157164,0.008410307,0.000997222,0,0.001832245,0.000407201,0.00230082,0,0.000540216,0.000263528,0,0.000288945,0
