mass,annotation
758.57,PC 34:2_C42H80NO8P or LPC 34:3;O_C42H80NO8P or PC O-34:3;O_C42H80NO8P
758.571,PC 34:2_C42H80NO8P or LPC 34:3;O_C42H80NO8P or PC O-34:3;O_C42H80NO8P
760.583,PC 34:1_C42H82NO8P or LPC 34:2;O_C42H82NO8P or PC O-34:2;O_C42H82NO8P
760.584,PC 34:1_C42H82NO8P or LPC 34:2;O_C42H82NO8P or PC O-34:2;O_C42H82NO8P
760.585,PC 34:1_C42H82NO8P or LPC 34:2;O_C42H82NO8P or PC O-34:2;O_C42H82NO8P
760.586,PC 34:1_C42H82NO8P or LPC 34:2;O_C42H82NO8P or PC O-34:2;O_C42H82NO8P
762.599,PC 34:0_C42H84NO8P or LPC 34:1;O_C42H84NO8P or PC O-34:1;O_C42H84NO8P
762.6,PC 34:0_C42H84NO8P or LPC 34:1;O_C42H84NO8P or PC O-34:1;O_C42H84NO8P
766.536,PC 35:5_C43H76NO8P or PC O-35:6;O_C43H76NO8P
766.537,PC 35:5_C43H76NO8P or PC O-35:6;O_C43H76NO8P
766.573,PC O-36:5_C44H80NO7P
766.574,PC O-36:5_C44H80NO7P
768.553,PC 35:4_C43H78NO8P or PC O-35:5;O_C43H78NO8P
768.588,PC O-36:4_C44H82NO7P
768.589,PC O-36:4_C44H82NO7P
772.584,PC 35:2_C43H82NO8P or PC O-35:3;O_C43H82NO8P
772.62,PC O-36:2_C44H86NO7P
774.599,PC 35:1_C43H84NO8P or PC O-35:2;O_C43H84NO8P
774.6,PC 35:1_C43H84NO8P or PC O-35:2;O_C43H84NO8P
774.601,PC 35:1_C43H84NO8P or PC O-35:2;O_C43H84NO8P
778.537,PC 36:6_C44H76NO8P or PC O-36:7;O_C44H76NO8P
780.553,PC 36:5_C44H78NO8P or PC O-36:6;O_C44H78NO8P
782.567,PC 36:4_C44H80NO8P or PC O-36:5;O_C44H80NO8P
782.568,PC 36:4_C44H80NO8P or PC O-36:5;O_C44H80NO8P
782.569,PC 36:4_C44H80NO8P or PC O-36:5;O_C44H80NO8P
782.57,PC 36:4_C44H80NO8P or PC O-36:5;O_C44H80NO8P
784.584,PC 36:3_C44H82NO8P or PC O-36:4;O_C44H82NO8P
784.585,PC 36:3_C44H82NO8P or PC O-36:4;O_C44H82NO8P
786.599,PC 36:2_C44H84NO8P or PC O-36:3;O_C44H84NO8P
786.6,PC 36:2_C44H84NO8P or PC O-36:3;O_C44H84NO8P
786.601,PC 36:2_C44H84NO8P or PC O-36:3;O_C44H84NO8P
786.602,PC 36:2_C44H84NO8P or PC O-36:3;O_C44H84NO8P
788.615,PC 36:1_C44H86NO8P or PC O-36:2;O_C44H86NO8P
788.616,PC 36:1_C44H86NO8P or PC O-36:2;O_C44H86NO8P
788.617,PC 36:1_C44H86NO8P or PC O-36:2;O_C44H86NO8P
790.572,PC O-38:7_C46H80NO7P
792.552,PC 37:6_C45H78NO8P or PC O-37:7;O_C45H78NO8P
792.553,PC 37:6_C45H78NO8P or PC O-37:7;O_C45H78NO8P
792.554,PC 37:6_C45H78NO8P or PC O-37:7;O_C45H78NO8P
792.555,PC 37:6_C45H78NO8P or PC O-37:7;O_C45H78NO8P
792.589,PC O-38:6_C46H82NO7P
792.59,PC O-38:6_C46H82NO7P
794.604,PC O-38:5_C46H84NO7P
794.605,PC O-38:5_C46H84NO7P
796.582,PC 37:4_C45H82NO8P or PC O-37:5;O_C45H82NO8P
798.563,PC 36:4;O_C44H80NO9P
804.553,PC 38:7_C46H78NO8P or PC O-38:8;O_C46H78NO8P
806.569,PC 38:6_C46H80NO8P or PC O-38:7;O_C46H80NO8P
806.57,PC 38:6_C46H80NO8P or PC O-38:7;O_C46H80NO8P
806.571,PC 38:6_C46H80NO8P or PC O-38:7;O_C46H80NO8P
808.58,PC 38:5_C46H82NO8P or PC O-38:6;O_C46H82NO8P
808.584,PC 38:5_C46H82NO8P or PC O-38:6;O_C46H82NO8P
808.585,PC 38:5_C46H82NO8P or PC O-38:6;O_C46H82NO8P
808.586,PC 38:5_C46H82NO8P or PC O-38:6;O_C46H82NO8P
810.6,PC 38:4_C46H84NO8P or PC O-38:5;O_C46H84NO8P
810.601,PC 38:4_C46H84NO8P or PC O-38:5;O_C46H84NO8P
