filename,CD68
aq_pos_mass_126.022_0.366_279,1
aq_pos_mass_133.065_3.695_779,1
aq_pos_mass_136.048_0.308_334,1
aq_pos_mass_146.117_0.326_2055,1
aq_pos_mass_154.058_0.311_2064,1
aq_pos_mass_180.174_3.918_3044,1
aq_pos_mass_189.113_6.521_5486,1
aq_pos_mass_205.041_3.305_4606,1
aq_pos_mass_209.092_0.599_4609,1
aq_pos_mass_212.164_3.84_1938,1
aq_pos_mass_221.042_0.285_187,1
aq_pos_mass_222.068_3.305_2781,1
aq_pos_mass_226.18_3.918_256,1
aq_pos_mass_228.134_1.375_4875,1
aq_pos_mass_230.247_4.163_793,1
aq_pos_mass_244.154_2.425_2220,1
aq_pos_mass_246.17_3.007_2669,1
aq_pos_mass_266.172_3.916_322,1
aq_pos_mass_281.138_3.726_2295,1
aq_pos_mass_297.133_3.694_435,1
aq_pos_mass_303.231_4.421_2977,1
aq_pos_mass_304.212_3.447_2134,1
aq_pos_mass_307.226_4.256_4717,1
aq_pos_mass_309.205_4.08_6687,1
aq_pos_mass_323.258_4.538_5502,1
aq_pos_mass_347.221_3.927_6389,1
aq_pos_mass_347.221_4.084_4168,1
aq_pos_mass_354.264_4.063_6674,1
aq_pos_mass_358.295_4.2_2238,1
aq_pos_mass_359.167_3.559_2266,1
aq_pos_mass_377.266_4.588_5624,1
aq_pos_mass_395.205_0.292_2246,1
aq_pos_mass_409.174_4.19_36,1
aq_pos_mass_436.308_4.439_781,1
aq_pos_mass_445.246_4.194_630,1
aq_pos_mass_447.205_4.267_2450,1
aq_pos_mass_464.081_0.588_2142,1
aq_pos_mass_565.937_3.495_5704,1
aq_pos_mass_568.324_3.793_5407,1
aq_pos_mass_590.426_4.48_831,1
aq_pos_mass_634.452_4.473_769,1
aq_pos_mass_678.478_4.466_401,1
aq_pos_mass_710.223_3.626_2239,1
aq_pos_mass_722.504_4.459_310,1
aq_pos_mass_763.778_3.639_4205,1
aq_pos_mass_766.529_4.452_358,1
aq_pos_mass_795.359_4.19_83,1
aq_pos_mass_902.553_3.686_6077,1
aq_pos_mass_993.105_3.403_2471,1
org_pos_mass_1015.673_4.273_2143,1
org_pos_mass_1021.626_4.242_1491,1
org_pos_mass_136.048_0.311_1212,1
org_pos_mass_140.068_0.309_127,1
org_pos_mass_154.059_0.311_1202,1
org_pos_mass_175.015_4.182_48,1
org_pos_mass_201.087_0.409_2608,1
org_pos_mass_207.014_0.303_1227,1
org_pos_mass_214.253_4.16_936,1
org_pos_mass_230.248_4.167_55,1
org_pos_mass_236.105_3.56_1459,1
org_pos_mass_238.1_3.504_1162,1
org_pos_mass_240.097_3.504_1178,1
org_pos_mass_257.222_3.87_707,1
org_pos_mass_269.139_3.784_1465,1
org_pos_mass_280.092_0.309_3126,1
org_pos_mass_290.086_0.317_1290,1
org_pos_mass_291.121_3.784_1236,1
org_pos_mass_350.118_3.774_3504,1
org_pos_mass_358.295_4.205_2466,1
org_pos_mass_369.352_5.433_1693,1
org_pos_mass_375.065_0.305_1793,1
org_pos_mass_376.259_4.164_522,1
org_pos_mass_377.224_4.378_3245,1
org_pos_mass_386.327_4.369_2467,1
org_pos_mass_438.298_4.349_1258,1
org_pos_mass_454.293_4.285_596,1
org_pos_mass_466.33_4.508_1316,1
org_pos_mass_478.293_4.232_587,1
org_pos_mass_480.309_4.318_634,1
org_pos_mass_480.345_4.348_576,1
org_pos_mass_482.325_4.444_563,1
org_pos_mass_496.34_4.3_562,1
org_pos_mass_510.356_4.368_1543,1
org_pos_mass_524.372_4.442_571,1
org_pos_mass_528.309_4.271_647,1
org_pos_mass_548.372_4.365_1527,1
org_pos_mass_566.346_4.508_614,1
org_pos_mass_572.373_4.347_1481,1
org_pos_mass_620.392_4.456_1390,1
org_pos_mass_652.38_4.467_2585,1
org_pos_mass_662.4_4.556_2606,1
org_pos_mass_668.415_4.495_2710,1
org_pos_mass_682.431_4.37_3891,1
org_pos_mass_766.577_6.715_1166,1
org_pos_mass_773.379_4.182_13,1
org_pos_mass_790.406_4.18_7,1
org_pos_mass_991.673_4.299_1592,1
