heart_section,naive_VS_infected,naive_VS_combo,naive_VS_BNZ,infected_VS_combo,infected_VS_BNZ,combo_VS_BNZ
LA,0.608280,1.000000,0.439800,0.608280,0.371820,0.458000
RA,0.206400,0.449700,0.771600,0.449700,0.291270,0.707640
LVT,0.835700,0.680200,0.680200,0.800700,0.680200,0.835700
LVB,0.136000,0.067590,0.028770,0.803500,0.343500,0.383400
RVT,0.426800,0.740000,0.740000,0.426800,0.426800,0.740000
RVB,0.230000,0.223500,0.223500,1.000000,1.000000,1.000000
